onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.719	2	InCon	PC50	0.847	1
34.318	2	InCon	MC	0.8435	1
39.118	2	InCon	MC	0.709	1
45.118	2	Con	MC	0.6675	1
48.718	2	InCon	MC	0.6595	1
53.518	2	Con	MC	0.672	1
58.318	2	Con	MC	0.569	1
61.918	2	Con	MC	0.6425	1
67.918	2	Con	PC50	0.6485	1
72.717	2	Con	MC	0.678	1
78.717	2	Con	MC	0.6485	1
82.317	2	InCon	PC50	1.0315	0
88.317	2	Con	MC	0.6295	1
91.917	2	Con	MC	0.6985	1
95.517	2	Con	MC	0.6875	1
101.517	2	Con	PC50	0.71	1
106.317	2	InCon	MC	0.7795	1
112.316	2	Con	MC	0.6265	1
117.116	2	Con	MC	0.6745	1
123.116	2	InCon	PC50	0.9505	1
127.916	2	Con	MC	0.6425	1
132.716	2	Con	MC	0.6505	1
136.316	2	Con	PC50	0.649	1
142.316	2	Con	MC	0.593	1
145.916	2	Con	MC	0.6155	1
149.515	2	InCon	PC50	0.748	1
153.115	2	Con	PC50	0.581	1
157.915	2	InCon	PC50	0.944	1
162.715	2	InCon	MC	0.631	1
168.715	2	InCon	PC50	0.663	1
173.515	2	Con	PC50	0.7215	1
177.115	2	Con	MC	0.6525	1
183.115	2	Con	PC50	0.8225	1
189.114	2	InCon	MC	0.7705	1
193.914	2	Con	MC	0.6915	1
199.914	2	Con	MC	0.705	1
233.513	2	Con	PC50	0.751	1
238.313	2	InCon	PC50	0.937	1
244.313	2	Con	MC	0.71	1
250.313	2	Con	MC	0.6745	1
253.913	2	Con	MC	0.757	1
258.713	2	InCon	PC50	0.6985	1
262.313	2	Con	MC	0.626	1
267.112	2	Con	MC	0.584	1
271.912	2	InCon	MC	0.6955	1
275.512	2	InCon	PC50	0.7135	1
281.512	2	InCon	MC	0.776	1
287.512	2	Con	PC50	0.764	1
291.112	2	Con	PC50	0.5795	1
295.912	2	Con	MC	0.5335	1
299.512	2	InCon	PC50	0.614	1
303.111	2	Con	MC	0.5545	1
307.911	2	InCon	PC50	0.6115	1
311.511	2	InCon	PC50	0.9155	1
317.511	2	Con	MC	0.5515	1
323.511	2	InCon	MC	0.6115	1
329.511	2	InCon	MC	0.9435	1
335.511	2	InCon	MC	0.7025	1
339.111	2	Con	MC	0.609	1
343.91	2	Con	MC	0.595	1
348.71	2	InCon	MC	0.68	1
354.71	2	Con	MC	0.5895	1
360.71	2	Con	PC50	0.589	1
365.51	2	Con	MC	0.6495	1
370.31	2	Con	PC50	0.698	1
376.31	2	Con	MC	0.629	1
379.909	2	Con	MC	0.658	1
383.509	2	Con	MC	0.657	1
388.309	2	Con	MC	0.6255	1
391.909	2	Con	PC50	0.6115	1
395.509	2	Con	MC	0.617	1
401.509	2	Con	MC	0.6105	1
436.321	2	InCon	MC	0.8515	1
442.321	2	Con	MC	0.5705	1
447.121	2	Con	MC	0.669	1
451.921	2	Con	MC	0.6665	1
456.721	2	Con	MC	0.736	1
461.521	2	Con	MC	0.653	1
465.121	2	InCon	PC50	0.757	1
468.72	2	Con	MC	0.6065	1
474.72	2	Con	MC	0.659	1
478.32	2	InCon	PC50	0.8425	1
484.32	2	InCon	PC50	0.715	1
490.32	2	Con	PC50	0.656	1
493.92	2	InCon	MC	0.731	1
497.52	2	Con	MC	0.7275	1
501.12	2	Con	MC	0.621	1
505.919	2	Con	PC50	0.6515	1
509.519	2	Con	MC	0.6555	1
514.319	2	Con	MC	0.684	1
520.319	2	Con	MC	0.726	1
525.119	2	Con	MC	0.5905	1
531.119	2	Con	MC	0.523	1
534.719	2	Con	MC	0.612	1
540.719	2	InCon	PC50	0.9085	1
545.518	2	Con	PC50	0.5625	1
551.518	2	Con	PC50	0.537	1
556.318	2	InCon	MC	0.705	1
559.918	2	InCon	PC50	0.64	1
563.518	2	InCon	MC	0.681	1
567.118	2	Con	MC	0.6085	1
573.118	2	Con	PC50	0.694	1
579.118	2	InCon	MC	0.675	1
583.917	2	InCon	MC	0.6605	1
589.917	2	Con	MC	0.6715	1
595.917	2	InCon	PC50	0.9385	1
600.717	2	Con	PC50	0.6065	1
605.517	2	Con	MC	0.5915	1
