onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.11	8.5	Congruent	AttendLetter	n/a	0.935	2	1
44.325	8.5	Congruent	AttendNumber	switch	0.895	2	1
56.323	8.5	Incongruent	AttendNumber	repeat	0.865	2	1
67.121	8.5	Congruent	AttendNumber	repeat	0.716	2	0
77.92	8.5	Congruent	AttendLetter	switch	1.074	1	1
89.918	8.5	Congruent	AttendLetter	repeat	0.774	2	1
101.916	8.5	Incongruent	AttendLetter	repeat	1.012	2	1
115.114	8.5	Congruent	AttendLetter	repeat	0.948	1	1
125.912	8.5	Incongruent	AttendNumber	switch	1.02	1	1
139.11	8.5	Congruent	AttendNumber	repeat	0.876	1	1
149.925	8.5	Incongruent	AttendNumber	repeat	0.982	2	1
163.123	8.5	Congruent	AttendNumber	repeat	0.648	2	1
175.121	8.5	Congruent	AttendNumber	repeat	0.806	2	1
188.319	8.5	Congruent	AttendLetter	switch	0.729	1	1
199.117	8.5	Congruent	AttendNumber	switch	0.786	1	1
211.115	8.5	Incongruent	AttendLetter	switch	1.008	2	1
223.113	8.5	Incongruent	AttendLetter	repeat	0.662	1	1
233.912	8.5	Congruent	AttendLetter	repeat	1.335	2	1
277.121	8.5	Incongruent	AttendLetter	n/a	0.824	2	1
287.92	8.5	Incongruent	AttendLetter	repeat	1.435	1	1
301.118	8.5	Congruent	AttendLetter	repeat	0.574	1	1
313.116	8.5	Congruent	AttendNumber	switch	0.812	1	1
323.914	8.5	Incongruent	AttendNumber	repeat	0.833	1	1
337.112	8.5	Incongruent	AttendNumber	repeat	0.86	2	1
349.11	8.5	Congruent	AttendLetter	switch	1.051	1	1
361.125	8.5	Congruent	AttendLetter	repeat	1.081	2	1
374.323	8.5	Congruent	AttendLetter	repeat	0.815	2	1
385.121	8.5	Incongruent	AttendNumber	switch	0.654	1	1
398.319	8.5	Congruent	AttendNumber	repeat	1.299	1	1
409.117	8.5	Congruent	AttendNumber	repeat	0.923	2	1
419.916	8.5	Congruent	AttendNumber	repeat	0.733	1	1
431.914	8.5	Incongruent	AttendNumber	repeat	0.888	1	1
443.912	8.5	Congruent	AttendLetter	switch	0.785	2	1
455.91	8.5	Congruent	AttendLetter	repeat	1.13	1	1
469.124	8.5	Congruent	AttendLetter	repeat	0.592	2	1
479.923	8.5	Congruent	AttendNumber	switch	0.864	1	1
523.116	8.5	Congruent	AttendNumber	n/a	0.84	2	1
533.914	8.5	Congruent	AttendLetter	switch	0.993	2	1
545.912	8.5	Congruent	AttendNumber	switch	0.832	2	1
556.711	8.5	Incongruent	AttendLetter	switch	0.83	1	1
569.909	8.5	Congruent	AttendLetter	repeat	0.748	2	1
581.923	8.5	Incongruent	AttendLetter	repeat	1.133	2	1
593.921	8.5	Incongruent	AttendNumber	switch	0.965	1	1
607.119	8.5	Congruent	AttendNumber	repeat	0.66	2	1
617.918	8.5	Congruent	AttendNumber	repeat	1.081	2	1
631.116	8.5	Incongruent	AttendNumber	repeat	1.092	2	1
643.114	8.5	Congruent	AttendNumber	repeat	0.791	1	1
655.112	8.5	Incongruent	AttendLetter	switch	1.654	2	1
665.91	8.5	Congruent	AttendNumber	switch	0.603	1	1
679.125	8.5	Congruent	AttendLetter	switch	0.763	2	1
689.923	8.5	Incongruent	AttendLetter	repeat	0.962	1	1
701.921	8.5	Congruent	AttendNumber	switch	0.935	1	1
715.119	8.5	Incongruent	AttendLetter	switch	0.836	2	1
728.317	8.5	Congruent	AttendLetter	repeat	0.925	1	1
