onset	duration	trial_type	response_time	response_button	response_accuracy
30.613	5.3	AX	0.401	2	1
40.213	5.3	BY	0.414	1	1
48.613	5.3	AX	0.258	2	1
55.813	5.3	AX	0.382	2	1
64.212	5.3	AX	0.303	2	1
72.612	5.3	BY	0.424	1	1
81.012	5.3	AX	0.287	2	1
90.612	5.3	AX	0.322	2	1
100.211	5.3	Bng	n/a	n/a	1
107.411	5.3	BX	0.485	1	1
114.611	5.3	AY	0.474	1	1
124.21	5.3	BY	0.335	1	1
131.41	5.3	BY	0.425	1	1
141.01	5.3	Bng	n/a	n/a	1
149.41	5.3	Ang	n/a	n/a	1
159.009	5.3	AX	0.276	2	1
166.209	5.3	BY	0.325	1	1
173.409	5.3	Ang	n/a	n/a	1
180.609	5.3	AY	0.489	1	1
190.208	5.3	BY	0.407	1	1
198.608	5.3	BY	0.455	1	1
207.008	5.3	BY	0.314	1	1
215.407	5.3	BX	0.305	1	1
222.607	5.3	AX	0.458	2	1
262.206	5.3	AX	0.345	2	1
271.806	5.3	Ang	0.457	1	0
280.205	5.3	AX	0.423	2	1
287.405	5.3	BY	0.499	1	1
295.805	5.3	BY	0.602	1	1
303.005	5.3	BY	0.343	1	1
310.218	5.3	AY	0.534	1	1
318.618	5.3	AX	0.365	2	1
327.017	5.3	AX	0.312	2	1
336.617	5.3	BY	0.389	1	1
343.817	5.3	BX	0.435	1	1
353.416	5.3	AX	0.234	2	1
363.016	5.3	Bng	0.493	1	0
370.216	5.3	Bng	n/a	n/a	1
379.816	5.3	BY	0.586	1	1
387.015	5.3	AX	0.278	2	1
396.615	5.3	AX	0.566	2	1
403.815	5.3	Ang	n/a	n/a	1
412.214	5.3	BY	0.309	1	1
420.614	5.3	BY	0.301	1	1
427.814	5.3	BY	0.528	1	1
437.414	5.3	BX	0.369	1	1
445.813	5.3	AY	0.502	1	1
454.213	5.3	AX	0.333	2	1
493.812	5.3	AX	0.303	2	1
502.212	5.3	AY	0.377	1	1
510.611	5.3	BY	0.328	1	1
520.211	5.3	BY	0.088	1	1
527.411	5.3	BY	0.296	1	1
534.611	5.3	AX	0.286	2	1
543.01	5.3	Bng	n/a	n/a	1
550.21	5.3	AX	0.43	2	1
557.41	5.3	AX	0.339	2	1
567.01	5.3	BY	0.417	1	1
576.609	5.3	AX	0.322	2	1
585.009	5.3	AX	0.153	2	1
594.609	5.3	AX	0.35	1	0
604.208	5.3	BY	0.588	1	1
611.408	5.3	AY	0.492	1	1
621.008	5.3	BX	0.386	1	1
628.208	5.3	Bng	0.334	1	0
635.407	5.3	BY	0.437	1	1
643.807	5.3	BY	0.624	2	0
652.207	5.3	Ang	n/a	n/a	1
659.407	5.3	BX	0.37	1	1
669.006	5.3	Ang	n/a	n/a	1
677.406	5.3	AX	0.546	2	1
687.006	5.3	BY	0.545	1	1
