onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.111	8.5	Incongruent	AttendLetter	n/a	0.855	1	1
41.911	8.5	Incongruent	AttendNumber	switch	1.003	2	1
55.11	8.5	Incongruent	AttendLetter	switch	1.481	2	1
67.11	8.5	Congruent	AttendNumber	switch	0.941	2	0
80.31	8.5	Congruent	AttendNumber	repeat	0.879	2	1
91.109	8.5	Congruent	AttendNumber	repeat	0.76	1	1
101.909	8.5	Congruent	AttendNumber	repeat	1.44	2	1
115.122	8.5	Incongruent	AttendNumber	repeat	1.305	1	1
127.121	8.5	Congruent	AttendNumber	repeat	0.818	2	1
139.121	8.5	Incongruent	AttendLetter	switch	0.723	2	1
152.321	8.5	Congruent	AttendLetter	repeat	0.692	1	1
163.12	8.5	Congruent	AttendLetter	repeat	1.453	1	1
173.92	8.5	Congruent	AttendLetter	repeat	0.941	2	1
185.92	8.5	Incongruent	AttendNumber	switch	0.754	2	1
197.919	8.5	Congruent	AttendLetter	switch	1.185	2	1
208.719	8.5	Congruent	AttendNumber	switch	2.454	1	1
221.918	8.5	Congruent	AttendLetter	switch	0.544	1	1
235.118	8.5	Congruent	AttendLetter	repeat	1.681	2	1
277.117	8.5	Incongruent	AttendNumber	n/a	0.842	2	1
290.316	8.5	Incongruent	AttendNumber	repeat	0.65	1	1
302.316	8.5	Congruent	AttendLetter	switch	0.864	2	1
315.515	8.5	Incongruent	AttendLetter	repeat	0.77	2	1
326.315	8.5	Congruent	AttendLetter	repeat	0.88	2	1
337.115	8.5	Incongruent	AttendLetter	repeat	1.01	1	1
349.114	8.5	Congruent	AttendNumber	switch	0.658	1	1
361.114	8.5	Congruent	AttendLetter	switch	0.68	1	1
374.313	8.5	Congruent	AttendNumber	switch	1.493	1	1
385.113	8.5	Congruent	AttendNumber	repeat	1.711	2	1
395.913	8.5	Incongruent	AttendNumber	repeat	0.628	1	1
406.712	8.5	Congruent	AttendLetter	switch	0.904	1	1
417.512	8.5	Incongruent	AttendNumber	switch	1.879	1	1
430.712	8.5	Congruent	AttendNumber	repeat	1.312	1	1
443.911	8.5	Congruent	AttendLetter	switch	1.245	2	1
455.911	8.5	Congruent	AttendLetter	repeat	0.958	2	1
467.91	8.5	Congruent	AttendLetter	repeat	0.613	1	1
481.11	8.5	Congruent	AttendNumber	switch	1.324	1	1
523.109	8.5	Congruent	AttendNumber	n/a	0.579	1	1
536.322	8.5	Incongruent	AttendLetter	switch	0.975	2	1
549.521	8.5	Congruent	AttendNumber	switch	1.236	2	1
562.721	8.5	Congruent	AttendLetter	switch	1.374	2	1
574.72	8.5	Incongruent	AttendNumber	switch	0.866	2	1
586.72	8.5	Incongruent	AttendLetter	switch	1.223	1	1
597.52	8.5	Congruent	AttendNumber	switch	1.671	1	1
609.519	8.5	Congruent	AttendNumber	repeat	0.989	1	1
620.319	8.5	Congruent	AttendNumber	repeat	0.949	2	1
631.119	8.5	Incongruent	AttendLetter	switch	1.198	2	1
644.318	8.5	Incongruent	AttendLetter	repeat	0.854	1	1
657.518	8.5	Congruent	AttendNumber	switch	0.612	2	1
668.317	8.5	Congruent	AttendLetter	switch	0.486	1	1
680.317	8.5	Congruent	AttendLetter	repeat	1.712	2	1
693.517	8.5	Congruent	AttendLetter	repeat	0.857	2	1
704.316	8.5	Incongruent	AttendLetter	repeat	0.994	2	1
716.316	8.5	Congruent	AttendNumber	switch	0.978	2	1
728.315	8.5	Incongruent	AttendNumber	repeat	0.939	1	1
