onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.703	2	InCon	PC50	0.7995	1
36.703	2	Con	MC	0.7025	1
41.503	2	InCon	MC	0.945	1
46.303	2	Con	MC	0.6765	1
49.903	2	Con	MC	0.814	1
55.902	2	InCon	PC50	0.731	1
61.902	2	InCon	PC50	0.9435	1
65.502	2	Con	MC	0.971	1
69.102	2	Con	PC50	0.812	1
75.102	2	Con	MC	0.643	1
79.902	2	Con	MC	0.5135	1
83.502	2	Con	PC50	0.855	1
88.315	2	InCon	PC50	0.8105	1
93.115	2	InCon	MC	0.802	1
99.114	2	Con	PC50	0.8105	1
105.114	2	Con	MC	0.6925	1
111.114	2	Con	MC	0.9095	1
115.914	2	Con	PC50	0.7715	1
121.914	2	Con	MC	0.734	1
125.514	2	Con	MC	0.9585	1
129.113	2	Con	MC	0.781	1
133.913	2	InCon	MC	1.063	1
138.713	2	InCon	PC50	1.0605	1
142.313	2	Con	MC	0.9065	1
145.913	2	Con	MC	0.9005	1
151.913	2	InCon	PC50	1.049	1
157.913	2	InCon	MC	0.9585	1
163.912	2	Con	PC50	0.989	1
167.512	2	InCon	MC	0.9745	1
171.112	2	Con	MC	0.8045	1
175.912	2	Con	MC	0.849	1
179.512	2	InCon	MC	0.767	1
183.112	2	Con	MC	0.7525	1
189.112	2	Con	MC	0.7725	1
193.911	2	Con	MC	0.598	1
198.711	2	Con	PC50	0.5785	1
233.51	2	Con	PC50	1.0495	1
237.11	2	Con	MC	0.8895	1
240.71	2	InCon	MC	0.9055	1
246.71	2	Con	MC	0.737	1
250.31	2	Con	MC	0.7935	1
255.109	2	Con	MC	0.784	1
258.709	2	InCon	MC	0.912	1
263.509	2	Con	PC50	0.7345	1
268.309	2	InCon	PC50	1.2175	1
273.109	2	Con	MC	0.6875	1
279.109	2	Con	MC	1.073	1
285.108	2	Con	PC50	0.946	1
291.108	2	Con	PC50	1.05	1
295.908	2	Con	MC	0.6945	1
301.908	2	Con	MC	0.738	1
307.908	2	InCon	PC50	0.9785	1
312.708	2	InCon	MC	0.838	1
316.307	2	InCon	PC50	1.416	1
319.907	2	Con	MC	0.6885	1
325.907	2	InCon	PC50	0.8475	1
329.507	2	Con	MC	0.7905	1
334.307	2	InCon	MC	0.941	1
337.907	2	Con	MC	0.7895	1
342.707	2	InCon	MC	0.7655	1
348.706	2	Con	MC	0.636	1
353.506	2	Con	MC	0.886	1
357.106	2	InCon	PC50	0.7735	1
360.706	2	Con	MC	0.7545	1
366.706	2	Con	MC	0.6895	1
372.706	2	Con	MC	0.7905	1
378.705	2	InCon	PC50	0.858	1
384.705	2	Con	PC50	0.7695	1
389.505	2	Con	MC	0.819	1
394.305	2	InCon	MC	0.8265	1
399.105	2	Con	PC50	0.823	1
402.705	2	Con	MC	0.868	1
436.304	2	Con	MC	0.7425	1
441.103	2	Con	MC	0.819	1
447.103	2	Con	PC50	0.9195	1
450.703	2	Con	MC	1.04	1
454.303	2	Con	MC	0.7705	1
459.103	2	InCon	PC50	1.085	1
465.103	2	InCon	PC50	0.8425	1
469.902	2	Con	MC	1.2	1
474.702	2	Con	MC	0.8435	1
480.702	2	InCon	MC	0.9105	1
484.302	2	InCon	PC50	1.0785	1
487.902	2	InCon	MC	0.799	1
493.902	2	Con	MC	0.967	1
497.502	2	Con	MC	0.946	1
502.315	2	Con	PC50	0.8165	1
505.915	2	Con	MC	0.791	1
511.914	2	Con	MC	0.8855	1
516.714	2	InCon	MC	1.1295	1
520.314	2	Con	MC	0.7075	1
523.914	2	InCon	MC	1.0805	1
528.714	2	Con	MC	0.833	1
533.514	2	Con	PC50	1.0065	1
539.514	2	InCon	PC50	0.934	1
545.513	2	InCon	MC	0.9935	1
551.513	2	Con	PC50	1.004	1
556.313	2	Con	PC50	1.493	1
562.313	2	InCon	PC50	0.8265	1
568.313	2	Con	MC	1.2385	1
573.112	2	Con	MC	0.7615	1
579.112	2	Con	PC50	0.6835	1
583.912	2	Con	MC	0.8315	1
587.512	2	Con	MC	0.8755	1
591.112	2	InCon	PC50	0.922	1
597.112	2	InCon	MC	1.3275	1
600.712	2	Con	MC	1.1325	1
605.511	2	Con	MC	1.0795	1
