onset	duration	trial_type	response_time	response_button	response_accuracy
30.62	5.3	BY	0.539	1	1
37.819	5.3	BY	0.592	1	1
46.219	5.3	AX	0.382	2	1
54.619	5.3	Bng	n/a	n/a	1
64.219	5.3	AY	0.718	1	1
71.419	5.3	AX	0.363	2	1
79.819	5.3	BX	0.51	1	1
88.219	5.3	BY	0.483	1	1
97.819	5.3	AX	0.404	2	1
105.019	5.3	AX	0.363	2	1
112.218	5.3	AX	0.36	2	1
121.818	5.3	BY	0.488	1	1
131.418	5.3	Bng	n/a	n/a	1
139.818	5.3	BY	0.451	1	1
149.418	5.3	Ang	n/a	n/a	1
156.618	5.3	AY	0.685	1	1
166.218	5.3	BY	0.528	1	1
175.817	5.3	BY	0.486	1	1
185.417	5.3	Ang	n/a	n/a	1
192.617	5.3	AX	0.382	2	1
201.017	5.3	BY	0.512	1	1
208.217	5.3	BX	0.489	1	1
215.417	5.3	AX	0.397	2	1
223.817	5.3	AX	0.382	2	1
262.216	5.3	BY	0.54	1	1
270.616	5.3	AX	0.424	2	1
279.016	5.3	AX	0.376	2	1
287.416	5.3	BY	0.66	1	1
297.016	5.3	BY	0.467	1	1
304.216	5.3	AX	0.382	2	1
313.816	5.3	Ang	n/a	n/a	1
323.415	5.3	AX	0.388	2	1
333.015	5.3	BY	0.388	1	1
340.215	5.3	BY	0.906	1	1
347.415	5.3	AX	0.339	2	1
354.615	5.3	BY	0.675	1	1
363.015	5.3	AY	0.789	1	1
371.415	5.3	AX	0.406	2	1
381.015	5.3	Bng	n/a	n/a	1
389.414	5.3	Bng	n/a	n/a	1
396.614	5.3	AY	0.858	1	1
403.814	5.3	AX	0.388	2	1
411.014	5.3	Ang	n/a	n/a	1
419.414	5.3	BX	0.565	1	1
426.614	5.3	AX	0.445	2	1
436.214	5.3	BY	0.175	1	1
445.814	5.3	BY	0.511	1	1
455.413	5.3	BX	0.594	1	1
493.813	5.3	BY	0.451	1	1
501.013	5.3	BX	0.453	1	1
508.213	5.3	AX	0.356	2	1
516.613	5.3	AX	0.333	2	1
526.212	5.3	AX	0.319	2	1
535.812	5.3	BX	0.462	1	1
543.012	5.3	AX	0.355	2	1
551.412	5.3	AX	0.446	2	1
558.612	5.3	BY	0.457	1	1
568.212	5.3	Ang	n/a	n/a	1
577.812	5.3	AX	0.441	2	1
586.212	5.3	AY	0.573	1	1
594.611	5.3	AX	0.408	2	1
601.811	5.3	AX	0.374	2	1
609.011	5.3	BY	0.447	1	1
617.411	5.3	Bng	n/a	n/a	1
625.811	5.3	AY	0.67	1	1
634.211	5.3	BY	0.7	1	1
641.411	5.3	Bng	n/a	n/a	1
651.011	5.3	Ang	n/a	n/a	1
659.411	5.3	BY	0.587	1	1
669.024	5.3	BY	0.696	1	1
678.624	5.3	BY	0.426	1	1
685.823	5.3	BY	0.355	1	1
