onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.111	8.5	Incongruent	AttendLetter	n/a	1.937	1	1
44.31	8.5	Congruent	AttendLetter	repeat	0.915	2	1
56.31	8.5	Congruent	AttendLetter	repeat	0.694	2	1
67.11	8.5	Congruent	AttendLetter	repeat	0.971	1	1
80.31	8.5	Congruent	AttendNumber	switch	1.058	2	1
92.31	8.5	Congruent	AttendLetter	switch	0.569	1	1
103.11	8.5	Congruent	AttendLetter	repeat	0.662	2	1
113.909	8.5	Congruent	AttendNumber	switch	0.958	1	1
127.109	8.5	Congruent	AttendLetter	switch	0.571	2	1
139.109	8.5	Incongruent	AttendNumber	switch	0.717	1	1
149.909	8.5	Congruent	AttendNumber	repeat	0.752	1	1
160.709	8.5	Congruent	AttendNumber	repeat	0.851	2	1
173.908	8.5	Incongruent	AttendNumber	repeat	0.666	1	1
185.908	8.5	Congruent	AttendNumber	repeat	0.619	1	1
199.108	8.5	Incongruent	AttendNumber	repeat	0.755	1	1
212.308	8.5	Incongruent	AttendLetter	switch	0.662	1	1
224.308	8.5	Congruent	AttendNumber	switch	0.825	1	1
235.108	8.5	Incongruent	AttendLetter	switch	0.768	2	1
277.107	8.5	Congruent	AttendNumber	n/a	0.873	1	1
289.107	8.5	Congruent	AttendLetter	switch	0.705	1	1
302.307	8.5	Incongruent	AttendNumber	switch	0.994	2	1
314.306	8.5	Congruent	AttendLetter	switch	0.819	2	1
327.506	8.5	Incongruent	AttendNumber	switch	0.608	2	1
338.306	8.5	Incongruent	AttendLetter	switch	0.759	2	1
349.106	8.5	Incongruent	AttendLetter	repeat	0.829	2	1
362.306	8.5	Congruent	AttendNumber	switch	0.789	1	1
374.306	8.5	Congruent	AttendNumber	repeat	0.633	2	1
385.119	8.5	Congruent	AttendLetter	switch	0.692	1	1
395.919	8.5	Congruent	AttendLetter	repeat	0.73	2	1
407.918	8.5	Congruent	AttendLetter	repeat	0.825	1	1
421.118	8.5	Incongruent	AttendNumber	switch	0.716	2	1
434.318	8.5	Congruent	AttendNumber	repeat	0.559	1	1
447.518	8.5	Incongruent	AttendNumber	repeat	0.676	2	1
458.318	8.5	Congruent	AttendLetter	switch	0.829	2	1
470.318	8.5	Incongruent	AttendLetter	repeat	0.624	1	1
482.317	8.5	Congruent	AttendNumber	switch	0.581	2	1
523.117	8.5	Congruent	AttendNumber	n/a	0.634	2	1
536.317	8.5	Incongruent	AttendNumber	repeat	0.597	1	1
547.116	8.5	Incongruent	AttendLetter	switch	0.701	1	1
560.316	8.5	Incongruent	AttendLetter	repeat	0.764	2	1
572.316	8.5	Incongruent	AttendNumber	switch	0.525	2	1
583.116	8.5	Incongruent	AttendNumber	repeat	0.81	2	1
595.116	8.5	Congruent	AttendNumber	repeat	0.864	2	0
607.116	8.5	Congruent	AttendLetter	switch	0.71	1	1
617.915	8.5	Congruent	AttendLetter	repeat	0.661	1	1
631.115	8.5	Congruent	AttendNumber	switch	0.678	1	1
644.315	8.5	Congruent	AttendNumber	repeat	0.894	2	1
656.315	8.5	Congruent	AttendLetter	switch	0.564	2	1
669.515	8.5	Congruent	AttendLetter	repeat	0.708	1	1
682.714	8.5	Congruent	AttendNumber	switch	0.937	1	1
693.514	8.5	Incongruent	AttendLetter	switch	0.654	1	1
704.314	8.5	Congruent	AttendLetter	repeat	0.708	2	1
716.314	8.5	Congruent	AttendLetter	repeat	0.583	2	1
727.114	8.5	Congruent	AttendNumber	switch	0.721	2	1
