onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.118	8.5	Incongruent	AttendLetter	n/a	1.501	2	1
41.917	8.5	Incongruent	AttendLetter	repeat	0.736	1	1
55.117	8.5	Incongruent	AttendNumber	switch	1.125	2	0
65.917	8.5	Congruent	AttendNumber	repeat	1.242	1	1
77.917	8.5	Congruent	AttendLetter	switch	0.821	2	1
89.916	8.5	Congruent	AttendLetter	repeat	0.88	2	1
100.716	8.5	Congruent	AttendNumber	switch	1.561	1	1
112.716	8.5	Congruent	AttendNumber	repeat	1.344	1	1
125.916	8.5	Incongruent	AttendNumber	repeat	1.013	1	1
139.115	8.5	Congruent	AttendNumber	repeat	0.778	1	1
151.115	8.5	Congruent	AttendLetter	switch	0.656	1	1
164.315	8.5	Congruent	AttendLetter	repeat	1.059	2	1
176.315	8.5	Congruent	AttendNumber	switch	1.141	2	1
187.115	8.5	Congruent	AttendLetter	switch	1.486	2	1
199.114	8.5	Incongruent	AttendLetter	repeat	1.279	1	1
212.314	8.5	Incongruent	AttendNumber	switch	2.015	1	1
225.514	8.5	Congruent	AttendLetter	switch	1.066	1	1
236.314	8.5	Congruent	AttendNumber	switch	1.126	2	1
277.113	8.5	Congruent	AttendLetter	n/a	2.051	2	1
287.912	8.5	Incongruent	AttendNumber	switch	2.284	2	1
299.912	8.5	Congruent	AttendNumber	repeat	0.755	1	1
310.712	8.5	Incongruent	AttendLetter	switch	0.674	2	1
322.712	8.5	Incongruent	AttendLetter	repeat	0.86	1	1
335.911	8.5	Incongruent	AttendNumber	switch	1.601	2	1
349.111	8.5	Congruent	AttendNumber	repeat	0.541	1	1
359.911	8.5	Congruent	AttendLetter	switch	1.229	1	1
373.111	8.5	Congruent	AttendNumber	switch	1.034	1	1
385.11	8.5	Congruent	AttendLetter	switch	1.623	1	1
398.31	8.5	Congruent	AttendNumber	switch	0.551	2	1
409.11	8.5	Incongruent	AttendNumber	repeat	0.739	2	1
419.91	8.5	Incongruent	AttendNumber	repeat	0.697	2	1
433.109	8.5	Incongruent	AttendLetter	switch	0.706	2	1
445.109	8.5	Congruent	AttendLetter	repeat	0.59	2	1
457.109	8.5	Congruent	AttendLetter	repeat	0.717	2	1
470.309	8.5	Congruent	AttendLetter	repeat	1.797	1	1
482.308	8.5	Congruent	AttendNumber	switch	0.499	2	1
523.108	8.5	Congruent	AttendNumber	n/a	0.462	1	1
533.907	8.5	Congruent	AttendLetter	switch	0.501	2	1
544.707	8.5	Incongruent	AttendNumber	switch	0.519	2	1
556.707	8.5	Incongruent	AttendLetter	switch	0.873	2	1
569.907	8.5	Congruent	AttendNumber	switch	1.731	1	1
580.706	8.5	Congruent	AttendNumber	repeat	0.556	1	1
593.906	8.5	Congruent	AttendLetter	switch	0.955	1	1
607.106	8.5	Congruent	AttendLetter	repeat	1.726	2	1
619.106	8.5	Congruent	AttendNumber	switch	1.874	2	1
631.119	8.5	Congruent	AttendLetter	switch	0.825	1	1
644.319	8.5	Incongruent	AttendLetter	repeat	0.735	1	1
655.118	8.5	Incongruent	AttendNumber	switch	2.07	2	1
667.118	8.5	Congruent	AttendNumber	repeat	0.991	2	1
677.918	8.5	Congruent	AttendLetter	switch	0.525	1	1
689.918	8.5	Congruent	AttendLetter	repeat	1.803	2	1
703.117	8.5	Incongruent	AttendLetter	repeat	0.473	1	1
716.317	8.5	Incongruent	AttendNumber	switch	0.553	1	1
728.317	8.5	Congruent	AttendNumber	repeat	2.02	2	1
