onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.808	10.4	NP	5	1.116	2	1
42.808	10.4	NN	8	1.086	1	1
56.007	10.4	NN	8	0.701	1	1
68.007	10.4	NP	5	n/a	n/a	0
81.207	10.4	NN	6	0.622	1	1
95.607	10.4	NP	8	0.933	2	1
110.006	10.4	NN	5	0.771	1	1
122.006	10.4	NP	7	1.663	1	0
135.206	10.4	NN	5	0.651	1	1
149.606	10.4	NP	5	0.85	2	1
164.005	10.4	NP	7	1.111	2	1
178.405	10.4	NP	8	0.554	2	1
191.605	10.4	NN	7	0.89	1	1
204.804	10.4	NP	6	0.571	2	1
216.804	10.4	RN	5	0.618	1	1
258.803	10.4	NN	6	0.767	1	1
273.203	10.4	NN	8	0.711	1	1
285.203	10.4	NP	7	1.508	2	1
297.203	10.4	NP	7	0.741	2	1
309.202	10.4	NP	8	0.619	2	1
323.602	10.4	NP	5	0.896	2	1
336.802	10.4	NN	7	0.675	1	1
350.015	10.4	NP	5	1.185	2	1
364.415	10.4	NN	8	0.789	1	1
376.414	10.4	RN	5	0.831	1	1
390.814	10.4	NN	5	0.646	1	1
402.814	10.4	NP	8	0.946	2	1
416.013	10.4	NP	8	1.215	2	1
430.413	10.4	NP	5	0.729	1	0
443.613	10.4	NN	5	0.678	1	1
486.812	10.4	NN	5	0.546	1	1
500.012	10.4	NP	5	0.789	2	1
512.011	10.4	NP	8	1.088	2	1
526.411	10.4	RN	5	1.123	1	1
538.411	10.4	NN	8	0.897	1	1
552.811	10.4	NP	7	0.895	2	1
567.21	10.4	NP	8	0.893	2	1
581.61	10.4	NN	5	0.831	1	1
594.81	10.4	NP	6	0.656	2	1
606.81	10.4	RN	8	1.272	2	0
618.809	10.4	NP	5	0.609	2	1
632.009	10.4	NN	8	0.845	1	1
645.209	10.4	NP	5	0.892	2	1
657.209	10.4	NN	7	0.705	1	1
670.408	10.4	NN	7	0.709	1	1
