onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.812	10.4	NP	5	0.804	2	1
42.812	10.4	NP	5	0.672	2	1
56.011	10.4	NN	5	0.725	1	1
69.211	10.4	NN	6	0.666	1	1
81.211	10.4	NN	8	0.603	1	1
95.611	10.4	NP	5	0.666	2	1
110.01	10.4	RN	5	0.779	1	1
122.01	10.4	NN	5	0.724	1	1
135.21	10.4	NN	7	0.744	1	1
147.209	10.4	NP	6	0.893	2	1
161.609	10.4	NP	8	0.769	2	1
176.009	10.4	NN	8	0.745	1	1
190.409	10.4	NP	7	1.066	2	1
203.608	10.4	NP	8	0.777	2	1
215.608	10.4	RN	7	1.19	1	1
258.807	10.4	NP	5	0.711	2	1
270.807	10.4	NN	8	0.955	1	1
284.007	10.4	RN	8	1.119	1	1
296.006	10.4	NP	5	0.774	2	1
309.206	10.4	RN	5	n/a	n/a	0
322.406	10.4	NN	6	0.72	1	1
336.806	10.4	NP	8	0.641	2	1
351.205	10.4	NN	7	0.853	1	1
364.405	10.4	NN	5	0.591	1	1
378.805	10.4	NP	8	0.648	2	1
393.204	10.4	NP	5	0.843	2	1
406.404	10.4	NP	7	0.882	2	1
420.804	10.4	NN	5	0.779	1	1
432.804	10.4	NN	8	0.587	1	1
444.803	10.4	NP	7	0.631	2	1
486.803	10.4	NN	7	0.786	1	1
501.202	10.4	NP	7	0.729	2	1
513.202	10.4	NP	6	0.584	2	1
526.402	10.4	NN	7	0.858	1	1
540.801	10.4	NP	8	0.995	2	1
554.001	10.4	NP	8	0.619	2	1
566.001	10.4	NP	5	1.714	1	0
580.401	10.4	NN	8	0.746	1	1
593.614	10.4	NN	5	0.74	1	1
606.813	10.4	NP	5	0.756	2	1
618.813	10.4	RN	5	1.004	2	0
630.813	10.4	NP	5	0.73	2	1
645.213	10.4	NN	6	0.822	1	1
657.212	10.4	NP	8	0.745	1	0
671.612	10.4	NN	5	0.608	1	1
