onset	duration	trial_type	response_time	response_button	response_accuracy
30.62	5.3	Bng	n/a	n/a	1
37.82	5.3	BY	0.383	1	1
46.22	5.3	BY	0.38	1	1
55.819	5.3	AX	0.273	2	1
64.219	5.3	Ang	0.49	1	0
71.419	5.3	AX	0.554	2	1
81.019	5.3	BY	0.499	1	1
89.419	5.3	AX	0.343	2	1
99.018	5.3	AY	0.45	1	1
106.218	5.3	Bng	n/a	n/a	1
114.618	5.3	Ang	n/a	n/a	1
124.218	5.3	BY	0.373	1	1
131.418	5.3	BY	0.455	1	1
141.018	5.3	AX	0.365	2	1
150.617	5.3	BY	0.358	1	1
157.817	5.3	AY	0.408	1	1
166.217	5.3	AX	0.322	2	1
173.417	5.3	BX	0.439	1	1
183.017	5.3	AX	0.307	2	1
191.417	5.3	AX	0.34	2	1
198.616	5.3	BX	0.445	1	1
207.016	5.3	BY	0.426	1	1
214.216	5.3	BY	0.404	1	1
222.616	5.3	AX	0.291	2	1
262.215	5.3	AX	0.309	2	1
270.615	5.3	BY	0.417	1	1
280.215	5.3	BX	0.395	1	1
288.615	5.3	BY	0.342	1	1
295.814	5.3	BX	0.459	1	1
304.214	5.3	AX	0.289	2	1
311.414	5.3	BY	0.395	1	1
318.614	5.3	AY	0.297	2	0
327.014	5.3	AX	0.31	2	1
334.214	5.3	Ang	n/a	n/a	1
343.813	5.3	Ang	n/a	n/a	1
353.413	5.3	AX	0.403	2	1
363.013	5.3	Bng	n/a	n/a	1
370.213	5.3	BY	0.594	1	1
378.613	5.3	AX	0.374	2	1
387.013	5.3	BY	0.412	1	1
395.412	5.3	BY	0.341	1	1
402.612	5.3	AY	0.456	1	1
409.812	5.3	BY	0.363	1	1
419.412	5.3	AX	0.294	2	1
429.012	5.3	BY	0.309	1	1
437.412	5.3	AX	0.339	1	0
447.011	5.3	Bng	n/a	n/a	1
456.611	5.3	AX	0.266	2	1
493.81	5.3	AX	0.303	2	1
501.01	5.3	BY	0.439	1	1
509.41	5.3	BY	0.334	1	1
516.61	5.3	AX	0.377	2	1
525.01	5.3	AX	0.271	2	1
533.41	5.3	AX	0.623	2	1
543.009	5.3	Ang	0.379	1	0
550.209	5.3	BY	0.421	1	1
559.809	5.3	BY	0.388	1	1
569.409	5.3	Ang	n/a	n/a	1
579.009	5.3	BY	0.408	1	1
587.422	5.3	AY	0.454	1	1
594.622	5.3	Bng	0.302	1	0
601.822	5.3	BX	0.508	2	0
610.222	5.3	BY	0.379	1	1
619.821	5.3	BY	0.348	1	1
629.421	5.3	BX	0.482	1	1
636.621	5.3	AX	0.264	2	1
646.221	5.3	AX	0.33	2	1
653.42	5.3	BY	0.445	1	1
661.82	5.3	AY	0.552	1	1
671.42	5.3	Bng	n/a	n/a	1
678.62	5.3	AX	0.509	1	0
687.02	5.3	AX	0.337	2	1
