onset	duration	trial_type	response_time	response_button	response_accuracy
30.611	5.3	AX	0.296	2	1
40.211	5.3	AX	0.307	2	1
48.611	5.3	BY	0.526	1	1
55.811	5.3	BY	0.341	1	1
65.411	5.3	BY	0.383	1	1
73.824	5.3	AX	0.418	2	1
81.024	5.3	Ang	n/a	n/a	1
90.623	5.3	BX	0.443	1	1
100.223	5.3	BY	0.521	1	1
107.423	5.3	BY	0.429	1	1
114.623	5.3	AX	0.231	2	1
123.023	5.3	AX	0.259	2	1
131.423	5.3	BY	0.27	1	1
139.823	5.3	BX	0.395	1	1
147.022	5.3	AX	0.28	2	1
156.622	5.3	BY	0.408	1	1
166.222	5.3	AX	0.246	2	1
173.422	5.3	AY	0.405	1	1
181.822	5.3	Bng	0.213	1	0
191.421	5.3	AX	0.591	1	0
198.621	5.3	BY	0.382	1	1
207.021	5.3	Bng	n/a	n/a	1
214.221	5.3	AY	0.471	1	1
223.821	5.3	Ang	n/a	n/a	1
262.22	5.3	AY	0.515	1	1
271.82	5.3	BY	0.378	1	1
279.02	5.3	AX	0.302	2	1
286.219	5.3	AX	0.307	1	0
294.619	5.3	BY	0.349	1	1
304.219	5.3	AX	0.293	2	1
311.419	5.3	AX	0.539	2	1
318.619	5.3	Bng	n/a	n/a	1
328.219	5.3	BY	0.42	1	1
336.618	5.3	AX	0.246	2	1
345.018	5.3	AX	0.256	2	1
353.418	5.3	BX	0.712	1	1
363.018	5.3	Ang	n/a	n/a	1
370.218	5.3	BY	0.32	1	1
379.818	5.3	BX	0.288	1	1
389.417	5.3	BY	0.293	1	1
397.817	5.3	AX	0.282	2	1
407.417	5.3	BY	0.294	2	0
415.817	5.3	Ang	n/a	n/a	1
423.017	5.3	AX	0.381	2	1
430.217	5.3	Bng	n/a	n/a	1
439.816	5.3	AY	0.429	1	1
447.016	5.3	BY	0.358	1	1
455.416	5.3	BY	0.371	1	1
493.815	5.3	AY	0.455	1	1
502.215	5.3	BY	0.382	1	1
509.415	5.3	AX	0.4	1	0
519.015	5.3	AX	0.309	1	0
528.614	5.3	BY	0.356	1	1
537.014	5.3	AX	0.311	2	1
544.214	5.3	BY	0.323	1	1
553.814	5.3	AY	0.465	1	1
561.014	5.3	BX	0.282	1	1
570.614	5.3	BY	0.383	1	1
579.013	5.3	BY	0.323	1	1
586.213	5.3	AX	0.381	2	1
594.613	5.3	BY	0.321	2	0
604.213	5.3	Ang	0.435	1	0
613.813	5.3	BX	1.161	1	1
621.013	5.3	AX	0.311	2	1
628.212	5.3	Bng	n/a	n/a	1
635.412	5.3	Ang	n/a	n/a	1
643.812	5.3	AX	0.304	2	1
653.412	5.3	AX	0.324	2	1
661.812	5.3	Bng	n/a	n/a	1
671.412	5.3	AX	0.473	2	1
679.811	5.3	BY	0.442	1	1
687.011	5.3	BY	0.3	1	1
