onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.813	10.4	NP	5	1.102	2	1
45.212	10.4	NN	8	0.72	1	1
59.612	10.4	NN	8	0.777	1	1
72.812	10.4	NP	5	0.732	2	1
86.012	10.4	NN	6	0.688	1	1
98.011	10.4	NP	8	1.087	2	1
110.011	10.4	NN	5	0.723	1	1
123.211	10.4	NP	7	0.675	2	1
137.611	10.4	NN	5	0.646	1	1
152.01	10.4	NP	5	0.744	2	1
164.01	10.4	NP	7	0.672	2	1
177.21	10.4	NP	8	0.973	2	1
189.21	10.4	NN	7	0.711	1	1
201.209	10.4	NP	6	0.655	2	1
214.409	10.4	RN	5	0.578	1	1
258.808	10.4	NN	6	0.938	1	1
272.008	10.4	NN	8	0.719	1	1
284.008	10.4	NP	7	0.653	1	0
296.007	10.4	NP	7	0.476	2	1
309.207	10.4	NP	8	0.672	2	1
323.607	10.4	NP	5	0.909	2	1
338.006	10.4	NN	7	0.661	1	1
350.006	10.4	NP	5	0.725	2	1
362.006	10.4	NN	8	0.626	1	1
375.206	10.4	RN	5	0.621	1	1
389.605	10.4	NN	5	0.785	2	0
402.805	10.4	NP	8	1.088	2	1
417.205	10.4	NP	8	1.026	2	1
430.405	10.4	NP	5	0.779	2	1
442.404	10.4	NN	5	0.655	1	1
486.803	10.4	NN	5	1.242	1	1
501.203	10.4	NP	5	0.647	2	1
513.203	10.4	NP	8	1.007	2	1
525.203	10.4	RN	5	0.73	1	1
539.602	10.4	NN	8	0.781	1	1
552.802	10.4	NP	7	0.858	2	1
566.002	10.4	NP	8	0.598	2	1
579.202	10.4	NN	5	0.662	1	1
592.401	10.4	NP	6	0.802	2	1
604.401	10.4	RN	8	0.937	1	1
616.401	10.4	NP	5	0.972	2	1
630.8	10.4	NN	8	0.802	1	1
642.8	10.4	NP	5	1.03	2	1
657.2	10.4	NN	7	0.624	1	1
671.6	10.4	NN	7	0.672	1	1
