onset	duration	trial_type	response_time	response_button	response_accuracy
30.606	5.3	Ang	n/a	n/a	1
39.022	5.3	AY	0.42	1	1
48.621	5.3	AX	0.345	2	1
57.019	5.3	BX	0.62	1	1
64.219	5.3	BY	0.368	1	1
73.817	5.3	AX	0.399	2	1
81.016	5.3	Bng	n/a	n/a	1
89.415	5.3	Bng	n/a	n/a	1
96.614	5.3	AX	0.302	2	1
105.013	5.3	AX	0.492	2	1
114.612	5.3	BY	0.352	1	1
121.811	5.3	BY	0.328	1	1
131.41	5.3	BY	0.359	1	1
139.809	5.3	AX	0.307	2	1
149.408	5.3	BY	0.331	1	1
156.607	5.3	AY	0.417	1	1
165.006	5.3	BY	0.348	1	1
174.621	5.3	BY	0.354	1	1
183.02	5.3	BX	0.337	1	1
191.419	5.3	Ang	n/a	n/a	1
201.018	5.3	BY	0.381	1	1
208.217	5.3	AX	0.296	2	1
217.816	5.3	AX	0.295	2	1
225.015	5.3	AX	0.291	2	1
262.21	5.3	AY	0.478	1	1
269.409	5.3	AX	0.298	2	1
277.808	5.3	AX	0.273	2	1
287.407	5.3	BY	0.421	1	1
297.022	5.3	BY	0.302	1	1
305.421	5.3	AX	0.279	2	1
313.82	5.3	AX	0.526	2	1
323.419	5.3	BX	0.318	1	1
330.618	5.3	Bng	n/a	n/a	1
339.017	5.3	AX	0.282	2	1
346.216	5.3	Ang	n/a	n/a	1
355.815	5.3	AX	0.268	2	1
363.014	5.3	Bng	n/a	n/a	1
372.612	5.3	BX	0.429	1	1
382.211	5.3	BY	0.303	1	1
389.41	5.3	AX	0.446	2	1
397.809	5.3	AX	0.272	2	1
406.208	5.3	Ang	n/a	n/a	1
414.607	5.3	BY	0.304	1	1
421.806	5.3	BY	0.317	1	1
429.022	5.3	BY	0.36	1	1
438.621	5.3	AY	0.429	1	1
447.019	5.3	BY	0.329	1	1
456.618	5.3	BY	0.297	1	1
493.813	5.3	AX	0.302	2	1
503.412	5.3	BY	0.337	1	1
511.811	5.3	BY	0.304	1	1
520.21	5.3	AX	0.318	2	1
527.409	5.3	AX	0.441	2	1
535.808	5.3	BX	0.288	1	1
544.207	5.3	AX	0.268	2	1
551.406	5.3	BY	0.316	1	1
561.022	5.3	Ang	n/a	n/a	1
568.221	5.3	BY	0.393	1	1
575.42	5.3	BY	0.403	1	1
585.018	5.3	Bng	n/a	n/a	1
594.617	5.3	BY	0.349	1	1
603.016	5.3	AX	0.283	2	1
612.615	5.3	BY	0.342	1	1
622.214	5.3	Bng	n/a	n/a	1
629.413	5.3	AX	0.309	2	1
637.812	5.3	AY	0.41	1	1
647.41	5.3	BX	0.383	1	1
655.809	5.3	AY	0.397	1	1
663.008	5.3	BY	0.345	1	1
672.607	5.3	AX	0.319	2	1
681.006	5.3	AX	0.442	2	1
688.222	5.3	Ang	n/a	n/a	1
