onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.119	8.5	Congruent	AttendNumber	n/a	0.888	1	1
41.918	8.5	Incongruent	AttendLetter	switch	0.463	1	1
55.116	8.5	Congruent	AttendLetter	repeat	1.304	1	1
67.115	8.5	Incongruent	AttendLetter	repeat	0.445	1	1
80.313	8.5	Congruent	AttendNumber	switch	0.497	1	1
92.312	8.5	Congruent	AttendLetter	switch	0.481	2	1
103.11	8.5	Incongruent	AttendNumber	switch	0.497	1	1
113.909	8.5	Congruent	AttendNumber	repeat	0.955	2	1
125.907	8.5	Incongruent	AttendLetter	switch	0.641	1	0
139.106	8.5	Incongruent	AttendNumber	switch	0.814	1	1
152.321	8.5	Congruent	AttendLetter	switch	0.784	2	1
163.119	8.5	Congruent	AttendLetter	repeat	0.59	2	1
173.918	8.5	Congruent	AttendNumber	switch	0.505	1	1
187.116	8.5	Congruent	AttendNumber	repeat	0.532	1	1
199.115	8.5	Incongruent	AttendNumber	repeat	0.739	1	1
212.313	8.5	Congruent	AttendNumber	repeat	0.968	2	1
223.112	8.5	Congruent	AttendLetter	switch	0.755	1	1
235.11	8.5	Congruent	AttendLetter	repeat	0.725	2	1
277.121	8.5	Congruent	AttendNumber	n/a	0.659	1	1
290.32	8.5	Incongruent	AttendLetter	switch	0.674	2	1
301.118	8.5	Congruent	AttendLetter	repeat	0.54	2	1
313.117	8.5	Congruent	AttendNumber	switch	0.599	1	1
325.115	8.5	Incongruent	AttendNumber	repeat	0.498	2	1
335.914	8.5	Congruent	AttendLetter	switch	0.801	1	1
347.912	8.5	Congruent	AttendNumber	switch	0.625	2	1
361.11	8.5	Incongruent	AttendLetter	switch	1.595	1	1
371.909	8.5	Incongruent	AttendLetter	repeat	1.119	2	1
385.107	8.5	Congruent	AttendLetter	repeat	0.577	1	1
397.106	8.5	Incongruent	AttendNumber	switch	0.535	2	1
409.121	8.5	Incongruent	AttendNumber	repeat	1.142	2	1
422.319	8.5	Congruent	AttendLetter	switch	0.76	2	1
434.318	8.5	Congruent	AttendNumber	switch	0.84	1	1
445.116	8.5	Incongruent	AttendNumber	repeat	0.708	2	1
455.915	8.5	Congruent	AttendLetter	switch	1.057	1	1
469.113	8.5	Congruent	AttendNumber	switch	0.743	2	1
482.312	8.5	Congruent	AttendLetter	switch	0.701	2	1
523.106	8.5	Incongruent	AttendNumber	n/a	0.727	1	1
536.321	8.5	Incongruent	AttendLetter	switch	0.796	2	1
548.32	8.5	Incongruent	AttendNumber	switch	0.722	2	1
561.518	8.5	Congruent	AttendNumber	repeat	0.711	1	1
572.317	8.5	Congruent	AttendLetter	switch	1.72	1	1
584.315	8.5	Incongruent	AttendNumber	switch	0.648	2	1
595.114	8.5	Incongruent	AttendLetter	switch	1.053	1	1
605.912	8.5	Congruent	AttendLetter	repeat	0.685	2	1
619.111	8.5	Congruent	AttendNumber	switch	0.542	1	1
631.109	8.5	Congruent	AttendLetter	switch	0.699	2	1
643.108	8.5	Congruent	AttendNumber	switch	1.041	2	1
656.306	8.5	Congruent	AttendLetter	switch	1.247	1	1
669.521	8.5	Congruent	AttendNumber	switch	0.6	1	1
682.719	8.5	Congruent	AttendNumber	repeat	0.629	2	1
694.718	8.5	Incongruent	AttendLetter	switch	0.742	1	1
705.516	8.5	Congruent	AttendLetter	repeat	0.523	2	1
716.315	8.5	Congruent	AttendLetter	repeat	0.559	1	1
727.114	8.5	Congruent	AttendNumber	switch	0.744	2	1
