onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.121	8.5	Congruent	AttendLetter	n/a	0.552	2	1
41.92	8.5	Congruent	AttendLetter	repeat	0.812	2	1
55.118	8.5	Congruent	AttendNumber	switch	0.486	1	1
65.917	8.5	Congruent	AttendLetter	switch	0.692	1	1
76.715	8.5	Incongruent	AttendLetter	repeat	0.646	1	1
88.714	8.5	Congruent	AttendNumber	switch	0.502	2	1
100.729	8.5	Incongruent	AttendLetter	switch	0.616	2	1
113.927	8.5	Congruent	AttendNumber	switch	0.659	1	1
125.926	8.5	Incongruent	AttendNumber	repeat	0.548	2	1
139.124	8.5	Congruent	AttendNumber	repeat	0.584	2	1
149.923	8.5	Congruent	AttendLetter	switch	0.455	1	1
161.921	8.5	Congruent	AttendLetter	repeat	0.47	1	1
175.119	8.5	Congruent	AttendNumber	switch	0.473	1	1
188.318	8.5	Incongruent	AttendNumber	repeat	0.584	2	1
201.516	8.5	Incongruent	AttendNumber	repeat	0.7	1	1
212.315	8.5	Incongruent	AttendLetter	switch	1.08	2	1
224.33	8.5	Congruent	AttendLetter	repeat	0.865	2	1
236.328	8.5	Congruent	AttendNumber	switch	0.995	2	1
277.123	8.5	Incongruent	AttendLetter	n/a	0.514	2	1
289.121	8.5	Congruent	AttendNumber	switch	0.505	1	1
302.32	8.5	Incongruent	AttendLetter	switch	1.02	1	1
315.518	8.5	Incongruent	AttendNumber	switch	0.374	1	1
327.516	8.5	Congruent	AttendLetter	switch	0.517	2	1
338.315	8.5	Incongruent	AttendNumber	switch	0.884	2	1
351.53	8.5	Congruent	AttendNumber	repeat	0.857	1	1
362.329	8.5	Congruent	AttendNumber	repeat	0.626	1	1
374.327	8.5	Congruent	AttendLetter	switch	0.722	2	1
385.126	8.5	Incongruent	AttendNumber	switch	0.563	1	1
395.924	8.5	Congruent	AttendLetter	switch	0.537	2	1
406.723	8.5	Congruent	AttendNumber	switch	0.526	1	1
418.721	8.5	Congruent	AttendLetter	switch	0.587	1	1
431.92	8.5	Congruent	AttendLetter	repeat	0.98	1	1
445.118	8.5	Congruent	AttendNumber	switch	0.767	2	1
457.116	8.5	Congruent	AttendLetter	switch	0.793	2	1
470.315	8.5	Congruent	AttendLetter	repeat	0.636	1	1
481.13	8.5	Incongruent	AttendNumber	switch	0.863	1	1
523.125	8.5	Congruent	AttendNumber	n/a	0.593	2	1
535.123	8.5	Incongruent	AttendNumber	repeat	0.532	2	1
547.122	8.5	Congruent	AttendNumber	repeat	0.66	2	1
557.92	8.5	Congruent	AttendNumber	repeat	0.685	2	1
571.119	8.5	Incongruent	AttendLetter	switch	0.73	2	1
584.317	8.5	Congruent	AttendNumber	switch	0.686	2	1
597.515	8.5	Congruent	AttendLetter	switch	0.852	2	1
608.314	8.5	Incongruent	AttendLetter	repeat	0.703	2	1
620.329	8.5	Congruent	AttendNumber	switch	0.527	1	1
631.127	8.5	Congruent	AttendLetter	switch	0.56	1	1
641.926	8.5	Congruent	AttendNumber	switch	0.603	1	1
653.925	8.5	Incongruent	AttendLetter	switch	0.71	2	1
667.123	8.5	Congruent	AttendLetter	repeat	0.79	2	1
679.121	8.5	Incongruent	AttendNumber	switch	0.516	1	1
692.32	8.5	Congruent	AttendLetter	switch	1.337	2	1
703.118	8.5	Incongruent	AttendLetter	repeat	0.378	1	1
715.117	8.5	Incongruent	AttendLetter	repeat	0.733	1	1
725.915	8.5	Congruent	AttendNumber	switch	0.92	1	1
