onset	duration	trial_type	response_time	response_button	response_accuracy
30.629	5.3	BX	n/a	n/a	0
39.028	5.3	AY	1.245	1	1
47.426	5.3	BY	0.768	1	1
55.825	5.3	AX	0.416	2	1
63.024	5.3	BY	0.939	1	1
71.423	5.3	AX	0.583	2	1
78.621	5.3	BY	1.026	1	1
88.22	5.3	Bng	n/a	n/a	1
95.419	5.3	BY	n/a	n/a	0
105.017	5.3	BY	0.818	1	1
114.616	5.3	AY	0.694	1	1
121.815	5.3	AX	0.586	2	1
131.43	5.3	AX	0.692	2	1
141.028	5.3	BY	0.643	1	1
148.227	5.3	Ang	0.67	1	0
156.626	5.3	AX	0.375	2	1
165.024	5.3	BY	0.408	1	1
172.223	5.3	Ang	n/a	n/a	1
179.422	5.3	BX	0.685	1	1
186.621	5.3	BY	0.59	1	1
196.22	5.3	AX	0.334	2	1
205.818	5.3	Bng	n/a	n/a	1
214.217	5.3	AX	0.354	2	1
222.615	5.3	AX	0.375	2	1
262.226	5.3	BY	0.506	1	1
270.624	5.3	Ang	n/a	n/a	1
279.023	5.3	BY	0.496	1	1
287.422	5.3	BY	0.426	1	1
297.02	5.3	AX	0.371	2	1
306.619	5.3	BY	0.512	1	1
313.818	5.3	AX	0.359	2	1
321.016	5.3	BY	0.531	1	1
328.215	5.3	BX	0.767	1	1
337.814	5.3	AX	0.299	2	1
345.029	5.3	AX	0.42	2	1
354.628	5.3	BY	0.543	1	1
363.026	5.3	Bng	n/a	n/a	1
371.425	5.3	AY	0.7	1	1
378.624	5.3	BY	0.579	1	1
388.222	5.3	AX	0.374	2	1
397.821	5.3	Ang	n/a	n/a	1
407.419	5.3	Bng	n/a	n/a	1
417.018	5.3	AX	0.374	2	1
425.417	5.3	AX	0.483	2	1
432.615	5.3	AX	0.38	2	1
441.014	5.3	BY	0.692	1	1
448.23	5.3	BX	0.733	1	1
455.429	5.3	AY	0.64	1	1
493.822	5.3	AX	0.365	2	1
503.421	5.3	AX	0.427	2	1
511.82	5.3	Bng	n/a	n/a	1
519.018	5.3	BY	0.481	1	1
527.417	5.3	AX	0.348	2	1
534.616	5.3	BY	0.628	1	1
544.214	5.3	BY	0.547	1	1
553.83	5.3	BY	0.328	1	1
562.228	5.3	AY	0.464	1	1
569.427	5.3	BY	0.44	1	1
576.626	5.3	AX	0.312	2	1
585.025	5.3	Ang	n/a	n/a	1
594.623	5.3	Ang	n/a	n/a	1
604.222	5.3	BY	0.369	1	1
612.62	5.3	AX	0.499	1	0
622.219	5.3	AX	0.493	2	1
629.418	5.3	AX	0.353	2	1
636.617	5.3	BX	0.673	2	0
645.015	5.3	BY	0.653	1	1
653.414	5.3	AY	0.49	1	1
660.629	5.3	AX	0.645	2	1
670.228	5.3	BY	0.562	1	1
677.427	5.3	Bng	n/a	n/a	1
685.825	5.3	BX	0.718	1	1
