onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.126	8.5	Congruent	AttendLetter	n/a	0.833	2	1
44.324	8.5	Incongruent	AttendLetter	repeat	1.528	2	1
55.123	8.5	Congruent	AttendLetter	repeat	0.706	2	1
68.32	8.5	Congruent	AttendNumber	switch	0.882	1	1
79.119	8.5	Congruent	AttendNumber	repeat	0.815	1	1
91.117	8.5	Incongruent	AttendNumber	repeat	0.819	2	1
103.115	8.5	Congruent	AttendNumber	repeat	0.964	2	1
116.33	8.5	Incongruent	AttendNumber	repeat	1.419	1	1
128.328	8.5	Congruent	AttendLetter	switch	0.923	2	1
139.126	8.5	Congruent	AttendNumber	switch	1.357	2	1
149.924	8.5	Incongruent	AttendLetter	switch	1.958	1	1
160.723	8.5	Congruent	AttendNumber	switch	1.691	2	1
172.721	8.5	Incongruent	AttendLetter	switch	1.747	2	1
185.919	8.5	Congruent	AttendLetter	repeat	1.342	1	1
197.917	8.5	Congruent	AttendNumber	switch	2.873	1	1
209.915	8.5	Incongruent	AttendNumber	repeat	1.625	2	1
223.129	8.5	Congruent	AttendLetter	switch	2.074	1	1
236.327	8.5	Congruent	AttendLetter	repeat	0.899	1	1
277.121	8.5	Incongruent	AttendLetter	n/a	1.309	2	1
289.119	8.5	Congruent	AttendLetter	repeat	1.687	2	1
299.917	8.5	Congruent	AttendLetter	repeat	1.58	2	1
313.115	8.5	Congruent	AttendLetter	repeat	1.235	2	1
323.93	8.5	Incongruent	AttendNumber	switch	1.14	1	1
334.728	8.5	Congruent	AttendNumber	repeat	2.145	1	1
346.726	8.5	Incongruent	AttendNumber	repeat	1.472	2	1
359.924	8.5	Incongruent	AttendLetter	switch	1.047	1	1
371.922	8.5	Congruent	AttendNumber	switch	1.611	1	1
385.12	8.5	Congruent	AttendLetter	switch	0.566	1	1
397.118	8.5	Congruent	AttendNumber	switch	1.494	2	1
409.117	8.5	Congruent	AttendLetter	switch	1.127	1	1
419.915	8.5	Incongruent	AttendNumber	switch	1.193	2	0
430.73	8.5	Congruent	AttendNumber	repeat	1.252	1	1
443.928	8.5	Congruent	AttendLetter	switch	0.91	2	1
455.926	8.5	Incongruent	AttendNumber	switch	1.174	1	1
469.124	8.5	Congruent	AttendNumber	repeat	1.072	1	1
482.322	8.5	Congruent	AttendLetter	switch	1.274	1	1
523.115	8.5	Congruent	AttendNumber	n/a	1.114	2	1
535.13	8.5	Incongruent	AttendLetter	switch	1.076	2	1
548.328	8.5	Congruent	AttendLetter	repeat	1.087	2	1
561.526	8.5	Congruent	AttendLetter	repeat	1.439	1	1
574.724	8.5	Congruent	AttendLetter	repeat	1.674	1	0
585.522	8.5	Incongruent	AttendLetter	repeat	0.676	1	1
597.52	8.5	Incongruent	AttendNumber	switch	1.136	1	1
608.318	8.5	Incongruent	AttendNumber	repeat	n/a	n/a	0
620.317	8.5	Congruent	AttendNumber	repeat	1.244	1	1
631.115	8.5	Congruent	AttendNumber	repeat	1.012	2	1
644.329	8.5	Congruent	AttendLetter	switch	1.026	2	1
657.527	8.5	Congruent	AttendNumber	switch	1.61	2	0
668.326	8.5	Congruent	AttendNumber	repeat	1.457	2	1
679.124	8.5	Incongruent	AttendLetter	switch	1.405	2	1
691.122	8.5	Congruent	AttendNumber	switch	2.146	2	1
701.92	8.5	Incongruent	AttendLetter	switch	1.74	2	1
713.918	8.5	Incongruent	AttendLetter	repeat	0.956	1	1
727.116	8.5	Congruent	AttendNumber	switch	1.446	1	1
