onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.801	10.4	NP	5	1.164	2	1
44.016	10.4	NN	8	0.836	1	1
58.414	10.4	NN	8	0.958	1	1
70.412	10.4	NP	5	0.991	2	1
84.81	10.4	NN	6	0.67	1	1
98.007	10.4	NP	8	1.159	2	1
110.006	10.4	NN	5	0.868	1	1
122.004	10.4	NP	7	1.274	2	1
134.002	10.4	NN	5	1.129	1	1
147.216	10.4	NP	5	1.697	2	1
161.614	10.4	NP	7	0.573	2	1
176.012	10.4	NP	8	0.786	2	1
188.01	10.4	NN	7	0.977	2	0
201.208	10.4	NP	6	1.191	2	1
214.406	10.4	RN	5	0.712	1	1
258.815	10.4	NN	6	0.587	1	1
272.013	10.4	NN	8	0.756	1	1
285.211	10.4	NP	7	1.149	2	1
297.209	10.4	NP	7	1.185	2	1
311.607	10.4	NP	8	0.602	2	1
324.805	10.4	NP	5	0.671	2	1
339.203	10.4	NN	7	1.061	1	1
353.617	10.4	NP	5	0.833	2	1
368.015	10.4	NN	8	1.446	1	1
380.013	10.4	RN	5	1.032	2	0
393.211	10.4	NN	5	1.209	1	1
406.409	10.4	NP	8	0.857	2	1
418.407	10.4	NP	8	1.068	2	1
432.804	10.4	NP	5	0.909	2	1
444.803	10.4	NN	5	0.939	1	1
486.813	10.4	NN	5	0.803	1	1
501.21	10.4	NP	5	0.933	2	1
514.408	10.4	NP	8	0.726	2	1
527.606	10.4	RN	5	1.86	1	1
542.004	10.4	NN	8	1.151	1	1
556.402	10.4	NP	7	0.789	2	1
569.616	10.4	NP	8	0.944	2	1
584.014	10.4	NN	5	1.581	1	1
596.012	10.4	NP	6	0.935	2	1
610.41	10.4	RN	8	1.71	2	0
623.608	10.4	NP	5	0.744	2	1
635.606	10.4	NN	8	0.828	1	1
647.604	10.4	NP	5	0.86	2	1
660.802	10.4	NN	7	0.699	1	1
672.817	10.4	NN	7	0.881	1	1
