onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.822	10.4	NP	5	0.595	2	1
44.019	10.4	NP	5	1.225	2	1
58.417	10.4	NN	5	0.694	1	1
70.415	10.4	NN	6	0.818	1	1
84.813	10.4	NN	8	0.669	1	1
98.028	10.4	NP	5	0.815	2	1
111.226	10.4	RN	5	1.094	1	1
123.224	10.4	NN	5	0.678	1	1
137.621	10.4	NN	7	0.825	1	1
152.019	10.4	NP	6	0.867	2	1
164.017	10.4	NP	8	0.671	2	1
176.015	10.4	NN	8	0.86	1	1
189.213	10.4	NP	7	0.899	2	1
201.228	10.4	NP	8	1.065	2	1
215.626	10.4	RN	7	0.804	1	1
258.819	10.4	NP	5	0.796	2	1
270.817	10.4	NN	8	0.986	1	1
285.215	10.4	RN	8	1.568	1	1
297.213	10.4	NP	5	0.824	2	1
309.228	10.4	RN	5	1.718	1	1
322.425	10.4	NN	6	0.471	1	1
336.823	10.4	NP	8	0.941	2	1
351.221	10.4	NN	7	0.845	1	1
365.619	10.4	NN	5	0.67	1	1
377.617	10.4	NP	8	0.854	2	1
390.815	10.4	NP	5	1.802	2	1
404.013	10.4	NP	7	0.853	2	1
418.427	10.4	NN	5	0.695	1	1
430.425	10.4	NN	8	0.655	1	1
443.623	10.4	NP	7	0.968	2	1
486.816	10.4	NN	7	0.797	1	1
501.214	10.4	NP	7	0.744	2	1
513.212	10.4	NP	6	n/a	n/a	0
527.626	10.4	NN	7	0.645	1	1
542.024	10.4	NP	8	0.777	2	1
554.022	10.4	NP	8	0.725	2	1
567.22	10.4	NP	5	0.717	2	1
579.218	10.4	NN	8	0.848	1	1
593.616	10.4	NN	5	0.667	1	1
606.814	10.4	NP	5	0.797	2	1
618.812	10.4	RN	5	1.486	1	1
632.027	10.4	NP	5	0.943	2	1
644.025	10.4	NN	6	0.657	1	1
658.422	10.4	NP	8	0.922	2	1
671.62	10.4	NN	5	0.77	1	1
