onset	duration	trial_type	response_time	response_button	response_accuracy
30.62	5.3	BY	0.762	1	1
37.82	5.3	AY	0.863	1	1
47.419	5.3	BY	0.388	1	1
54.619	5.3	AX	0.688	2	1
64.218	5.3	BX	0.774	1	1
71.418	5.3	Bng	n/a	n/a	1
79.817	5.3	BY	0.75	1	1
88.216	5.3	Bng	n/a	n/a	1
97.816	5.3	BY	0.959	1	1
105.015	5.3	Ang	n/a	n/a	1
114.615	5.3	BY	0.982	1	1
123.014	5.3	BY	0.833	1	1
131.413	5.3	AX	0.758	2	1
141.013	5.3	AX	0.536	2	1
148.212	5.3	AX	0.386	2	1
156.612	5.3	Ang	n/a	n/a	1
166.211	5.3	AY	n/a	n/a	0
173.41	5.3	BY	0.704	1	1
181.81	5.3	AX	0.575	2	1
189.009	5.3	AX	0.565	2	1
198.609	5.3	AX	0.344	2	1
208.221	5.3	BY	0.889	1	1
216.621	5.3	BX	0.978	1	1
225.02	5.3	AX	0.578	2	1
262.217	5.3	AX	0.538	2	1
271.817	5.3	BX	1.36	1	1
280.216	5.3	BY	0.409	1	1
289.816	5.3	BX	0.634	1	1
297.015	5.3	AY	0.756	1	1
304.215	5.3	AX	0.379	2	1
312.614	5.3	BY	0.787	1	1
319.813	5.3	BY	0.436	1	1
329.413	5.3	Ang	n/a	n/a	1
336.612	5.3	AX	0.637	2	1
345.012	5.3	AX	0.67	2	1
353.411	5.3	Bng	n/a	n/a	1
363.01	5.3	Ang	n/a	n/a	1
372.61	5.3	AX	0.866	2	1
382.209	5.3	AY	1.31	1	1
389.409	5.3	BY	0.382	1	1
399.021	5.3	Bng	0.341	1	0
407.421	5.3	AX	0.353	2	1
415.82	5.3	BY	1.022	1	1
425.419	5.3	BY	0.724	1	1
433.819	5.3	BY	0.337	1	1
441.018	5.3	BY	0.364	1	1
449.418	5.3	AX	0.322	2	1
456.617	5.3	AX	0.366	2	1
493.815	5.3	BY	0.866	1	1
502.214	5.3	Ang	n/a	n/a	1
510.613	5.3	AX	0.87	2	1
517.813	5.3	AX	0.768	2	1
526.212	5.3	BY	1.414	1	1
535.812	5.3	BY	0.705	1	1
545.411	5.3	BY	0.526	1	1
555.01	5.3	AY	n/a	n/a	0
562.21	5.3	Ang	n/a	n/a	1
569.409	5.3	Bng	n/a	n/a	1
579.009	5.3	AX	0.62	2	1
587.421	5.3	BX	n/a	n/a	0
594.621	5.3	AX	0.611	2	1
604.22	5.3	BX	1.056	1	1
611.42	5.3	AY	1.362	1	1
619.819	5.3	AX	0.87	2	1
628.218	5.3	AX	0.363	2	1
637.818	5.3	BY	1.023	1	1
647.417	5.3	BY	1.074	1	1
657.016	5.3	BY	0.918	1	1
664.216	5.3	AX	0.584	2	1
671.415	5.3	BY	0.415	1	1
679.815	5.3	AX	0.748	2	1
687.014	5.3	Bng	n/a	n/a	1
