onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.816	10.4	NP	5	1.014	2	1
45.215	10.4	NP	5	0.89	2	1
57.214	10.4	NN	5	1.255	1	1
71.613	10.4	NN	6	1.232	1	1
86.012	10.4	NN	8	0.81	1	1
98.025	10.4	NP	5	1.813	2	1
110.024	10.4	RN	5	1.626	1	1
124.423	10.4	NN	5	0.843	1	1
137.622	10.4	NN	7	0.823	1	1
150.821	10.4	NP	6	n/a	n/a	0
164.02	10.4	NP	8	1.163	2	1
176.019	10.4	NN	8	0.778	1	1
188.018	10.4	NP	7	1.191	2	1
201.217	10.4	NP	8	1.15	2	1
214.416	10.4	RN	7	1.583	2	0
258.813	10.4	NP	5	1.107	2	1
272.012	10.4	NN	8	1.04	1	1
285.225	10.4	RN	8	1.102	1	1
298.424	10.4	NP	5	0.851	2	1
311.623	10.4	RN	5	1.466	2	0
323.622	10.4	NN	6	0.944	1	1
336.821	10.4	NP	8	1.316	2	1
348.82	10.4	NN	7	1.016	1	1
363.219	10.4	NN	5	1.206	1	1
377.618	10.4	NP	8	1.05	2	1
389.617	10.4	NP	5	n/a	n/a	0
404.016	10.4	NP	7	1.14	2	1
416.016	10.4	NN	5	0.781	1	1
428.015	10.4	NN	8	0.913	1	1
442.414	10.4	NP	7	1.328	2	1
486.824	10.4	NN	7	1.022	1	1
500.023	10.4	NP	7	0.854	2	1
512.022	10.4	NP	6	1.249	2	1
525.221	10.4	NN	7	n/a	n/a	0
538.42	10.4	NP	8	1.178	2	1
550.419	10.4	NP	8	0.842	2	1
564.818	10.4	NP	5	0.75	2	1
576.818	10.4	NN	8	0.689	1	1
590.017	10.4	NN	5	0.938	1	1
603.216	10.4	NP	5	1.569	2	1
617.615	10.4	RN	5	0.838	1	1
629.614	10.4	NP	5	1.235	2	1
644.013	10.4	NN	6	0.873	1	1
658.412	10.4	NP	8	1.515	2	1
670.424	10.4	NN	5	0.654	1	1
