onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.707	2	InCon	MC	0.905	1
35.506	2	Con	MC	0.874	1
40.306	2	InCon	MC	0.7085	1
46.306	2	Con	PC50	0.8975	1
52.305	2	Con	MC	0.778	1
55.905	2	Con	MC	0.9805	1
60.705	2	Con	MC	0.733	1
66.704	2	Con	MC	0.7355	1
70.304	2	Con	MC	0.702	1
76.304	2	Con	MC	0.8415	1
79.903	2	InCon	PC50	0.8725	1
83.503	2	InCon	PC50	0.959	1
88.303	2	Con	PC50	0.8815	1
94.302	2	InCon	PC50	0.991	1
99.102	2	Con	MC	0.742	1
105.102	2	InCon	PC50	0.7955	1
108.701	2	Con	PC50	0.859	1
114.701	2	InCon	MC	0.952	1
119.501	2	InCon	MC	0.8555	1
124.314	2	Con	MC	0.6685	1
129.113	2	Con	MC	0.7735	1
132.713	2	InCon	MC	1.105	1
136.313	2	InCon	PC50	0.7645	1
142.312	2	Con	MC	1.104	1
145.912	2	Con	PC50	0.807	1
151.912	2	Con	MC	0.8545	1
157.911	2	Con	MC	0.936	1
162.711	2	Con	PC50	0.866	1
167.51	2	Con	MC	0.685	1
171.11	2	Con	MC	0.8045	1
177.11	2	Con	MC	0.9545	1
181.909	2	Con	MC	0.89	1
187.909	2	InCon	PC50	1.2935	1
192.709	2	Con	MC	0.6525	1
196.308	2	Con	PC50	0.8025	1
199.908	2	InCon	MC	0.9055	1
233.506	2	Con	PC50	0.9345	1
239.505	2	Con	MC	0.93	1
243.105	2	Con	MC	0.763	1
247.905	2	Con	MC	0.731	1
253.904	2	Con	PC50	1.0335	1
257.504	2	Con	MC	0.6705	1
263.504	2	Con	MC	0.8825	1
268.303	2	Con	MC	0.8655	1
271.903	2	Con	MC	0.7805	1
275.503	2	Con	PC50	0.688	1
280.303	2	InCon	MC	1.331	1
285.102	2	InCon	PC50	0.96	1
291.102	2	InCon	PC50	1.1405	1
297.101	2	Con	MC	0.9425	1
300.701	2	Con	MC	0.855	1
305.501	2	Con	MC	0.6555	1
310.3	2	InCon	PC50	1.1865	1
313.914	2	Con	PC50	1.0125	1
318.713	2	Con	PC50	0.6965	1
322.313	2	Con	MC	0.6655	1
328.312	2	Con	MC	0.9515	1
331.912	2	InCon	PC50	1.0425	1
336.712	2	InCon	MC	0.719	0
342.711	2	InCon	MC	0.899	1
348.711	2	Con	MC	0.76	1
354.711	2	Con	MC	0.927	1
359.51	2	InCon	MC	0.8175	1
364.31	2	Con	MC	0.635	1
367.91	2	Con	PC50	0.972	1
371.509	2	InCon	PC50	0.805	1
377.509	2	Con	MC	0.8375	1
383.509	2	InCon	MC	1.0945	1
387.108	2	InCon	PC50	0.8865	1
393.108	2	Con	MC	0.7205	1
396.708	2	Con	MC	0.8875	1
401.507	2	InCon	MC	0.9715	1
436.305	2	Con	MC	0.756	1
439.905	2	Con	MC	0.663	1
444.704	2	InCon	PC50	0.7875	1
449.504	2	Con	MC	0.694	1
453.104	2	InCon	MC	1.0715	1
459.103	2	Con	MC	0.8115	1
463.903	2	Con	MC	0.5465	1
469.903	2	Con	PC50	0.6445	1
475.902	2	Con	MC	0.893	1
480.702	2	Con	MC	0.625	1
484.302	2	InCon	MC	0.995	1
490.301	2	Con	MC	0.7115	1
493.901	2	Con	PC50	0.7765	1
497.501	2	Con	PC50	0.792	1
503.514	2	Con	MC	1.0655	1
508.313	2	Con	MC	0.7935	1
511.913	2	Con	MC	0.844	1
517.913	2	InCon	PC50	0.907	1
522.712	2	InCon	MC	0.962	1
528.712	2	InCon	MC	1.1855	1
533.511	2	Con	MC	0.7785	1
537.111	2	InCon	PC50	0.799	1
543.111	2	InCon	MC	0.957	1
546.71	2	InCon	MC	0.9075	1
551.51	2	InCon	PC50	1.109	1
557.51	2	Con	MC	1.0015	1
563.509	2	InCon	PC50	0.997	1
567.109	2	Con	MC	1.542	1
570.709	2	Con	MC	1.1035	1
575.508	2	Con	MC	0.729	1
581.508	2	InCon	PC50	0.7155	1
585.108	2	Con	PC50	0.818	1
589.907	2	Con	MC	1.0225	1
594.707	2	Con	PC50	0.574	1
598.307	2	Con	MC	0.8145	1
604.306	2	Con	PC50	0.809	1
