onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.107	8.5	Congruent	AttendLetter	n/a	0.814	2	1
41.906	8.5	Congruent	AttendLetter	repeat	0.791	1	1
53.906	8.5	Congruent	AttendNumber	switch	1.131	1	1
65.905	8.5	Congruent	AttendNumber	repeat	0.702	1	1
76.704	8.5	Congruent	AttendLetter	switch	0.653	2	1
87.516	8.5	Congruent	AttendNumber	switch	0.987	1	1
99.516	8.5	Congruent	AttendNumber	repeat	0.824	2	1
112.715	8.5	Congruent	AttendLetter	switch	0.592	1	1
125.914	8.5	Incongruent	AttendNumber	switch	1.305	1	1
139.113	8.5	Incongruent	AttendLetter	switch	1.247	2	1
149.912	8.5	Congruent	AttendLetter	repeat	0.962	2	1
163.111	8.5	Congruent	AttendNumber	switch	0.997	1	1
173.91	8.5	Incongruent	AttendLetter	switch	0.833	1	1
185.909	8.5	Incongruent	AttendNumber	switch	0.979	1	1
196.708	8.5	Congruent	AttendLetter	switch	1.26	2	1
209.908	8.5	Incongruent	AttendLetter	repeat	0.745	1	1
221.907	8.5	Congruent	AttendNumber	switch	1.057	2	1
235.106	8.5	Incongruent	AttendNumber	repeat	0.727	1	1
277.116	8.5	Congruent	AttendLetter	n/a	1.453	1	1
289.115	8.5	Congruent	AttendLetter	repeat	1.059	2	1
302.314	8.5	Congruent	AttendNumber	switch	0.924	2	1
314.313	8.5	Incongruent	AttendNumber	repeat	1.167	2	1
326.312	8.5	Congruent	AttendLetter	switch	1.234	1	1
337.112	8.5	Congruent	AttendLetter	repeat	0.891	1	1
350.311	8.5	Incongruent	AttendNumber	switch	1.225	2	1
361.11	8.5	Congruent	AttendNumber	repeat	0.593	1	1
374.309	8.5	Congruent	AttendNumber	repeat	1.074	1	1
385.108	8.5	Congruent	AttendNumber	repeat	0.679	1	1
398.307	8.5	Congruent	AttendNumber	repeat	0.671	2	1
410.306	8.5	Congruent	AttendLetter	switch	0.812	2	1
423.505	8.5	Incongruent	AttendNumber	switch	0.93	2	1
434.304	8.5	Incongruent	AttendLetter	switch	1.082	2	1
446.304	8.5	Incongruent	AttendLetter	repeat	0.881	2	0
459.516	8.5	Incongruent	AttendNumber	switch	1.116	2	1
470.315	8.5	Incongruent	AttendLetter	switch	0.848	2	1
481.114	8.5	Congruent	AttendLetter	repeat	0.816	2	1
523.111	8.5	Congruent	AttendNumber	n/a	0.786	2	1
533.91	8.5	Incongruent	AttendNumber	repeat	0.602	1	1
545.91	8.5	Incongruent	AttendNumber	repeat	0.934	2	1
557.909	8.5	Congruent	AttendNumber	repeat	1.213	2	1
571.108	8.5	Incongruent	AttendLetter	switch	0.736	1	1
584.307	8.5	Congruent	AttendLetter	repeat	0.874	2	1
597.506	8.5	Incongruent	AttendLetter	repeat	0.971	1	1
609.505	8.5	Congruent	AttendLetter	repeat	0.977	2	1
620.304	8.5	Congruent	AttendNumber	switch	1.029	1	1
631.117	8.5	Congruent	AttendNumber	repeat	0.784	1	1
644.316	8.5	Congruent	AttendNumber	repeat	0.977	1	1
655.115	8.5	Congruent	AttendLetter	switch	0.985	2	1
668.314	8.5	Congruent	AttendLetter	repeat	0.589	1	1
679.113	8.5	Incongruent	AttendNumber	switch	0.986	2	1
689.912	8.5	Congruent	AttendLetter	switch	0.954	1	1
701.911	8.5	Congruent	AttendLetter	repeat	1.049	1	1
715.11	8.5	Incongruent	AttendLetter	repeat	0.878	1	0
727.11	8.5	Congruent	AttendNumber	switch	0.979	2	1
