onset	duration	trial_type	response_time	response_button	response_accuracy
30.611	5.3	Ang	n/a	n/a	1
39.01	5.3	BY	0.629	1	1
47.409	5.3	AX	0.497	2	1
57.008	5.3	BY	0.707	1	1
64.208	5.3	Ang	n/a	n/a	1
71.407	5.3	BY	0.546	1	1
78.607	5.3	Bng	n/a	n/a	1
88.219	5.3	AX	0.544	2	1
96.618	5.3	Bng	n/a	n/a	1
106.218	5.3	BY	0.751	1	1
113.417	5.3	AX	n/a	n/a	0
121.816	5.3	AY	0.669	1	1
131.416	5.3	BX	1.05	1	1
139.815	5.3	AX	0.562	1	0
147.014	5.3	AX	0.624	2	1
156.614	5.3	BX	0.523	1	1
163.813	5.3	AX	0.408	1	0
173.412	5.3	AX	0.322	2	1
183.011	5.3	BY	0.564	1	1
192.611	5.3	AX	0.368	2	1
201.01	5.3	BY	1.131	1	1
208.209	5.3	BY	0.608	1	1
215.409	5.3	BY	0.517	1	1
223.808	5.3	AY	0.722	1	1
262.218	5.3	AX	0.358	2	1
270.618	5.3	AX	0.499	2	1
280.217	5.3	AX	0.332	2	1
287.416	5.3	AY	0.943	1	1
295.815	5.3	BY	0.43	1	1
304.215	5.3	Bng	n/a	n/a	1
313.814	5.3	BY	0.654	1	1
321.013	5.3	BY	0.38	1	1
328.213	5.3	BX	0.859	1	1
336.612	5.3	AX	0.435	2	1
346.211	5.3	BY	0.945	1	1
355.811	5.3	BY	0.511	1	1
363.01	5.3	BY	0.627	1	1
370.209	5.3	AX	0.393	2	1
379.809	5.3	BX	0.985	1	1
387.008	5.3	Ang	n/a	n/a	1
395.407	5.3	AX	0.407	2	1
405.02	5.3	BY	0.547	1	1
413.419	5.3	Ang	n/a	n/a	1
423.018	5.3	Bng	n/a	n/a	1
431.418	5.3	AX	0.518	2	1
438.617	5.3	AX	0.429	2	1
448.216	5.3	BY	0.943	1	1
455.416	5.3	AY	0.608	1	1
493.813	5.3	BY	0.612	1	1
503.412	5.3	AY	0.577	1	1
513.011	5.3	AX	0.639	2	1
520.21	5.3	BX	0.916	1	1
528.61	5.3	BY	0.571	1	1
537.009	5.3	AX	0.442	2	1
546.608	5.3	AY	0.658	1	1
555.008	5.3	BY	0.622	1	1
564.607	5.3	Ang	n/a	n/a	1
571.819	5.3	Ang	n/a	n/a	1
579.019	5.3	BY	0.896	1	1
587.418	5.3	AX	n/a	n/a	0
594.618	5.3	BY	0.593	1	1
604.217	5.3	BY	0.393	1	1
612.616	5.3	Bng	n/a	n/a	1
619.816	5.3	AX	0.613	2	1
629.415	5.3	AX	0.418	2	1
637.814	5.3	BX	n/a	n/a	0
646.213	5.3	BY	0.864	1	1
653.413	5.3	Bng	n/a	n/a	1
660.612	5.3	BY	0.807	1	1
669.011	5.3	AX	0.508	2	1
678.611	5.3	AX	0.495	2	1
685.81	5.3	AX	0.382	2	1
