onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.112	8.5	Congruent	AttendLetter	n/a	1.211	2	1
44.311	8.5	Incongruent	AttendNumber	switch	1.661	2	1
55.11	8.5	Congruent	AttendNumber	repeat	0.848	2	1
65.909	8.5	Incongruent	AttendLetter	switch	0.777	2	1
79.108	8.5	Incongruent	AttendLetter	repeat	1.335	1	1
89.907	8.5	Congruent	AttendNumber	switch	1.139	1	1
101.92	8.5	Congruent	AttendLetter	switch	0.774	2	1
113.919	8.5	Incongruent	AttendLetter	repeat	1.244	2	1
125.918	8.5	Congruent	AttendNumber	switch	1.068	2	1
139.117	8.5	Incongruent	AttendNumber	repeat	0.609	1	1
151.116	8.5	Congruent	AttendNumber	repeat	0.613	1	1
163.115	8.5	Congruent	AttendLetter	switch	0.793	1	1
173.914	8.5	Congruent	AttendLetter	repeat	1.067	2	1
187.113	8.5	Congruent	AttendLetter	repeat	1.046	1	1
197.912	8.5	Congruent	AttendNumber	switch	0.902	2	1
211.111	8.5	Congruent	AttendLetter	switch	1.261	1	1
223.11	8.5	Congruent	AttendNumber	switch	1.03	1	1
233.909	8.5	Incongruent	AttendNumber	repeat	2.32	2	1
277.119	8.5	Congruent	AttendLetter	n/a	0.923	1	1
290.318	8.5	Congruent	AttendNumber	switch	0.854	2	1
301.117	8.5	Congruent	AttendLetter	switch	0.88	1	1
313.116	8.5	Incongruent	AttendLetter	repeat	0.801	1	1
326.315	8.5	Incongruent	AttendLetter	repeat	2.077	2	1
338.314	8.5	Congruent	AttendNumber	switch	1.286	1	1
349.113	8.5	Congruent	AttendLetter	switch	0.834	1	1
362.312	8.5	Congruent	AttendLetter	repeat	0.854	2	1
373.111	8.5	Congruent	AttendNumber	switch	1.148	1	1
385.11	8.5	Congruent	AttendLetter	switch	1.447	2	1
398.309	8.5	Incongruent	AttendNumber	switch	1.148	1	1
410.308	8.5	Congruent	AttendNumber	repeat	1.382	1	1
423.507	8.5	Incongruent	AttendNumber	repeat	1.07	1	1
435.519	8.5	Congruent	AttendLetter	switch	1.032	2	1
448.718	8.5	Incongruent	AttendNumber	switch	0.627	1	1
459.517	8.5	Congruent	AttendLetter	switch	2.191	2	1
471.516	8.5	Incongruent	AttendNumber	switch	1.434	2	1
482.315	8.5	Congruent	AttendNumber	repeat	1.101	1	1
523.112	8.5	Congruent	AttendLetter	n/a	2.361	2	1
536.311	8.5	Incongruent	AttendNumber	switch	1.218	2	1
548.31	8.5	Congruent	AttendNumber	repeat	1.169	2	1
561.509	8.5	Congruent	AttendNumber	repeat	0.808	2	1
572.308	8.5	Incongruent	AttendNumber	repeat	0.784	1	1
585.507	8.5	Incongruent	AttendLetter	switch	0.944	2	1
597.519	8.5	Congruent	AttendNumber	switch	1.227	2	1
608.318	8.5	Incongruent	AttendLetter	switch	0.929	1	1
620.317	8.5	Congruent	AttendNumber	switch	0.793	2	1
631.116	8.5	Incongruent	AttendLetter	switch	1.128	2	1
643.115	8.5	Incongruent	AttendLetter	repeat	0.967	2	1
655.114	8.5	Incongruent	AttendLetter	repeat	1.12	1	1
665.913	8.5	Congruent	AttendLetter	repeat	0.965	2	1
676.712	8.5	Congruent	AttendLetter	repeat	2.442	2	1
689.911	8.5	Congruent	AttendNumber	switch	1.297	1	1
701.91	8.5	Congruent	AttendNumber	repeat	0.73	1	1
715.109	8.5	Congruent	AttendLetter	switch	0.969	1	1
725.908	8.5	Congruent	AttendNumber	switch	1.072	1	1
