onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.802	10.4	NP	5	1.819	2	1
42.801	10.4	NP	5	1.455	2	1
57.2	10.4	NN	5	0.97	1	1
71.612	10.4	NN	6	0.992	1	1
84.811	10.4	NN	8	0.951	1	1
96.81	10.4	NP	5	1.501	1	0
108.809	10.4	RN	5	1.602	2	0
122.008	10.4	NN	5	1.143	1	1
136.407	10.4	NN	7	1.169	2	0
150.805	10.4	NP	6	1.523	2	1
164.004	10.4	NP	8	1.215	2	1
177.203	10.4	NN	8	1.171	1	1
189.202	10.4	NP	7	1.325	2	1
201.201	10.4	NP	8	1.834	2	1
214.4	10.4	RN	7	1.264	2	0
258.81	10.4	NP	5	1.475	2	1
273.209	10.4	NN	8	1.107	1	1
287.608	10.4	RN	8	1.362	1	1
302.006	10.4	NP	5	1.016	2	1
315.205	10.4	RN	5	n/a	n/a	0
328.404	10.4	NN	6	1.315	1	1
340.403	10.4	NP	8	0.979	2	1
352.402	10.4	NN	7	1.327	1	1
364.401	10.4	NN	5	1.196	1	1
376.4	10.4	NP	8	1.483	2	1
389.613	10.4	NP	5	1.569	2	1
404.011	10.4	NP	7	1.412	2	1
417.21	10.4	NN	5	1.376	1	1
430.409	10.4	NN	8	1.207	1	1
444.808	10.4	NP	7	1.55	2	1
486.805	10.4	NN	7	1.333	1	1
500.003	10.4	NP	7	1.287	2	1
514.402	10.4	NP	6	1.564	2	1
527.601	10.4	NN	7	n/a	n/a	0
542	10.4	NP	8	1.219	2	1
556.412	10.4	NP	8	1.274	2	1
570.811	10.4	NP	5	1.376	2	1
582.81	10.4	NN	8	1.786	1	1
594.809	10.4	NN	5	1.123	1	1
606.808	10.4	NP	5	1.603	2	1
620.007	10.4	RN	5	1.856	1	1
633.206	10.4	NP	5	1.85	1	0
645.205	10.4	NN	6	1.227	1	1
658.404	10.4	NP	8	1.289	2	1
672.803	10.4	NN	5	1.22	1	1
