onset	duration	trial_type	response_time	response_button	response_accuracy
30.612	5.3	AY	0.521	1	1
39.011	5.3	AX	0.59	2	1
47.411	5.3	BY	0.442	1	1
54.61	5.3	BY	0.416	1	1
63.01	5.3	Bng	n/a	n/a	1
72.609	5.3	BX	0.864	1	1
81.009	5.3	Ang	n/a	n/a	1
90.608	5.3	AX	0.438	2	1
97.808	5.3	BY	0.562	1	1
107.407	5.3	AX	0.491	2	1
117.006	5.3	AX	0.454	2	1
124.206	5.3	BX	0.836	1	1
131.406	5.3	BY	0.559	1	1
141.005	5.3	Bng	n/a	n/a	1
150.604	5.3	BY	0.547	1	1
159.004	5.3	AX	0.372	2	1
166.203	5.3	BY	0.548	1	1
173.403	5.3	AX	0.396	2	1
181.802	5.3	AY	0.643	1	1
191.402	5.3	AX	0.345	2	1
199.814	5.3	Ang	n/a	n/a	1
207.014	5.3	AX	0.409	2	1
216.613	5.3	BY	0.445	1	1
223.813	5.3	BY	0.419	1	1
262.21	5.3	BY	0.406	1	1
270.61	5.3	Bng	n/a	n/a	1
277.809	5.3	AY	0.468	2	0
285.009	5.3	BY	0.556	1	1
294.608	5.3	Bng	n/a	n/a	1
304.208	5.3	BX	0.744	1	1
311.407	5.3	AX	0.377	2	1
318.607	5.3	AX	0.404	2	1
327.006	5.3	Ang	n/a	n/a	1
335.406	5.3	BY	0.457	1	1
343.805	5.3	AX	0.506	2	1
353.405	5.3	AX	0.368	2	1
363.004	5.3	BY	0.407	1	1
372.603	5.3	BY	0.448	1	1
382.203	5.3	BY	0.442	1	1
389.402	5.3	Ang	n/a	n/a	1
397.802	5.3	BY	0.464	1	1
406.215	5.3	AX	0.571	2	1
413.414	5.3	BX	0.495	2	0
423.013	5.3	BY	0.403	1	1
431.413	5.3	AX	0.363	2	1
441.012	5.3	AX	0.374	2	1
449.412	5.3	AY	0.529	1	1
456.611	5.3	AX	0.439	2	1
493.809	5.3	BY	0.446	1	1
502.208	5.3	BY	0.351	1	1
510.608	5.3	BY	0.439	1	1
520.207	5.3	BY	0.478	1	1
528.607	5.3	BY	0.458	1	1
537.006	5.3	Ang	n/a	n/a	1
546.606	5.3	AX	0.607	2	1
553.805	5.3	BY	0.562	1	1
561.005	5.3	AX	0.372	2	1
570.604	5.3	AY	0.542	1	1
577.804	5.3	AX	0.33	2	1
587.403	5.3	AX	0.505	2	1
594.602	5.3	Bng	n/a	n/a	1
604.202	5.3	BY	0.525	1	1
613.815	5.3	AX	0.501	2	1
622.214	5.3	BX	0.901	1	1
629.414	5.3	BX	0.571	1	1
636.613	5.3	Ang	n/a	n/a	1
643.813	5.3	AX	0.666	2	1
653.412	5.3	Bng	n/a	n/a	1
661.811	5.3	AY	0.525	1	1
670.211	5.3	AX	0.355	2	1
679.81	5.3	AX	0.4	2	1
688.21	5.3	BY	0.505	1	1
