onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.119	8.5	Congruent	AttendLetter	n/a	0.976	2	1
41.918	8.5	Congruent	AttendLetter	repeat	1.247	2	1
53.918	8.5	Congruent	AttendNumber	switch	0.962	1	1
64.717	8.5	Congruent	AttendLetter	switch	1.177	1	1
76.716	8.5	Incongruent	AttendNumber	switch	1.781	1	1
89.915	8.5	Congruent	AttendNumber	repeat	1.861	2	1
103.128	8.5	Incongruent	AttendLetter	switch	0.977	2	1
116.327	8.5	Congruent	AttendLetter	repeat	0.775	2	1
128.326	8.5	Incongruent	AttendNumber	switch	1.151	1	1
139.125	8.5	Congruent	AttendLetter	switch	2.04	1	1
151.125	8.5	Incongruent	AttendLetter	repeat	0.862	1	1
164.324	8.5	Incongruent	AttendLetter	repeat	1.446	1	1
175.123	8.5	Congruent	AttendNumber	switch	1.368	1	1
188.322	8.5	Incongruent	AttendNumber	repeat	1.547	1	1
200.322	8.5	Congruent	AttendNumber	repeat	2.373	2	1
212.321	8.5	Congruent	AttendLetter	switch	1.373	2	1
223.12	8.5	Congruent	AttendNumber	switch	0.711	1	1
236.319	8.5	Congruent	AttendNumber	repeat	1.372	1	1
277.117	8.5	Congruent	AttendNumber	n/a	0.925	1	1
289.116	8.5	Congruent	AttendNumber	repeat	2.014	2	1
299.915	8.5	Incongruent	AttendNumber	repeat	1.499	2	1
310.728	8.5	Incongruent	AttendLetter	switch	0.756	2	1
323.927	8.5	Congruent	AttendLetter	repeat	0.699	2	1
337.126	8.5	Incongruent	AttendNumber	switch	1.33	2	1
349.125	8.5	Incongruent	AttendNumber	repeat	1.099	2	1
362.324	8.5	Congruent	AttendLetter	switch	1.33	1	1
374.324	8.5	Congruent	AttendNumber	switch	1.404	1	1
385.123	8.5	Incongruent	AttendLetter	switch	1.598	1	1
398.322	8.5	Congruent	AttendLetter	repeat	1.267	2	1
410.321	8.5	Incongruent	AttendNumber	switch	1.571	2	1
423.521	8.5	Congruent	AttendLetter	switch	0.966	2	1
434.32	8.5	Congruent	AttendNumber	switch	1.438	1	1
445.119	8.5	Congruent	AttendLetter	switch	1.512	1	1
457.118	8.5	Incongruent	AttendLetter	repeat	1.102	2	1
469.118	8.5	Congruent	AttendNumber	switch	1.235	2	1
482.317	8.5	Congruent	AttendLetter	switch	1.717	1	1
523.127	8.5	Incongruent	AttendNumber	n/a	1.695	2	1
536.327	8.5	Congruent	AttendNumber	repeat	1.225	1	1
548.326	8.5	Congruent	AttendLetter	switch	0.976	2	1
560.325	8.5	Incongruent	AttendLetter	repeat	1.206	1	1
573.524	8.5	Congruent	AttendNumber	switch	1.387	1	1
584.324	8.5	Congruent	AttendLetter	switch	1.506	2	1
595.123	8.5	Incongruent	AttendNumber	switch	1.761	2	1
605.922	8.5	Congruent	AttendNumber	repeat	1.753	2	1
619.121	8.5	Congruent	AttendLetter	switch	1.502	2	1
631.121	8.5	Congruent	AttendLetter	repeat	1.384	1	1
644.32	8.5	Congruent	AttendNumber	switch	1.033	1	1
655.119	8.5	Incongruent	AttendNumber	repeat	0.92	1	1
667.118	8.5	Incongruent	AttendLetter	switch	1.366	2	1
679.117	8.5	Congruent	AttendNumber	switch	1.389	2	1
691.117	8.5	Congruent	AttendNumber	repeat	1.282	2	1
704.316	8.5	Congruent	AttendLetter	switch	1.195	1	1
715.115	8.5	Congruent	AttendLetter	repeat	1.161	1	1
725.928	8.5	Incongruent	AttendLetter	repeat	0.886	1	1
