onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.814	10.4	NP	5	0.864	2	1
42.814	10.4	NP	5	1.618	2	1
57.213	10.4	NN	5	0.784	1	1
69.212	10.4	NN	6	0.662	1	1
81.211	10.4	NN	8	0.78	1	1
94.41	10.4	NP	5	0.881	2	1
107.61	10.4	RN	5	1.74	1	1
120.809	10.4	NN	5	0.899	1	1
132.808	10.4	NN	7	0.761	1	1
146.007	10.4	NP	6	1.464	1	0
160.406	10.4	NP	8	0.935	2	1
174.819	10.4	NN	8	0.87	1	1
189.218	10.4	NP	7	0.901	1	0
201.217	10.4	NP	8	1.145	2	1
215.616	10.4	RN	7	1.002	1	1
258.813	10.4	NP	5	1.089	2	1
270.812	10.4	NN	8	0.888	1	1
285.211	10.4	RN	8	0.854	1	1
298.411	10.4	NP	5	0.855	2	1
311.61	10.4	RN	5	1.727	2	0
323.609	10.4	NN	6	1.625	1	1
338.008	10.4	NP	8	0.899	2	1
351.207	10.4	NN	7	0.886	1	1
364.406	10.4	NN	5	0.829	1	1
378.819	10.4	NP	8	0.794	2	1
390.818	10.4	NP	5	0.869	2	1
402.817	10.4	NP	7	0.732	2	1
414.816	10.4	NN	5	0.983	1	1
428.016	10.4	NN	8	0.897	1	1
442.415	10.4	NP	7	0.642	2	1
486.812	10.4	NN	7	0.76	1	1
500.011	10.4	NP	7	0.713	2	1
514.41	10.4	NP	6	1.109	1	0
528.809	10.4	NN	7	0.88	1	1
542.008	10.4	NP	8	1.057	2	1
554.008	10.4	NP	8	0.801	2	1
566.007	10.4	NP	5	0.607	2	1
580.406	10.4	NN	8	0.788	1	1
594.818	10.4	NN	5	0.97	1	1
608.017	10.4	NP	5	0.914	2	1
621.217	10.4	RN	5	1.006	2	0
633.216	10.4	NP	5	0.671	2	1
647.615	10.4	NN	6	0.966	1	1
659.614	10.4	NP	8	0.931	2	1
671.613	10.4	NN	5	0.628	1	1
