onset	duration	trial_type	response_time	response_button	response_accuracy
30.601	5.3	AY	0.579	1	1
39.014	5.3	AX	0.375	2	1
46.214	5.3	BY	0.433	1	1
54.614	5.3	BY	0.412	1	1
64.213	5.3	BY	0.66	1	1
71.413	5.3	BY	0.425	1	1
79.813	5.3	AY	0.719	1	1
87.013	5.3	AX	0.592	2	1
95.413	5.3	AX	0.379	2	1
105.013	5.3	Ang	n/a	n/a	1
114.613	5.3	Ang	n/a	n/a	1
124.213	5.3	BY	0.622	1	1
131.412	5.3	AX	0.267	2	1
139.812	5.3	BX	0.534	2	0
148.212	5.3	BY	0.564	1	1
157.812	5.3	BY	0.455	1	1
166.212	5.3	BX	0.964	1	1
174.612	5.3	AX	0.315	2	1
184.212	5.3	Bng	n/a	n/a	1
191.412	5.3	Bng	n/a	n/a	1
201.011	5.3	AX	0.518	2	1
208.211	5.3	AX	0.369	2	1
217.811	5.3	BY	0.91	1	1
225.011	5.3	AX	0.44	2	1
262.211	5.3	AY	0.572	1	1
269.41	5.3	BY	0.425	1	1
276.61	5.3	Bng	n/a	n/a	1
286.21	5.3	BY	0.515	1	1
294.61	5.3	BX	0.959	1	1
304.21	5.3	AX	0.329	2	1
311.41	5.3	BY	0.473	1	1
319.81	5.3	BY	0.45	1	1
329.41	5.3	BY	0.406	1	1
337.809	5.3	AX	0.354	2	1
346.209	5.3	BX	0.394	2	0
355.809	5.3	AX	0.301	2	1
363.009	5.3	Ang	n/a	n/a	1
370.209	5.3	BY	0.467	1	1
378.609	5.3	Ang	n/a	n/a	1
387.009	5.3	AX	0.461	2	1
394.209	5.3	AX	0.661	2	1
402.609	5.3	AY	0.662	1	1
412.208	5.3	BY	0.402	1	1
421.808	5.3	AX	0.354	2	1
431.408	5.3	AX	0.39	2	1
438.608	5.3	AX	0.406	2	1
445.808	5.3	BY	0.364	1	1
454.208	5.3	Bng	n/a	n/a	1
493.807	5.3	AX	0.274	2	1
501.007	5.3	AX	0.283	2	1
509.407	5.3	BX	0.529	2	0
519.007	5.3	Ang	n/a	n/a	1
528.607	5.3	BY	0.478	1	1
538.207	5.3	BX	0.341	1	1
546.606	5.3	BY	0.443	1	1
553.806	5.3	BY	0.596	1	1
562.206	5.3	BY	0.368	1	1
571.806	5.3	AY	0.557	1	1
579.006	5.3	Bng	n/a	n/a	1
587.406	5.3	AX	0.416	2	1
594.606	5.3	AX	0.395	2	1
601.806	5.3	Ang	n/a	n/a	1
611.406	5.3	AX	0.319	2	1
621.005	5.3	BY	0.327	1	1
628.205	5.3	Bng	n/a	n/a	1
637.805	5.3	AX	0.276	2	1
646.205	5.3	AY	0.43	1	1
653.405	5.3	AX	0.338	2	1
660.605	5.3	BY	0.294	1	1
669.005	5.3	AX	0.387	2	1
677.405	5.3	BY	0.382	1	1
687.004	5.3	BY	0.432	1	1
