onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.109	8.5	Incongruent	AttendLetter	n/a	0.878	1	1
41.909	8.5	Congruent	AttendLetter	repeat	0.889	2	1
55.108	8.5	Incongruent	AttendLetter	repeat	0.692	1	1
67.108	8.5	Incongruent	AttendNumber	switch	0.951	1	1
77.908	8.5	Incongruent	AttendLetter	switch	1.284	2	1
88.708	8.5	Congruent	AttendLetter	repeat	0.682	1	1
101.908	8.5	Congruent	AttendLetter	repeat	0.5	1	1
113.907	8.5	Congruent	AttendNumber	switch	0.92	1	1
127.107	8.5	Congruent	AttendNumber	repeat	1.374	1	1
139.107	8.5	Congruent	AttendLetter	switch	0.627	2	1
149.907	8.5	Congruent	AttendNumber	switch	1.34	2	1
161.907	8.5	Congruent	AttendLetter	switch	1.177	2	1
175.107	8.5	Incongruent	AttendNumber	switch	0.65	1	1
185.906	8.5	Congruent	AttendLetter	switch	0.817	2	1
196.706	8.5	Incongruent	AttendNumber	switch	0.587	1	1
208.706	8.5	Congruent	AttendNumber	repeat	1.065	1	1
221.906	8.5	Congruent	AttendNumber	repeat	0.623	1	1
235.106	8.5	Congruent	AttendNumber	repeat	0.663	2	1
277.105	8.5	Congruent	AttendLetter	n/a	0.596	1	1
289.105	8.5	Congruent	AttendLetter	repeat	0.548	1	1
301.105	8.5	Incongruent	AttendNumber	switch	1.172	2	1
311.905	8.5	Congruent	AttendLetter	switch	0.759	2	1
325.104	8.5	Incongruent	AttendNumber	switch	0.725	2	1
335.904	8.5	Congruent	AttendNumber	repeat	1.252	1	1
349.104	8.5	Incongruent	AttendLetter	switch	0.74	1	1
361.104	8.5	Congruent	AttendLetter	repeat	0.757	2	1
371.904	8.5	Congruent	AttendNumber	switch	1.911	1	0
385.104	8.5	Incongruent	AttendNumber	repeat	0.783	2	1
397.103	8.5	Incongruent	AttendNumber	repeat	0.968	2	1
410.303	8.5	Incongruent	AttendLetter	switch	1.18	2	1
423.503	8.5	Congruent	AttendLetter	repeat	0.843	1	1
434.303	8.5	Congruent	AttendNumber	switch	2.785	2	1
447.503	8.5	Congruent	AttendNumber	repeat	0.819	1	1
459.502	8.5	Incongruent	AttendLetter	switch	0.829	2	1
470.302	8.5	Congruent	AttendNumber	switch	0.762	1	1
482.302	8.5	Congruent	AttendLetter	switch	0.767	2	1
523.102	8.5	Incongruent	AttendLetter	n/a	1.097	2	1
535.115	8.5	Incongruent	AttendLetter	repeat	0.878	1	1
548.315	8.5	Congruent	AttendNumber	switch	0.599	1	1
561.514	8.5	Congruent	AttendNumber	repeat	0.919	2	1
573.514	8.5	Congruent	AttendLetter	switch	1.032	2	1
585.514	8.5	Congruent	AttendLetter	repeat	1.076	1	1
596.314	8.5	Incongruent	AttendLetter	repeat	0.955	1	1
607.114	8.5	Congruent	AttendNumber	switch	1.88	1	1
620.314	8.5	Congruent	AttendLetter	switch	0.876	1	1
631.113	8.5	Congruent	AttendLetter	repeat	0.944	2	1
644.313	8.5	Congruent	AttendNumber	switch	1.093	2	1
656.313	8.5	Congruent	AttendLetter	switch	0.879	2	1
667.113	8.5	Congruent	AttendNumber	switch	0.748	2	1
679.113	8.5	Incongruent	AttendNumber	repeat	0.957	1	1
692.312	8.5	Congruent	AttendLetter	switch	0.648	1	1
703.112	8.5	Incongruent	AttendNumber	switch	0.765	2	1
715.112	8.5	Incongruent	AttendNumber	repeat	0.843	2	1
725.912	8.5	Congruent	AttendNumber	repeat	0.572	1	1
