onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.125	8.5	Congruent	AttendLetter	n/a	0.913	1	1
43.124	8.5	Congruent	AttendNumber	switch	0.74	2	1
56.324	8.5	Congruent	AttendLetter	switch	0.849	2	1
68.324	8.5	Congruent	AttendLetter	repeat	0.466	1	1
81.524	8.5	Congruent	AttendLetter	repeat	0.614	2	1
92.324	8.5	Congruent	AttendLetter	repeat	0.703	2	1
103.123	8.5	Incongruent	AttendNumber	switch	0.978	2	1
116.323	8.5	Congruent	AttendNumber	repeat	0.545	2	1
128.323	8.5	Congruent	AttendNumber	repeat	0.464	1	1
139.123	8.5	Incongruent	AttendLetter	switch	0.667	2	1
152.323	8.5	Incongruent	AttendLetter	repeat	0.435	1	1
163.123	8.5	Congruent	AttendNumber	switch	1.711	1	1
173.922	8.5	Incongruent	AttendLetter	switch	0.73	2	1
185.922	8.5	Incongruent	AttendNumber	switch	0.635	2	1
199.122	8.5	Incongruent	AttendNumber	repeat	0.487	1	1
209.922	8.5	Congruent	AttendLetter	switch	0.858	1	1
221.922	8.5	Congruent	AttendNumber	switch	0.547	2	1
233.922	8.5	Congruent	AttendNumber	repeat	0.78	1	1
277.121	8.5	Congruent	AttendLetter	n/a	0.678	1	1
290.321	8.5	Congruent	AttendLetter	repeat	1.437	2	1
302.321	8.5	Congruent	AttendLetter	repeat	0.56	2	1
315.52	8.5	Incongruent	AttendNumber	switch	1.638	1	1
326.32	8.5	Congruent	AttendLetter	switch	0.796	2	1
338.32	8.5	Congruent	AttendNumber	switch	0.602	2	1
349.12	8.5	Congruent	AttendLetter	switch	0.861	1	1
361.12	8.5	Incongruent	AttendNumber	switch	0.8	2	1
371.92	8.5	Congruent	AttendLetter	switch	0.993	1	1
385.119	8.5	Incongruent	AttendLetter	repeat	0.764	2	1
398.319	8.5	Congruent	AttendNumber	switch	1.075	1	1
410.319	8.5	Incongruent	AttendNumber	repeat	0.678	1	1
421.119	8.5	Congruent	AttendNumber	repeat	0.647	1	1
434.319	8.5	Congruent	AttendNumber	repeat	0.767	1	1
446.319	8.5	Incongruent	AttendLetter	switch	1.172	1	1
457.118	8.5	Congruent	AttendNumber	switch	0.94	1	1
469.118	8.5	Incongruent	AttendNumber	repeat	1.227	1	1
479.918	8.5	Congruent	AttendLetter	switch	1.388	2	1
523.117	8.5	Incongruent	AttendLetter	n/a	0.657	1	1
533.917	8.5	Congruent	AttendNumber	switch	0.928	2	1
544.717	8.5	Congruent	AttendLetter	switch	1.319	1	1
557.917	8.5	Congruent	AttendNumber	switch	0.502	2	1
569.917	8.5	Incongruent	AttendLetter	switch	0.735	2	1
581.917	8.5	Congruent	AttendLetter	repeat	1.01	2	1
595.116	8.5	Congruent	AttendLetter	repeat	0.72	2	1
605.916	8.5	Incongruent	AttendLetter	repeat	1.718	1	1
619.116	8.5	Incongruent	AttendLetter	repeat	0.836	2	1
631.116	8.5	Congruent	AttendNumber	switch	0.647	2	1
643.116	8.5	Congruent	AttendLetter	switch	1.268	2	1
656.316	8.5	Congruent	AttendNumber	switch	0.854	2	1
669.515	8.5	Incongruent	AttendLetter	switch	0.555	2	1
681.515	8.5	Congruent	AttendNumber	switch	0.715	1	1
692.315	8.5	Incongruent	AttendNumber	repeat	1.218	2	1
705.515	8.5	Congruent	AttendNumber	repeat	0.672	1	1
717.515	8.5	Incongruent	AttendNumber	repeat	0.912	1	1
728.314	8.5	Congruent	AttendNumber	repeat	1.726	1	1
