onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.803	10.4	NP	5	0.791	2	1
44.003	10.4	NP	5	1.148	2	1
57.203	10.4	NN	5	0.541	1	1
69.203	10.4	NN	6	0.834	1	1
83.603	10.4	NN	8	0.965	1	1
96.802	10.4	NP	5	0.574	2	1
108.802	10.4	RN	5	1.201	2	0
123.202	10.4	NN	5	n/a	n/a	0
136.402	10.4	NN	7	0.706	1	1
148.402	10.4	NP	6	1.145	2	1
160.402	10.4	NP	8	0.897	2	1
172.415	10.4	NN	8	0.681	1	1
186.814	10.4	NP	7	0.731	2	1
201.214	10.4	NP	8	1.722	2	1
214.414	10.4	RN	7	1.102	1	1
258.813	10.4	NP	5	0.806	2	1
272.013	10.4	NN	8	1.135	1	1
285.213	10.4	RN	8	0.846	1	1
297.213	10.4	NP	5	0.867	2	1
309.213	10.4	RN	5	1.299	1	1
323.612	10.4	NN	6	0.725	1	1
336.812	10.4	NP	8	0.914	2	1
350.012	10.4	NN	7	0.859	1	1
362.012	10.4	NN	5	1.067	1	1
374.012	10.4	NP	8	1.142	2	1
388.412	10.4	NP	5	1.206	1	0
400.411	10.4	NP	7	0.807	2	1
414.811	10.4	NN	5	0.734	1	1
429.211	10.4	NN	8	0.989	1	1
443.611	10.4	NP	7	1.215	2	1
486.81	10.4	NN	7	0.791	1	1
498.81	10.4	NP	7	1.07	1	0
510.81	10.4	NP	6	1.866	1	0
525.21	10.4	NN	7	1.213	1	1
538.409	10.4	NP	8	0.724	2	1
552.809	10.4	NP	8	1.141	2	1
567.209	10.4	NP	5	0.711	2	1
580.409	10.4	NN	8	0.806	1	1
594.809	10.4	NN	5	0.803	1	1
608.008	10.4	NP	5	0.842	2	1
620.008	10.4	RN	5	n/a	n/a	0
632.008	10.4	NP	5	0.751	2	1
646.408	10.4	NN	6	0.675	1	1
659.608	10.4	NP	8	1.778	2	1
671.607	10.4	NN	5	0.675	1	1
