onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.718	2	Con	MC	1.051	1
35.518	2	Con	PC50	0.6765	1
39.118	2	Con	MC	0.762	1
43.918	2	InCon	MC	1.304	1
49.918	2	InCon	MC	0.907	1
53.518	2	Con	MC	0.944	1
59.518	2	Con	MC	0.764	1
63.118	2	Con	MC	0.869	1
67.918	2	InCon	PC50	1.2715	1
72.718	2	Con	PC50	0.901	1
78.718	2	Con	MC	0.731	1
82.318	2	Con	PC50	0.8525	1
88.318	2	InCon	PC50	1.4235	1
94.317	2	Con	MC	0.7685	1
100.317	2	InCon	MC	0.673	1
105.117	2	Con	MC	0.754	1
108.717	2	Con	MC	0.6845	1
113.517	2	InCon	MC	1.1635	1
117.117	2	Con	PC50	1.151	1
121.917	2	Con	MC	1.037	1
127.917	2	Con	MC	0.736	1
132.717	2	InCon	PC50	0.9505	1
136.317	2	InCon	PC50	0.743	1
142.317	2	Con	MC	0.6805	1
145.917	2	InCon	MC	0.935	1
150.717	2	InCon	PC50	0.8525	1
156.717	2	Con	MC	0.6725	1
161.517	2	Con	MC	0.6135	1
165.116	2	Con	MC	0.6505	1
168.716	2	InCon	MC	0.8595	1
173.516	2	InCon	PC50	0.651	1
178.316	2	Con	MC	0.705	1
184.316	2	Con	PC50	0.7355	1
187.916	2	Con	MC	0.723	1
193.916	2	Con	PC50	0.59	1
199.916	2	Con	MC	0.6035	1
233.515	2	Con	PC50	1.0945	1
239.515	2	InCon	MC	0.7295	1
243.115	2	Con	MC	0.6335	1
247.915	2	InCon	MC	0.634	1
253.915	2	Con	MC	0.758	1
259.915	2	Con	MC	0.665	1
264.715	2	InCon	PC50	0.8265	1
268.315	2	Con	MC	0.6955	1
273.115	2	Con	MC	0.6755	1
276.715	2	InCon	MC	0.881	1
282.715	2	Con	PC50	0.6565	1
287.515	2	Con	MC	0.649	1
291.115	2	InCon	PC50	0.792	1
295.915	2	Con	MC	0.6285	1
301.914	2	InCon	PC50	1.59	0
306.714	2	InCon	PC50	0.857	1
312.714	2	InCon	PC50	0.8935	1
316.314	2	Con	MC	0.945	1
319.914	2	Con	PC50	0.8775	1
324.714	2	Con	PC50	0.812	1
329.514	2	Con	MC	0.6685	1
335.514	2	InCon	MC	1.0445	1
341.514	2	Con	PC50	0.618	1
345.114	2	Con	MC	0.679	1
348.714	2	InCon	PC50	0.75	1
352.314	2	Con	MC	0.655	1
358.314	2	Con	MC	0.6575	1
364.314	2	InCon	MC	0.7915	1
367.914	2	Con	MC	0.724	1
373.913	2	Con	MC	0.596	1
377.513	2	Con	MC	0.5305	1
381.113	2	Con	PC50	0.5305	1
385.913	2	Con	MC	0.6055	1
390.713	2	Con	MC	0.7015	1
395.513	2	InCon	MC	0.695	1
401.513	2	Con	MC	0.7625	1
436.313	2	Con	MC	0.7125	1
442.312	2	Con	MC	0.816	1
445.912	2	InCon	MC	0.784	1
449.512	2	Con	MC	0.455	1
454.312	2	InCon	PC50	0.654	1
457.912	2	InCon	PC50	0.6785	1
462.712	2	Con	MC	0.7315	1
466.312	2	Con	MC	0.564	1
472.312	2	Con	PC50	0.6995	1
477.112	2	InCon	PC50	0.5685	1
483.112	2	InCon	MC	0.889	1
489.112	2	Con	MC	0.619	1
493.912	2	InCon	MC	0.676	1
498.712	2	InCon	MC	0.68	1
502.312	2	InCon	PC50	0.776	1
505.912	2	Con	MC	0.605	1
511.911	2	Con	MC	0.737	1
515.511	2	InCon	PC50	0.7125	1
520.311	2	InCon	MC	0.944	1
523.911	2	Con	MC	0.617	1
529.911	2	InCon	MC	0.574	1
534.711	2	Con	MC	0.7285	1
539.511	2	Con	PC50	0.5485	1
545.511	2	Con	MC	0.6495	1
551.511	2	Con	MC	0.645	1
556.311	2	Con	PC50	0.725	1
561.111	2	Con	MC	0.656	1
564.711	2	Con	MC	0.591	1
568.311	2	Con	PC50	0.5745	1
571.911	2	Con	MC	0.584	1
577.911	2	Con	MC	0.7	1
582.71	2	Con	PC50	0.532	1
588.71	2	Con	MC	0.745	1
594.71	2	Con	PC50	0.7315	1
599.51	2	Con	MC	0.545	1
605.51	2	InCon	PC50	1.037	1
