onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.114	8.5	Incongruent	AttendLetter	n/a	0.907	1	1
44.314	8.5	Incongruent	AttendNumber	switch	0.78	1	1
56.314	8.5	Congruent	AttendLetter	switch	0.878	2	1
68.314	8.5	Congruent	AttendNumber	switch	0.641	1	1
79.114	8.5	Incongruent	AttendLetter	switch	1.166	2	1
91.114	8.5	Congruent	AttendNumber	switch	1.321	1	0
104.313	8.5	Congruent	AttendLetter	switch	1.638	2	1
115.113	8.5	Incongruent	AttendNumber	switch	1.771	1	0
125.913	8.5	Congruent	AttendLetter	switch	0.806	1	1
139.113	8.5	Congruent	AttendNumber	switch	0.611	1	1
152.313	8.5	Incongruent	AttendNumber	repeat	2.895	2	1
163.112	8.5	Congruent	AttendLetter	switch	0.748	1	1
175.112	8.5	Congruent	AttendLetter	repeat	0.544	1	1
185.912	8.5	Incongruent	AttendLetter	repeat	0.659	2	1
196.712	8.5	Congruent	AttendNumber	switch	1.21	2	1
208.712	8.5	Congruent	AttendNumber	repeat	0.687	2	1
220.712	8.5	Congruent	AttendLetter	switch	0.681	2	1
233.911	8.5	Congruent	AttendNumber	switch	0.891	1	1
277.111	8.5	Incongruent	AttendNumber	n/a	1.384	1	1
289.111	8.5	Congruent	AttendLetter	switch	0.573	2	0
302.324	8.5	Incongruent	AttendNumber	switch	1.501	1	1
315.524	8.5	Congruent	AttendNumber	repeat	0.995	1	1
326.323	8.5	Congruent	AttendLetter	switch	0.87	1	1
337.123	8.5	Incongruent	AttendNumber	switch	0.792	1	0
350.323	8.5	Incongruent	AttendLetter	switch	1.788	2	1
362.323	8.5	Congruent	AttendLetter	repeat	0.94	1	1
374.323	8.5	Congruent	AttendNumber	switch	1.048	2	1
385.123	8.5	Congruent	AttendNumber	repeat	1.048	1	1
395.922	8.5	Congruent	AttendLetter	switch	1.054	2	1
409.122	8.5	Congruent	AttendLetter	repeat	0.758	2	1
419.922	8.5	Congruent	AttendLetter	repeat	0.584	2	1
431.922	8.5	Incongruent	AttendLetter	repeat	1.28	1	1
443.922	8.5	Incongruent	AttendNumber	switch	0.661	1	1
457.122	8.5	Congruent	AttendNumber	repeat	0.643	1	1
467.921	8.5	Congruent	AttendNumber	repeat	0.505	1	1
481.121	8.5	Congruent	AttendLetter	switch	1	2	1
523.121	8.5	Congruent	AttendNumber	n/a	0.673	1	1
535.12	8.5	Congruent	AttendNumber	repeat	0.819	2	1
545.92	8.5	Congruent	AttendLetter	switch	0.545	2	1
557.92	8.5	Incongruent	AttendLetter	repeat	0.919	2	1
571.12	8.5	Incongruent	AttendLetter	repeat	1.651	1	1
583.12	8.5	Congruent	AttendLetter	repeat	1.379	2	1
596.32	8.5	Congruent	AttendNumber	switch	0.838	2	1
607.119	8.5	Congruent	AttendNumber	repeat	0.835	1	1
617.919	8.5	Congruent	AttendNumber	repeat	0.756	2	1
631.119	8.5	Congruent	AttendLetter	switch	1.279	1	1
641.919	8.5	Incongruent	AttendLetter	repeat	1.102	2	1
653.919	8.5	Incongruent	AttendNumber	switch	0.823	1	1
665.919	8.5	Incongruent	AttendNumber	repeat	1.544	2	1
679.118	8.5	Incongruent	AttendLetter	switch	0.563	1	1
689.918	8.5	Congruent	AttendLetter	repeat	0.802	2	1
703.118	8.5	Congruent	AttendNumber	switch	0.681	1	1
716.318	8.5	Congruent	AttendNumber	repeat	0.617	2	1
727.118	8.5	Incongruent	AttendLetter	switch	0.574	2	1
