onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.801	10.4	NP	5	0.852	2	1
45.201	10.4	NP	5	1.716	1	0
59.614	10.4	NN	5	0.744	1	1
71.614	10.4	NN	6	0.895	1	1
86.013	10.4	NN	8	0.722	1	1
99.213	10.4	NP	5	0.723	2	1
111.213	10.4	RN	5	1.275	1	1
124.413	10.4	NN	5	0.952	1	1
137.613	10.4	NN	7	0.949	1	1
150.812	10.4	NP	6	0.712	2	1
165.212	10.4	NP	8	0.838	2	1
177.212	10.4	NN	8	0.777	1	1
190.412	10.4	NP	7	0.831	2	1
202.412	10.4	NP	8	0.651	2	1
214.412	10.4	RN	7	0.973	2	0
258.811	10.4	NP	5	0.611	2	1
270.811	10.4	NN	8	0.701	1	1
282.811	10.4	RN	8	0.99	2	0
297.21	10.4	NP	5	1.415	1	0
311.61	10.4	RN	5	1.243	1	1
324.81	10.4	NN	6	0.73	1	1
339.21	10.4	NP	8	0.49	2	1
351.21	10.4	NN	7	0.821	1	1
364.409	10.4	NN	5	0.833	1	1
378.809	10.4	NP	8	0.575	2	1
390.809	10.4	NP	5	0.724	2	1
404.009	10.4	NP	7	0.51	2	1
417.209	10.4	NN	5	0.811	1	1
431.608	10.4	NN	8	0.722	1	1
444.808	10.4	NP	7	0.597	2	1
486.808	10.4	NN	7	0.805	1	1
501.207	10.4	NP	7	0.73	2	1
514.407	10.4	NP	6	0.583	2	1
527.607	10.4	NN	7	0.56	2	0
542.007	10.4	NP	8	0.975	2	1
556.407	10.4	NP	8	0.683	2	1
568.406	10.4	NP	5	0.675	2	1
581.606	10.4	NN	8	0.83	1	1
594.806	10.4	NN	5	0.818	2	0
606.806	10.4	NP	5	0.481	2	1
621.206	10.4	RN	5	0.751	1	1
633.205	10.4	NP	5	0.666	2	1
646.405	10.4	NN	6	0.798	1	1
658.405	10.4	NP	8	0.643	2	1
672.805	10.4	NN	5	0.729	1	1
