onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.704	2	Con	MC	0.9115	1
36.704	2	InCon	MC	0.81	1
40.304	2	Con	MC	0.632	1
45.104	2	Con	MC	0.6965	1
48.704	2	Con	PC50	0.78	1
54.704	2	Con	PC50	0.72	1
58.304	2	InCon	PC50	0.874	1
64.304	2	Con	MC	0.742	1
69.104	2	Con	MC	0.847	1
73.904	2	Con	PC50	0.598	1
79.904	2	InCon	PC50	1.069	1
84.704	2	InCon	MC	0.7515	1
88.317	2	Con	MC	0.6675	1
94.303	2	Con	MC	0.5125	1
97.917	2	Con	MC	0.8295	1
102.717	2	InCon	PC50	0.7815	1
108.717	2	Con	MC	0.6465	1
113.516	2	Con	MC	0.7905	1
117.116	2	Con	MC	0.662	1
121.916	2	Con	MC	0.8505	1
127.916	2	InCon	MC	0.909	1
131.516	2	Con	MC	0.797	1
135.116	2	InCon	MC	0.7245	1
139.916	2	InCon	PC50	1.018	1
145.916	2	InCon	MC	0.8085	1
150.716	2	Con	PC50	0.716	1
155.516	2	Con	MC	0.5265	1
160.316	2	InCon	PC50	0.8105	1
166.316	2	Con	PC50	NA	1
169.916	2	Con	PC50	0.786	1
175.916	2	InCon	PC50	0.7965	1
179.516	2	InCon	MC	1.0415	1
185.515	2	Con	MC	0.7915	1
189.115	2	Con	MC	0.4945	1
192.715	2	Con	MC	0.817	1
198.715	2	Con	MC	0.519	1
233.515	2	Con	MC	0.683	1
239.515	2	Con	MC	0.684	1
243.115	2	InCon	PC50	0.808	1
247.915	2	Con	MC	0.7555	1
251.514	2	InCon	MC	0.6305	0
257.514	2	InCon	MC	0.9195	1
261.114	2	InCon	MC	0.8345	1
265.914	2	InCon	PC50	0.742	1
269.514	2	Con	PC50	0.843	1
274.314	2	Con	PC50	0.8735	1
279.114	2	Con	MC	0.8115	1
285.114	2	Con	PC50	0.744	1
291.114	2	Con	MC	0.7705	1
294.714	2	Con	PC50	0.806	1
299.514	2	InCon	MC	0.9725	1
304.314	2	Con	MC	0.7805	1
310.314	2	InCon	PC50	0.7715	1
316.314	2	InCon	PC50	0.7895	1
322.313	2	Con	MC	0.928	1
325.913	2	Con	MC	0.816	1
331.913	2	Con	MC	0.7975	1
336.713	2	Con	MC	0.6965	1
340.313	2	Con	MC	0.7045	1
345.113	2	InCon	MC	0.787	1
348.713	2	Con	MC	0.613	1
352.313	2	InCon	PC50	0.746	1
358.313	2	Con	PC50	0.863	1
364.313	2	Con	MC	1.1785	1
370.313	2	Con	PC50	0.814	1
375.113	2	InCon	PC50	0.783	1
379.913	2	Con	MC	0.735	1
383.513	2	Con	MC	0.573	1
389.512	2	InCon	MC	0.9655	1
394.312	2	Con	MC	0.6185	1
397.912	2	Con	MC	0.5855	1
401.512	2	Con	MC	0.5215	1
436.312	2	InCon	PC50	0.9775	1
441.112	2	InCon	MC	0.8565	1
447.112	2	InCon	MC	0.8985	1
453.112	2	InCon	MC	0.7755	1
456.712	2	Con	MC	1.228	1
460.311	2	Con	PC50	0.6935	1
465.111	2	Con	PC50	0.6425	1
469.911	2	InCon	PC50	0.747	1
474.711	2	InCon	PC50	0.932	1
478.311	2	Con	MC	0.68	1
484.311	2	InCon	PC50	0.7415	1
487.911	2	InCon	MC	1.015	1
493.911	2	Con	MC	0.7655	1
499.911	2	Con	MC	0.778	1
505.911	2	Con	PC50	0.986	1
509.511	2	InCon	MC	0.863	1
513.111	2	Con	MC	0.6075	1
519.111	2	InCon	MC	0.941	1
523.911	2	InCon	PC50	0.8225	1
527.511	2	Con	MC	0.6565	1
532.31	2	Con	MC	0.79	1
535.91	2	Con	PC50	0.6585	1
541.91	2	Con	MC	0.7175	1
546.71	2	Con	MC	0.9875	1
551.51	2	InCon	PC50	0.784	1
557.51	2	Con	MC	0.7745	1
561.11	2	Con	MC	0.761	1
565.91	2	Con	MC	0.579	1
569.51	2	Con	PC50	0.5545	1
575.51	2	Con	MC	0.5715	1
579.11	2	Con	MC	0.5575	1
585.11	2	Con	MC	0.7935	1
588.71	2	Con	MC	0.858	1
594.71	2	Con	MC	1.028	1
599.509	2	Con	PC50	0.733	1
604.309	2	Con	MC	0.687	1
