onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.821	10.4	NP	5	1.252	2	1
42.821	10.4	NN	8	1.091	1	1
54.821	10.4	NN	8	1.591	1	1
69.221	10.4	NP	5	0.816	2	1
81.221	10.4	NN	6	n/a	n/a	0
94.42	10.4	NP	8	0.794	2	1
106.42	10.4	NN	5	0.854	1	1
120.82	10.4	NP	7	1.093	2	1
135.22	10.4	NN	5	0.733	1	1
148.42	10.4	NP	5	0.84	2	1
161.619	10.4	NP	7	0.885	2	1
174.819	10.4	NP	8	0.825	2	1
186.819	10.4	NN	7	0.871	1	1
200.019	10.4	NP	6	1.141	2	1
214.419	10.4	RN	5	1.351	1	1
258.818	10.4	NN	6	1.471	1	1
272.018	10.4	NN	8	0.821	1	1
284.018	10.4	NP	7	0.98	1	0
297.218	10.4	NP	7	0.718	2	1
310.417	10.4	NP	8	0.813	2	1
322.417	10.4	NP	5	0.718	2	1
335.617	10.4	NN	7	0.861	1	1
350.017	10.4	NP	5	0.818	2	1
362.017	10.4	NN	8	1.691	1	1
376.416	10.4	RN	5	0.756	1	1
390.816	10.4	NN	5	0.701	1	1
402.816	10.4	NP	8	0.845	2	1
416.016	10.4	NP	8	0.727	2	1
428.016	10.4	NP	5	0.821	2	1
442.415	10.4	NN	5	1.235	1	1
486.815	10.4	NN	5	0.656	1	1
501.215	10.4	NP	5	0.746	2	1
515.614	10.4	NP	8	0.723	2	1
530.014	10.4	RN	5	1.303	1	1
542.014	10.4	NN	8	1.414	1	1
556.414	10.4	NP	7	0.655	2	1
568.414	10.4	NP	8	1.001	2	1
580.413	10.4	NN	5	1.193	1	1
592.413	10.4	NP	6	1.42	2	1
605.613	10.4	RN	8	0.863	1	1
617.613	10.4	NP	5	0.761	2	1
630.813	10.4	NN	8	1.488	1	1
644.013	10.4	NP	5	1.593	2	1
657.212	10.4	NN	7	0.953	1	1
671.612	10.4	NN	7	0.915	1	1
