onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.801	10.4	NP	5	0.981	2	1
44.001	10.4	NP	5	0.544	2	1
56.001	10.4	NN	5	1.309	1	1
70.414	10.4	NN	6	0.732	1	1
82.414	10.4	NN	8	0.717	1	1
94.413	10.4	NP	5	0.491	2	1
107.613	10.4	RN	5	n/a	n/a	0
122.013	10.4	NN	5	1.127	1	1
136.413	10.4	NN	7	1.417	1	1
149.613	10.4	NP	6	0.988	2	1
164.012	10.4	NP	8	0.879	2	1
176.012	10.4	NN	8	0.935	1	1
189.212	10.4	NP	7	0.837	2	1
203.612	10.4	NP	8	0.727	2	1
215.612	10.4	RN	7	1.361	2	0
258.811	10.4	NP	5	0.679	2	1
270.811	10.4	NN	8	1.572	1	1
284.011	10.4	RN	8	n/a	n/a	0
296.01	10.4	NP	5	1.125	2	1
308.01	10.4	RN	5	0.761	1	1
322.41	10.4	NN	6	1.086	1	1
336.81	10.4	NP	8	0.778	1	0
351.21	10.4	NN	7	n/a	n/a	0
364.41	10.4	NN	5	0.743	1	1
378.809	10.4	NP	8	1.031	2	1
392.009	10.4	NP	5	1.621	2	1
405.209	10.4	NP	7	1.126	2	1
419.609	10.4	NN	5	1.6	1	1
432.809	10.4	NN	8	1.087	1	1
444.808	10.4	NP	7	0.761	2	1
486.808	10.4	NN	7	0.743	1	1
498.808	10.4	NP	7	0.982	2	1
513.207	10.4	NP	6	0.535	2	1
526.407	10.4	NN	7	1.256	1	1
539.607	10.4	NP	8	0.704	2	1
551.607	10.4	NP	8	0.514	2	1
563.607	10.4	NP	5	0.82	2	1
578.006	10.4	NN	8	0.747	1	1
590.006	10.4	NN	5	0.856	1	1
604.406	10.4	NP	5	1.495	2	1
617.606	10.4	RN	5	1.251	1	1
632.006	10.4	NP	5	0.792	2	1
646.405	10.4	NN	6	0.922	1	1
659.605	10.4	NP	8	0.58	2	1
672.805	10.4	NN	5	0.872	1	1
