onset	duration	trial_type	response_time	response_button	response_accuracy
30.625	5.3	BY	0.71	1	1
40.224	5.3	BY	0.332	1	1
48.622	5.3	AX	0.372	2	1
58.221	5.3	BX	0.495	2	0
65.42	5.3	AX	0.323	2	1
75.018	5.3	AY	0.443	1	1
83.417	5.3	BY	0.442	1	1
90.616	5.3	BY	0.331	1	1
97.814	5.3	Ang	0.438	1	0
107.413	5.3	AX	0.358	2	1
114.612	5.3	Bng	0.423	2	0
123.027	5.3	Ang	n/a	n/a	1
131.426	5.3	AY	0.505	1	1
139.824	5.3	AX	0.333	2	1
149.423	5.3	AX	0.323	2	1
156.622	5.3	AX	0.333	2	1
163.821	5.3	AX	0.466	2	1
173.419	5.3	BY	0.434	1	1
180.618	5.3	Bng	0.418	1	0
190.216	5.3	BY	0.456	1	1
197.415	5.3	AX	0.266	2	1
205.814	5.3	BY	0.454	1	1
214.213	5.3	BY	0.271	1	1
223.811	5.3	BX	0.376	1	1
262.222	5.3	Bng	n/a	n/a	1
269.421	5.3	AX	0.357	2	1
276.619	5.3	AX	0.265	2	1
286.218	5.3	AY	0.362	1	1
295.816	5.3	BY	0.333	1	1
304.215	5.3	Ang	0.431	1	0
313.813	5.3	AX	0.283	2	1
322.212	5.3	BY	0.376	1	1
330.611	5.3	AX	0.332	1	0
339.026	5.3	BY	0.295	1	1
346.225	5.3	Bng	n/a	n/a	1
353.424	5.3	BX	0.453	2	0
363.022	5.3	AX	0.291	2	1
370.221	5.3	BY	0.444	1	1
378.62	5.3	BX	0.345	1	1
387.019	5.3	BY	0.328	1	1
394.217	5.3	AX	0.254	2	1
401.416	5.3	AX	0.274	2	1
409.815	5.3	AX	0.266	2	1
417.014	5.3	BY	0.326	1	1
425.412	5.3	BY	0.299	1	1
435.011	5.3	AY	0.387	1	1
444.626	5.3	Ang	0.392	1	0
454.225	5.3	BY	0.362	1	1
493.818	5.3	BY	0.324	2	0
501.017	5.3	AX	0.361	2	1
508.216	5.3	BY	0.47	1	1
516.615	5.3	AX	0.239	2	1
526.213	5.3	AX	0.252	2	1
533.412	5.3	Ang	n/a	n/a	1
541.811	5.3	BY	0.416	1	1
550.226	5.3	AY	0.297	2	0
557.425	5.3	Ang	n/a	n/a	1
567.023	5.3	BY	0.341	1	1
575.422	5.3	AX	0.414	1	0
585.02	5.3	AY	0.405	1	1
594.619	5.3	BY	0.472	1	1
604.217	5.3	Bng	0.306	1	0
613.816	5.3	AX	0.33	2	1
622.215	5.3	BY	0.367	1	1
630.613	5.3	BY	0.327	1	1
637.812	5.3	AX	0.357	2	1
645.011	5.3	BX	0.36	1	1
653.426	5.3	BY	0.405	2	0
663.025	5.3	AX	0.282	2	1
671.423	5.3	BX	0.498	1	1
678.622	5.3	Bng	n/a	n/a	1
685.821	5.3	AX	0.273	2	1
