onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.818	10.4	NP	5	0.977	2	1
45.215	10.4	NN	8	0.97	1	1
58.43	10.4	NN	8	0.958	1	1
71.628	10.4	NP	5	0.775	2	1
83.626	10.4	NN	6	1.033	1	1
95.624	10.4	NP	8	1.06	2	1
110.022	10.4	NN	5	1.749	2	0
124.419	10.4	NP	7	0.787	2	1
136.417	10.4	NN	5	1.124	1	1
150.815	10.4	NP	5	0.827	2	1
162.83	10.4	NP	7	0.763	2	1
177.228	10.4	NP	8	0.806	2	1
190.426	10.4	NN	7	1.181	1	1
203.623	10.4	NP	6	0.661	2	1
216.821	10.4	RN	5	0.807	2	0
258.815	10.4	NN	6	0.593	1	1
272.029	10.4	NN	8	0.883	1	1
285.227	10.4	NP	7	0.84	1	0
298.425	10.4	NP	7	1.088	2	1
312.823	10.4	NP	8	0.845	2	1
326.021	10.4	NP	5	0.933	2	1
338.019	10.4	NN	7	0.789	1	1
350.017	10.4	NP	5	1.206	2	1
362.015	10.4	NN	8	1.067	1	1
376.429	10.4	RN	5	0.925	2	0
388.428	10.4	NN	5	0.718	1	1
401.625	10.4	NP	8	1.385	2	1
413.624	10.4	NP	8	0.62	2	1
428.021	10.4	NP	5	0.876	2	1
442.419	10.4	NN	5	0.817	1	1
486.829	10.4	NN	5	0.803	1	1
501.226	10.4	NP	5	n/a	n/a	0
513.224	10.4	NP	8	0.778	1	0
526.422	10.4	RN	5	0.663	1	1
538.42	10.4	NN	8	0.786	1	1
552.818	10.4	NP	7	0.86	2	1
566.016	10.4	NP	8	1.267	2	1
578.014	10.4	NN	5	0.734	1	1
590.029	10.4	NP	6	1.135	2	1
602.027	10.4	RN	8	0.839	1	1
615.225	10.4	NP	5	0.777	2	1
629.623	10.4	NN	8	1.035	1	1
642.821	10.4	NP	5	1.762	1	0
656.018	10.4	NN	7	0.708	1	1
670.416	10.4	NN	7	0.727	1	1
