onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.109	8.5	Incongruent	AttendNumber	n/a	n/a	n/a	0
41.922	8.5	Congruent	AttendLetter	switch	1.473	2	1
55.121	8.5	Congruent	AttendNumber	switch	0.87	1	1
67.12	8.5	Incongruent	AttendNumber	repeat	0.724	1	1
77.919	8.5	Congruent	AttendNumber	repeat	0.871	1	1
88.718	8.5	Incongruent	AttendNumber	repeat	0.811	1	1
100.717	8.5	Congruent	AttendNumber	repeat	1.065	1	1
113.916	8.5	Congruent	AttendLetter	switch	0.726	2	1
127.115	8.5	Congruent	AttendLetter	repeat	0.805	1	1
139.114	8.5	Incongruent	AttendLetter	repeat	0.755	1	1
151.113	8.5	Congruent	AttendNumber	switch	1.353	1	1
161.912	8.5	Congruent	AttendNumber	repeat	1.503	2	1
172.711	8.5	Congruent	AttendNumber	repeat	1.365	2	1
185.91	8.5	Congruent	AttendLetter	switch	1.503	2	1
197.909	8.5	Congruent	AttendLetter	repeat	1.566	1	1
208.709	8.5	Congruent	AttendLetter	repeat	0.73	2	1
221.921	8.5	Incongruent	AttendLetter	repeat	0.901	1	1
235.12	8.5	Incongruent	AttendLetter	repeat	0.833	2	1
277.117	8.5	Incongruent	AttendNumber	n/a	1.199	2	1
290.315	8.5	Congruent	AttendNumber	repeat	1.303	2	1
302.315	8.5	Congruent	AttendLetter	switch	0.694	2	1
313.114	8.5	Congruent	AttendNumber	switch	1.172	1	1
326.313	8.5	Incongruent	AttendNumber	repeat	1.17	2	1
338.312	8.5	Congruent	AttendNumber	repeat	0.854	2	1
350.311	8.5	Incongruent	AttendLetter	switch	1.165	1	1
361.11	8.5	Congruent	AttendLetter	repeat	3.06	1	1
374.309	8.5	Congruent	AttendNumber	switch	0.618	2	0
385.121	8.5	Congruent	AttendLetter	switch	2.28	2	1
397.12	8.5	Congruent	AttendNumber	switch	1.303	1	1
409.119	8.5	Congruent	AttendLetter	switch	0.932	1	1
419.919	8.5	Incongruent	AttendNumber	switch	1.524	2	1
433.118	8.5	Incongruent	AttendNumber	repeat	1.162	2	1
446.316	8.5	Incongruent	AttendLetter	switch	1.608	2	1
459.515	8.5	Congruent	AttendLetter	repeat	0.905	2	1
471.514	8.5	Incongruent	AttendLetter	repeat	1.117	2	1
482.314	8.5	Congruent	AttendLetter	repeat	1.445	1	1
523.11	8.5	Congruent	AttendLetter	n/a	0.845	2	1
535.109	8.5	Incongruent	AttendNumber	switch	0.969	1	1
547.122	8.5	Congruent	AttendLetter	switch	1.031	2	1
557.921	8.5	Incongruent	AttendLetter	repeat	0.777	1	1
568.72	8.5	Congruent	AttendNumber	switch	1.673	2	1
581.919	8.5	Incongruent	AttendNumber	repeat	1.169	2	1
592.718	8.5	Incongruent	AttendNumber	repeat	0.933	2	1
604.717	8.5	Congruent	AttendNumber	repeat	0.988	1	1
617.916	8.5	Congruent	AttendLetter	switch	0.723	1	1
631.115	8.5	Congruent	AttendLetter	repeat	1.398	1	1
644.314	8.5	Incongruent	AttendLetter	repeat	1.024	1	1
657.513	8.5	Congruent	AttendNumber	switch	1.612	1	1
669.512	8.5	Congruent	AttendNumber	repeat	1.418	2	1
680.311	8.5	Congruent	AttendLetter	switch	0.82	2	1
691.11	8.5	Congruent	AttendNumber	switch	0.912	2	1
703.11	8.5	Congruent	AttendLetter	switch	0.685	1	1
716.322	8.5	Congruent	AttendNumber	switch	1.532	1	1
728.321	8.5	Incongruent	AttendLetter	switch	0.854	2	1
