onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.816	10.4	NP	5	0.885	2	1
44.015	10.4	NN	8	1.283	1	1
58.414	10.4	NN	8	0.856	1	1
70.413	10.4	NP	5	1.57	2	1
84.812	10.4	NN	6	1.051	1	1
98.011	10.4	NP	8	1.282	2	1
110.01	10.4	NN	5	1.359	1	1
122.009	10.4	NP	7	1.289	2	1
136.408	10.4	NN	5	1.152	1	1
150.807	10.4	NP	5	1.249	2	1
164.006	10.4	NP	7	1.211	2	1
176.005	10.4	NP	8	1.189	2	1
188.017	10.4	NN	7	1.333	1	1
202.416	10.4	NP	6	1.297	2	1
215.615	10.4	RN	5	1.197	1	1
258.811	10.4	NN	6	1.276	1	1
270.81	10.4	NN	8	1.095	1	1
284.009	10.4	NP	7	n/a	n/a	0
298.408	10.4	NP	7	1.282	2	1
310.407	10.4	NP	8	1.024	2	1
324.806	10.4	NP	5	0.66	2	1
338.005	10.4	NN	7	0.909	1	1
352.417	10.4	NP	5	1.038	2	1
365.616	10.4	NN	8	1.071	1	1
378.815	10.4	RN	5	1.04	1	1
393.214	10.4	NN	5	0.907	1	1
405.213	10.4	NP	8	1.248	2	1
418.412	10.4	NP	8	0.857	2	1
430.411	10.4	NP	5	1.129	2	1
444.81	10.4	NN	5	0.911	1	1
486.807	10.4	NN	5	0.802	1	1
500.006	10.4	NP	5	0.981	2	1
512.005	10.4	NP	8	1.228	2	1
524.017	10.4	RN	5	0.921	1	1
537.216	10.4	NN	8	0.78	1	1
551.615	10.4	NP	7	0.971	2	1
566.014	10.4	NP	8	0.942	2	1
580.413	10.4	NN	5	0.941	1	1
593.612	10.4	NP	6	0.777	2	1
606.811	10.4	RN	8	1.617	2	0
621.209	10.4	NP	5	0.919	2	1
633.208	10.4	NN	8	0.877	1	1
647.607	10.4	NP	5	0.946	2	1
660.806	10.4	NN	7	0.818	1	1
672.805	10.4	NN	7	1.122	1	1
