onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.818	10.4	NP	5	0.888	2	1
44.017	10.4	NP	5	0.836	2	1
56.016	10.4	NN	5	0.881	1	1
70.415	10.4	NN	6	0.785	1	1
84.814	10.4	NN	8	0.949	1	1
99.213	10.4	NP	5	0.782	2	1
113.611	10.4	RN	5	1.422	1	1
125.611	10.4	NN	5	0.841	1	1
138.809	10.4	NN	7	0.92	1	1
150.809	10.4	NP	6	1.054	2	1
164.021	10.4	NP	8	0.783	2	1
177.22	10.4	NN	8	0.874	1	1
191.619	10.4	NP	7	0.725	2	1
203.618	10.4	NP	8	0.796	2	1
215.617	10.4	RN	7	0.782	2	0
258.813	10.4	NP	5	0.915	2	1
273.212	10.4	NN	8	0.851	1	1
286.411	10.4	RN	8	1.123	2	0
298.41	10.4	NP	5	0.817	2	1
311.609	10.4	RN	5	1.129	1	1
323.622	10.4	NN	6	1.047	1	1
336.82	10.4	NP	8	0.974	2	1
351.219	10.4	NN	7	0.847	1	1
363.218	10.4	NN	5	0.927	1	1
376.417	10.4	NP	8	0.977	2	1
390.816	10.4	NP	5	0.682	2	1
402.815	10.4	NP	7	1.032	2	1
417.214	10.4	NN	5	1.052	1	1
430.413	10.4	NN	8	1.25	1	1
444.812	10.4	NP	7	0.862	2	1
486.809	10.4	NN	7	0.852	1	1
500.021	10.4	NP	7	0.847	2	1
512.02	10.4	NP	6	1.076	2	1
524.019	10.4	NN	7	0.855	1	1
538.418	10.4	NP	8	1.101	1	0
552.817	10.4	NP	8	0.911	2	1
566.016	10.4	NP	5	0.905	2	1
580.415	10.4	NN	8	0.947	1	1
593.614	10.4	NN	5	0.951	1	1
608.012	10.4	NP	5	0.986	2	1
622.411	10.4	RN	5	0.867	2	0
634.41	10.4	NP	5	1.257	2	1
647.609	10.4	NN	6	0.775	1	1
659.622	10.4	NP	8	0.924	2	1
672.821	10.4	NN	5	1.054	1	1
