onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.717	2	InCon	MC	0.913	1
34.316	2	Con	PC50	0.6395	1
39.116	2	Con	MC	0.613	1
43.915	2	InCon	MC	0.9015	1
49.915	2	InCon	PC50	0.8335	1
55.928	2	Con	PC50	0.668	1
59.528	2	Con	MC	0.7845	1
64.327	2	Con	MC	0.786	1
70.327	2	Con	MC	0.6725	1
75.126	2	InCon	PC50	0.868	1
81.126	2	InCon	PC50	0.846	1
84.726	2	Con	PC50	0.6105	1
88.325	2	Con	MC	0.595	1
94.325	2	Con	MC	0.679	1
97.925	2	InCon	MC	0.7315	1
102.724	2	Con	PC50	0.6865	1
107.524	2	Con	PC50	0.7655	1
112.323	2	InCon	MC	1.1395	1
118.323	2	Con	MC	0.896	1
121.923	2	Con	MC	0.779	1
125.522	2	Con	MC	0.7485	1
131.522	2	Con	MC	0.9015	1
136.321	2	Con	MC	0.6805	1
139.921	2	InCon	PC50	0.7845	1
145.921	2	Con	MC	0.584	1
151.92	2	InCon	PC50	0.814	1
156.72	2	InCon	MC	0.9505	1
160.32	2	Con	PC50	0.7905	1
163.919	2	Con	MC	0.849	1
169.919	2	Con	MC	0.667	1
175.918	2	InCon	MC	0.743	1
179.518	2	Con	MC	0.664	1
185.518	2	Con	MC	0.582	1
190.317	2	Con	MC	0.698	1
195.117	2	Con	MC	0.6095	1
198.717	2	InCon	PC50	0.8125	1
233.527	2	InCon	PC50	0.9145	1
237.127	2	Con	MC	0.623	1
241.926	2	InCon	MC	0.697	1
247.926	2	InCon	PC50	0.652	1
253.926	2	InCon	PC50	0.778	1
257.525	2	Con	MC	0.5845	1
262.325	2	InCon	PC50	0.66	1
267.124	2	InCon	MC	0.781	1
273.124	2	Con	PC50	0.5495	1
276.724	2	Con	PC50	0.6465	1
281.523	2	Con	PC50	0.5455	1
285.123	2	Con	MC	0.589	1
291.123	2	InCon	PC50	0.8715	1
295.922	2	InCon	MC	0.9005	1
301.922	2	Con	MC	0.7325	1
307.921	2	InCon	PC50	0.79	1
311.521	2	Con	MC	0.815	1
315.121	2	Con	MC	0.5955	1
319.92	2	Con	MC	0.6945	1
325.92	2	Con	MC	0.6565	1
330.719	2	Con	MC	0.7045	1
336.719	2	Con	MC	0.575	1
340.319	2	Con	PC50	0.716	1
345.118	2	InCon	MC	0.754	1
348.718	2	Con	MC	0.6135	1
354.718	2	Con	MC	0.641	1
358.317	2	Con	PC50	0.8445	1
363.117	2	Con	MC	0.6395	1
366.717	2	InCon	MC	0.837	1
372.716	2	Con	MC	0.6125	1
377.516	2	Con	PC50	0.6265	1
382.315	2	Con	MC	0.5615	1
385.915	2	Con	MC	0.6625	1
389.515	2	Con	MC	0.7695	1
395.528	2	InCon	MC	0.893	1
401.527	2	Con	MC	0.5925	1
436.324	2	Con	MC	0.59	1
439.924	2	InCon	PC50	0.7655	1
445.924	2	Con	MC	0.559	1
450.723	2	Con	PC50	0.5945	1
456.723	2	InCon	MC	0.807	1
461.522	2	Con	MC	0.555	1
465.122	2	InCon	MC	0.8845	1
469.922	2	InCon	MC	0.714	1
473.522	2	Con	MC	0.679	1
477.121	2	InCon	PC50	0.663	1
483.121	2	Con	PC50	0.582	1
487.92	2	InCon	PC50	0.6425	1
493.92	2	Con	MC	0.6205	1
497.52	2	InCon	MC	1.38	1
502.319	2	InCon	PC50	0.759	1
507.119	2	Con	MC	0.653	1
510.719	2	Con	MC	0.61	1
514.318	2	InCon	PC50	0.779	1
520.318	2	Con	PC50	0.6935	1
526.317	2	Con	MC	0.7765	1
531.117	2	InCon	MC	1.1625	1
534.717	2	Con	PC50	0.724	1
539.516	2	Con	MC	0.613	1
545.516	2	Con	MC	0.6585	1
551.515	2	Con	MC	0.6325	1
555.115	2	Con	PC50	0.6555	1
558.715	2	Con	MC	0.5595	1
564.728	2	Con	PC50	0.531	1
569.527	2	Con	MC	0.7145	1
575.527	2	InCon	MC	0.9475	1
581.526	2	Con	MC	0.713	1
585.126	2	Con	MC	0.903	1
588.726	2	Con	MC	0.5195	1
593.525	2	Con	MC	0.752	1
599.525	2	Con	MC	0.6255	1
604.325	2	InCon	PC50	0.7155	1
