onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.112	8.5	Congruent	AttendLetter	n/a	1.207	1	1
43.127	8.5	Congruent	AttendLetter	repeat	0.93	2	1
53.925	8.5	Congruent	AttendNumber	switch	1.485	2	1
64.723	8.5	Incongruent	AttendLetter	switch	0.948	1	1
77.921	8.5	Congruent	AttendNumber	switch	1.078	1	1
89.919	8.5	Incongruent	AttendNumber	repeat	1.147	2	0
101.917	8.5	Congruent	AttendLetter	switch	1.491	2	1
115.115	8.5	Incongruent	AttendLetter	repeat	1.113	1	1
125.914	8.5	Congruent	AttendNumber	switch	1.325	1	1
139.128	8.5	Incongruent	AttendNumber	repeat	1.688	2	0
151.126	8.5	Congruent	AttendLetter	switch	1.622	1	1
161.925	8.5	Congruent	AttendNumber	switch	0.996	1	1
175.123	8.5	Congruent	AttendNumber	repeat	1.152	1	1
188.32	8.5	Incongruent	AttendNumber	repeat	1.164	1	1
199.119	8.5	Congruent	AttendLetter	switch	0.838	2	1
209.917	8.5	Incongruent	AttendLetter	repeat	1.969	1	0
221.915	8.5	Congruent	AttendLetter	repeat	1.859	2	1
235.113	8.5	Congruent	AttendNumber	switch	1.924	1	0
277.123	8.5	Congruent	AttendLetter	n/a	0.872	2	1
289.121	8.5	Incongruent	AttendLetter	repeat	1.341	2	1
301.119	8.5	Congruent	AttendNumber	switch	1.782	2	1
311.918	8.5	Congruent	AttendLetter	switch	1.714	2	1
325.116	8.5	Congruent	AttendNumber	switch	1.873	1	1
335.914	8.5	Congruent	AttendNumber	repeat	1.476	1	1
349.112	8.5	Incongruent	AttendNumber	repeat	2.132	2	1
362.326	8.5	Incongruent	AttendNumber	repeat	1.683	2	1
374.325	8.5	Incongruent	AttendNumber	repeat	1.092	2	1
385.123	8.5	Incongruent	AttendLetter	switch	2.064	1	1
397.121	8.5	Congruent	AttendNumber	switch	1.758	2	1
407.919	8.5	Congruent	AttendNumber	repeat	0.83	1	1
421.117	8.5	Incongruent	AttendNumber	repeat	2.58	2	1
434.315	8.5	Congruent	AttendLetter	switch	1.592	1	1
446.313	8.5	Congruent	AttendLetter	repeat	1.401	2	1
459.528	8.5	Congruent	AttendLetter	repeat	0.78	1	1
470.326	8.5	Incongruent	AttendLetter	repeat	1.048	2	1
482.324	8.5	Congruent	AttendLetter	repeat	0.908	1	1
523.118	8.5	Incongruent	AttendLetter	n/a	1.087	1	1
536.316	8.5	Incongruent	AttendNumber	switch	2.64	1	0
548.314	8.5	Congruent	AttendLetter	switch	0.904	1	1
559.112	8.5	Incongruent	AttendLetter	repeat	0.75	1	1
572.327	8.5	Congruent	AttendNumber	switch	2.022	1	1
584.325	8.5	Congruent	AttendNumber	repeat	1.097	2	1
596.323	8.5	Congruent	AttendNumber	repeat	1.083	1	0
607.121	8.5	Congruent	AttendNumber	repeat	1.422	1	1
620.319	8.5	Congruent	AttendLetter	switch	0.919	1	1
631.118	8.5	Incongruent	AttendNumber	switch	1.379	1	1
643.116	8.5	Congruent	AttendLetter	switch	1.605	2	1
655.114	8.5	Congruent	AttendLetter	repeat	1.026	1	1
665.912	8.5	Congruent	AttendNumber	switch	2.434	2	1
679.127	8.5	Incongruent	AttendLetter	switch	0.814	2	1
692.325	8.5	Congruent	AttendLetter	repeat	1.567	2	1
704.323	8.5	Congruent	AttendNumber	switch	1.394	1	1
717.521	8.5	Congruent	AttendLetter	switch	1.161	2	1
728.319	8.5	Incongruent	AttendNumber	switch	1.771	2	1
