onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.12	8.5	Incongruent	AttendNumber	n/a	1.463	2	1
44.318	8.5	Congruent	AttendNumber	repeat	1.158	2	1
56.316	8.5	Congruent	AttendNumber	repeat	1.456	2	1
69.514	8.5	Congruent	AttendLetter	switch	0.843	2	1
81.512	8.5	Incongruent	AttendLetter	repeat	1.293	2	1
92.311	8.5	Incongruent	AttendLetter	repeat	0.886	2	1
103.109	8.5	Congruent	AttendNumber	switch	2.09	2	1
115.124	8.5	Incongruent	AttendNumber	repeat	1.649	1	1
125.922	8.5	Congruent	AttendLetter	switch	0.588	1	1
139.12	8.5	Congruent	AttendNumber	switch	1.303	1	1
151.118	8.5	Congruent	AttendLetter	switch	0.856	1	1
164.316	8.5	Congruent	AttendNumber	switch	1.477	1	1
175.114	8.5	Congruent	AttendLetter	switch	0.794	2	1
185.912	8.5	Incongruent	AttendNumber	switch	1.554	2	1
199.11	8.5	Congruent	AttendNumber	repeat	0.86	1	1
212.325	8.5	Congruent	AttendLetter	switch	1.458	2	1
224.323	8.5	Incongruent	AttendLetter	repeat	1.211	1	1
235.121	8.5	Congruent	AttendLetter	repeat	1.032	1	1
277.115	8.5	Incongruent	AttendNumber	n/a	1.268	1	1
287.913	8.5	Incongruent	AttendNumber	repeat	1.189	1	1
301.111	8.5	Congruent	AttendNumber	repeat	1.066	2	1
313.109	8.5	Congruent	AttendLetter	switch	0.783	2	1
323.924	8.5	Congruent	AttendLetter	repeat	1.088	1	1
334.722	8.5	Incongruent	AttendLetter	repeat	0.962	1	1
347.92	8.5	Congruent	AttendLetter	repeat	0.682	1	1
361.118	8.5	Congruent	AttendNumber	switch	1.728	1	1
373.116	8.5	Congruent	AttendNumber	repeat	0.717	1	1
385.115	8.5	Incongruent	AttendLetter	switch	1.524	2	1
398.312	8.5	Congruent	AttendNumber	switch	1.514	1	1
409.111	8.5	Congruent	AttendLetter	switch	0.861	2	1
422.309	8.5	Incongruent	AttendNumber	switch	1.141	1	1
433.124	8.5	Congruent	AttendLetter	switch	0.734	2	1
443.922	8.5	Congruent	AttendNumber	switch	0.911	1	1
457.12	8.5	Congruent	AttendLetter	switch	1.238	1	1
469.118	8.5	Incongruent	AttendNumber	switch	1.891	2	1
481.116	8.5	Congruent	AttendLetter	switch	0.943	2	1
523.11	8.5	Congruent	AttendNumber	n/a	2.165	2	1
535.124	8.5	Congruent	AttendLetter	switch	1.436	2	1
547.122	8.5	Congruent	AttendNumber	switch	1.706	2	1
557.921	8.5	Incongruent	AttendLetter	switch	1.363	2	1
568.719	8.5	Incongruent	AttendLetter	repeat	0.916	1	1
580.717	8.5	Incongruent	AttendNumber	switch	1.956	2	1
591.515	8.5	Congruent	AttendLetter	switch	0.752	2	1
604.713	8.5	Congruent	AttendNumber	switch	1.367	2	1
617.911	8.5	Incongruent	AttendLetter	switch	1.482	2	1
631.109	8.5	Congruent	AttendNumber	switch	1.548	1	1
641.924	8.5	Incongruent	AttendNumber	repeat	1.279	1	1
653.922	8.5	Congruent	AttendLetter	switch	1.09	1	1
667.12	8.5	Congruent	AttendLetter	repeat	0.856	2	1
679.118	8.5	Congruent	AttendNumber	switch	1.774	1	1
691.116	8.5	Incongruent	AttendLetter	switch	0.899	2	1
704.314	8.5	Incongruent	AttendLetter	repeat	0.717	1	1
717.512	8.5	Congruent	AttendNumber	switch	1.478	2	1
728.311	8.5	Congruent	AttendNumber	repeat	1.248	1	1
