onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.818	10.4	NP	5	0.974	2	1
42.817	10.4	NN	8	1.027	1	1
57.214	10.4	NN	8	0.943	1	1
69.229	10.4	NP	5	0.935	2	1
81.227	10.4	NN	6	0.85	1	1
93.225	10.4	NP	8	0.975	2	1
106.423	10.4	NN	5	1.07	1	1
119.621	10.4	NP	7	0.941	2	1
132.819	10.4	NN	5	0.873	1	1
147.217	10.4	NP	5	1.162	2	1
160.415	10.4	NP	7	0.886	2	1
174.829	10.4	NP	8	0.975	2	1
189.227	10.4	NN	7	1.255	1	1
201.225	10.4	NP	6	0.947	2	1
215.623	10.4	RN	5	1.667	1	1
258.816	10.4	NN	6	0.826	1	1
272.014	10.4	NN	8	1.013	1	1
286.428	10.4	NP	7	1.235	1	0
298.426	10.4	NP	7	0.898	2	1
310.425	10.4	NP	8	0.851	2	1
323.622	10.4	NP	5	0.669	2	1
335.621	10.4	NN	7	1.476	2	0
347.619	10.4	NP	5	0.699	2	1
362.016	10.4	NN	8	1.084	1	1
374.015	10.4	RN	5	1.172	1	1
387.229	10.4	NN	5	1.032	1	1
400.427	10.4	NP	8	0.958	2	1
413.625	10.4	NP	8	0.74	2	1
428.023	10.4	NP	5	1.092	2	1
442.42	10.4	NN	5	0.742	1	1
486.83	10.4	NN	5	0.931	1	1
498.828	10.4	NP	5	0.679	2	1
512.026	10.4	NP	8	0.771	2	1
526.424	10.4	RN	5	0.901	1	1
540.822	10.4	NN	8	0.987	1	1
552.82	10.4	NP	7	0.909	2	1
564.818	10.4	NP	8	0.692	2	1
578.016	10.4	NN	5	0.873	1	1
592.414	10.4	NP	6	0.927	2	1
605.628	10.4	RN	8	0.873	2	0
618.826	10.4	NP	5	0.972	2	1
632.024	10.4	NN	8	1.432	1	1
646.422	10.4	NP	5	0.692	2	1
660.819	10.4	NN	7	1.132	1	1
672.818	10.4	NN	7	0.925	1	1
