onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.811	10.4	NP	5	1.002	2	1
45.209	10.4	NP	5	0.737	2	1
59.607	10.4	NN	5	0.973	1	1
71.605	10.4	NN	6	0.871	1	1
83.62	10.4	NN	8	1.041	2	0
98.017	10.4	NP	5	0.642	2	1
112.415	10.4	RN	5	1.401	1	1
124.413	10.4	NN	5	0.902	1	1
138.811	10.4	NN	7	1.215	1	1
152.009	10.4	NP	6	0.807	2	1
165.207	10.4	NP	8	0.766	2	1
178.405	10.4	NN	8	1.184	1	1
190.42	10.4	NP	7	0.773	2	1
203.618	10.4	NP	8	0.693	2	1
215.616	10.4	RN	7	0.78	2	0
258.809	10.4	NP	5	0.842	2	1
273.207	10.4	NN	8	1.278	1	1
286.405	10.4	RN	8	0.844	2	0
298.419	10.4	NP	5	0.635	2	1
312.817	10.4	RN	5	1.214	2	0
326.015	10.4	NN	6	0.781	1	1
338.013	10.4	NP	8	0.749	2	1
352.411	10.4	NN	7	1.106	1	1
364.409	10.4	NN	5	0.941	1	1
378.807	10.4	NP	8	1.199	2	1
393.204	10.4	NP	5	0.78	2	1
406.419	10.4	NP	7	1.058	2	1
418.417	10.4	NN	5	0.923	1	1
431.615	10.4	NN	8	0.966	1	1
444.813	10.4	NP	7	0.7	2	1
486.806	10.4	NN	7	1.056	1	1
500.004	10.4	NP	7	0.971	2	1
513.219	10.4	NP	6	1.003	2	1
527.617	10.4	NN	7	1.31	1	1
542.014	10.4	NP	8	0.865	2	1
554.012	10.4	NP	8	1.177	2	1
568.41	10.4	NP	5	0.657	2	1
581.608	10.4	NN	8	0.979	1	1
594.806	10.4	NN	5	1.029	1	1
609.204	10.4	NP	5	0.835	2	1
621.219	10.4	RN	5	1.263	1	1
633.217	10.4	NP	5	0.844	2	1
647.614	10.4	NN	6	0.748	1	1
659.613	10.4	NP	8	0.906	2	1
672.811	10.4	NN	5	1.024	1	1
