onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.827	10.4	NP	5	1.329	2	1
42.825	10.4	NP	5	1.228	2	1
56.023	10.4	NN	5	1.239	1	1
69.221	10.4	NN	6	1.238	1	1
83.619	10.4	NN	8	1.084	1	1
96.816	10.4	NP	5	1.091	2	1
108.815	10.4	RN	5	1.164	2	0
123.212	10.4	NN	5	1.483	1	1
137.627	10.4	NN	7	1.608	1	1
152.024	10.4	NP	6	1.186	2	1
165.222	10.4	NP	8	1.097	2	1
177.22	10.4	NN	8	0.854	1	1
190.418	10.4	NP	7	1.47	2	1
202.416	10.4	NP	8	1.61	2	1
216.814	10.4	RN	7	1.675	2	0
258.824	10.4	NP	5	1.271	2	1
272.022	10.4	NN	8	1.224	1	1
286.419	10.4	RN	8	1.553	2	0
300.817	10.4	NP	5	1.143	2	1
314.015	10.4	RN	5	1.711	1	1
327.213	10.4	NN	6	0.788	1	1
341.627	10.4	NP	8	1.093	1	0
356.025	10.4	NN	7	1.052	1	1
369.223	10.4	NN	5	1.128	1	1
381.221	10.4	NP	8	1.203	2	1
395.619	10.4	NP	5	1.636	2	1
407.617	10.4	NP	7	1.118	2	1
419.615	10.4	NN	5	1.37	1	1
431.613	10.4	NN	8	1.281	1	1
443.628	10.4	NP	7	1.126	2	1
486.821	10.4	NN	7	1.411	1	1
498.819	10.4	NP	7	1.436	2	1
510.817	10.4	NP	6	1.234	2	1
522.815	10.4	NN	7	1.655	1	1
537.213	10.4	NP	8	1.369	2	1
551.627	10.4	NP	8	1.221	2	1
566.025	10.4	NP	5	1.006	2	1
578.023	10.4	NN	8	1.138	1	1
590.021	10.4	NN	5	1.771	1	1
604.418	10.4	NP	5	n/a	n/a	0
617.616	10.4	RN	5	n/a	n/a	0
630.814	10.4	NP	5	1.711	2	1
644.012	10.4	NN	6	1.475	1	1
657.227	10.4	NP	8	1.519	1	0
671.624	10.4	NN	5	1.23	1	1
