onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.818	10.4	NP	5	0.807	2	1
44.017	10.4	NP	5	0.769	2	1
58.416	10.4	NN	5	0.872	1	1
71.615	10.4	NN	6	1.09	1	1
83.614	10.4	NN	8	n/a	n/a	0
96.813	10.4	NP	5	1.096	2	1
111.211	10.4	RN	5	0.978	2	0
124.41	10.4	NN	5	0.919	1	1
138.809	10.4	NN	7	1.095	1	1
150.822	10.4	NP	6	1.121	1	0
162.821	10.4	NP	8	1.224	1	0
177.22	10.4	NN	8	1.096	2	0
191.618	10.4	NP	7	0.973	2	1
203.617	10.4	NP	8	0.723	1	0
216.816	10.4	RN	7	1.49	2	0
258.813	10.4	NP	5	0.601	2	1
273.212	10.4	NN	8	1.039	1	1
287.611	10.4	RN	8	1.317	2	0
299.61	10.4	NP	5	0.808	2	1
312.809	10.4	RN	5	0.758	2	0
326.021	10.4	NN	6	0.797	1	1
338.02	10.4	NP	8	0.861	2	1
352.419	10.4	NN	7	1.069	1	1
364.418	10.4	NN	5	1.145	2	0
378.817	10.4	NP	8	0.825	2	1
390.816	10.4	NP	5	1.154	1	0
404.015	10.4	NP	7	1.596	2	1
417.214	10.4	NN	5	1.07	2	0
431.613	10.4	NN	8	1.218	1	1
443.612	10.4	NP	7	0.872	1	0
486.822	10.4	NN	7	1.056	1	1
501.221	10.4	NP	7	1.014	2	1
514.42	10.4	NP	6	1.289	2	1
527.619	10.4	NN	7	1.098	1	1
540.818	10.4	NP	8	1.068	1	0
552.817	10.4	NP	8	1.348	2	1
566.016	10.4	NP	5	0.888	2	1
580.414	10.4	NN	8	1.76	2	0
593.613	10.4	NN	5	0.992	2	0
605.612	10.4	NP	5	0.859	2	1
620.011	10.4	RN	5	0.811	1	1
632.01	10.4	NP	5	0.988	2	1
644.009	10.4	NN	6	1.428	1	1
658.422	10.4	NP	8	0.862	2	1
672.82	10.4	NN	5	0.773	1	1
