onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.113	8.5	Congruent	AttendLetter	n/a	0.998	2	1
43.128	8.5	Congruent	AttendLetter	repeat	1.676	2	1
56.326	8.5	Incongruent	AttendLetter	repeat	0.859	2	1
67.124	8.5	Congruent	AttendNumber	switch	1.28	1	1
77.922	8.5	Incongruent	AttendLetter	switch	0.883	1	1
88.721	8.5	Congruent	AttendLetter	repeat	1.003	2	1
101.919	8.5	Congruent	AttendNumber	switch	0.861	2	1
113.917	8.5	Incongruent	AttendLetter	switch	1.754	1	1
125.915	8.5	Incongruent	AttendNumber	switch	2.215	2	0
139.113	8.5	Congruent	AttendLetter	switch	0.938	1	1
151.128	8.5	Congruent	AttendNumber	switch	0.998	2	1
164.325	8.5	Congruent	AttendNumber	repeat	0.932	1	1
177.523	8.5	Incongruent	AttendNumber	repeat	1.007	1	1
188.322	8.5	Congruent	AttendNumber	repeat	1.238	1	1
199.12	8.5	Congruent	AttendNumber	repeat	1.868	1	1
211.118	8.5	Incongruent	AttendNumber	repeat	0.965	1	1
223.116	8.5	Congruent	AttendLetter	switch	1.378	2	1
236.314	8.5	Congruent	AttendLetter	repeat	1.046	1	1
277.124	8.5	Congruent	AttendLetter	n/a	1.214	1	1
290.322	8.5	Congruent	AttendNumber	switch	1.528	1	1
302.32	8.5	Congruent	AttendLetter	switch	0.882	2	1
313.119	8.5	Incongruent	AttendNumber	switch	2.521	2	1
326.317	8.5	Congruent	AttendLetter	switch	1.345	2	1
339.515	8.5	Incongruent	AttendNumber	switch	2.154	2	1
350.313	8.5	Congruent	AttendNumber	repeat	1.267	2	1
362.328	8.5	Congruent	AttendLetter	switch	1.18	2	1
374.326	8.5	Congruent	AttendNumber	switch	0.882	2	1
385.124	8.5	Incongruent	AttendLetter	switch	1.087	2	1
397.122	8.5	Incongruent	AttendLetter	repeat	0.919	2	1
407.921	8.5	Congruent	AttendLetter	repeat	1.097	1	1
418.719	8.5	Congruent	AttendNumber	switch	n/a	n/a	0
431.917	8.5	Incongruent	AttendNumber	repeat	1.031	2	1
443.915	8.5	Incongruent	AttendLetter	switch	1.003	1	1
457.113	8.5	Congruent	AttendLetter	repeat	0.983	1	1
467.928	8.5	Congruent	AttendNumber	switch	1.206	1	1
479.926	8.5	Incongruent	AttendNumber	repeat	0.753	2	1
523.119	8.5	Congruent	AttendLetter	n/a	1.477	1	1
533.917	8.5	Congruent	AttendNumber	switch	1.009	1	1
545.916	8.5	Congruent	AttendLetter	switch	0.782	2	1
557.914	8.5	Congruent	AttendLetter	repeat	0.944	1	1
568.712	8.5	Incongruent	AttendLetter	repeat	0.735	1	1
580.727	8.5	Congruent	AttendLetter	repeat	1.496	2	1
591.525	8.5	Incongruent	AttendLetter	repeat	1.001	2	1
604.723	8.5	Congruent	AttendLetter	repeat	0.75	1	1
617.921	8.5	Congruent	AttendNumber	switch	1.017	2	1
631.119	8.5	Congruent	AttendNumber	repeat	1.562	2	1
644.317	8.5	Congruent	AttendNumber	repeat	0.897	2	1
656.315	8.5	Incongruent	AttendNumber	repeat	1.282	2	1
667.113	8.5	Incongruent	AttendNumber	repeat	1.408	2	1
677.928	8.5	Incongruent	AttendLetter	switch	1.386	1	1
691.126	8.5	Congruent	AttendNumber	switch	0.827	1	1
703.124	8.5	Congruent	AttendNumber	repeat	2.088	1	1
715.122	8.5	Congruent	AttendLetter	switch	1.212	2	1
728.32	8.5	Incongruent	AttendNumber	switch	1.454	1	1
