onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.823	10.4	NP	5	0.743	2	1
44.02	10.4	NN	8	0.923	1	1
56.019	10.4	NN	8	0.889	1	1
69.217	10.4	NP	5	1.182	2	1
83.614	10.4	NN	6	0.817	1	1
96.812	10.4	NP	8	1.017	2	1
111.21	10.4	NN	5	1.051	1	1
125.624	10.4	NP	7	0.909	2	1
138.822	10.4	NN	5	0.842	1	1
150.82	10.4	NP	5	1.711	1	0
162.818	10.4	NP	7	1.012	2	1
174.817	10.4	NP	8	1.315	2	1
188.015	10.4	NN	7	0.929	1	1
202.412	10.4	NP	6	1.465	2	1
214.41	10.4	RN	5	0.895	1	1
258.82	10.4	NN	6	0.723	1	1
272.018	10.4	NN	8	0.815	1	1
286.416	10.4	NP	7	1.347	2	1
298.414	10.4	NP	7	0.816	2	1
310.412	10.4	NP	8	1.249	1	0
323.61	10.4	NP	5	0.928	2	1
338.024	10.4	NN	7	0.963	1	1
350.022	10.4	NP	5	1.039	2	1
363.22	10.4	NN	8	0.932	1	1
375.218	10.4	RN	5	0.795	1	1
389.616	10.4	NN	5	0.989	1	1
401.614	10.4	NP	8	1.573	1	0
414.812	10.4	NP	8	0.875	2	1
429.21	10.4	NP	5	1.519	1	0
442.425	10.4	NN	5	1.007	1	1
486.818	10.4	NN	5	0.796	1	1
500.016	10.4	NP	5	1.335	1	0
512.014	10.4	NP	8	0.937	2	1
526.411	10.4	RN	5	0.859	1	1
540.809	10.4	NN	8	0.789	1	1
555.224	10.4	NP	7	1.16	2	1
569.621	10.4	NP	8	0.843	2	1
581.619	10.4	NN	5	1.096	1	1
593.617	10.4	NP	6	1.098	2	1
606.815	10.4	RN	8	1.279	1	1
620.013	10.4	NP	5	1.484	2	1
633.211	10.4	NN	8	0.792	1	1
647.609	10.4	NP	5	0.841	2	1
659.624	10.4	NN	7	1.28	1	1
672.822	10.4	NN	7	0.896	1	1
