onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.712	2	Con	MC	1.068	1
36.711	2	Con	PC50	0.7695	1
40.31	2	Con	MC	0.7445	1
45.11	2	InCon	MC	1.1165	1
49.909	2	InCon	PC50	0.8365	1
55.908	2	Con	MC	0.8085	1
59.507	2	Con	MC	0.6195	1
65.506	2	Con	MC	0.7685	1
70.306	2	InCon	PC50	0.912	1
75.105	2	InCon	PC50	1.117	1
78.704	2	Con	MC	0.7975	1
84.72	2	Con	MC	0.724	1
88.319	2	InCon	PC50	0.923	1
94.318	2	Con	MC	0.7355	1
99.118	2	Con	MC	0.713	1
103.917	2	InCon	PC50	0.943	1
108.716	2	Con	PC50	0.7785	1
114.715	2	InCon	MC	0.8805	1
118.315	2	Con	MC	0.832	1
123.114	2	Con	MC	0.6895	1
129.113	2	InCon	MC	0.996	1
135.112	2	Con	MC	0.701	1
138.711	2	Con	MC	0.8645	1
142.311	2	Con	MC	0.756	1
145.91	2	Con	MC	0.6535	1
150.71	2	InCon	PC50	0.7925	1
154.309	2	Con	PC50	0.8595	1
157.908	2	Con	MC	0.7935	1
162.708	2	InCon	MC	0.968	1
168.707	2	Con	PC50	0.7445	1
173.506	2	Con	MC	0.566	1
179.505	2	Con	PC50	0.747	1
183.105	2	Con	PC50	0.618	1
189.104	2	Con	MC	0.6515	1
193.919	2	InCon	MC	0.958	1
199.919	2	InCon	MC	0.9765	1
233.513	2	Con	MC	0.7045	1
238.312	2	Con	MC	0.7425	1
241.912	2	InCon	PC50	0.809	1
245.511	2	Con	PC50	0.6935	1
251.51	2	Con	MC	0.714	1
255.11	2	InCon	PC50	0.9575	1
258.709	2	InCon	MC	0.996	1
264.708	2	Con	MC	0.7375	1
270.707	2	Con	MC	0.645	1
276.706	2	InCon	MC	0.9475	1
281.506	2	Con	MC	0.7525	1
286.305	2	Con	MC	0.607	1
291.104	2	Con	MC	0.7315	1
297.12	2	Con	PC50	0.5355	1
301.919	2	Con	MC	0.599	1
306.718	2	Con	PC50	0.632	1
312.717	2	InCon	MC	0.82	1
317.517	2	Con	MC	0.7705	1
322.316	2	InCon	PC50	0.9445	1
325.915	2	Con	PC50	0.9005	1
329.515	2	InCon	PC50	1.075	1
335.514	2	Con	MC	0.6205	1
339.113	2	Con	MC	0.808	1
342.713	2	Con	PC50	0.6845	1
348.712	2	Con	MC	0.699	1
354.711	2	InCon	PC50	0.8375	1
360.71	2	Con	MC	0.6985	1
364.309	2	Con	MC	0.7645	1
370.308	2	InCon	PC50	0.971	1
373.908	2	InCon	MC	1.085	1
378.707	2	Con	PC50	0.759	1
384.706	2	InCon	MC	0.847	1
389.505	2	Con	MC	0.931	1
394.305	2	Con	MC	0.701	1
399.104	2	InCon	MC	1.115	1
402.72	2	Con	MC	1.105	1
436.315	2	Con	PC50	0.659	1
441.114	2	Con	MC	0.647	1
447.113	2	Con	PC50	0.635	1
451.912	2	Con	MC	0.563	1
457.911	2	Con	PC50	0.6655	1
463.91	2	InCon	MC	1.083	1
467.51	2	Con	MC	0.6925	1
473.509	2	Con	MC	0.6445	1
477.108	2	Con	MC	0.603	1
480.708	2	InCon	MC	0.9985	1
485.507	2	Con	MC	0.732	1
490.306	2	Con	MC	1.168	1
493.906	2	Con	MC	0.749	1
498.705	2	Con	MC	0.6125	1
503.504	2	InCon	PC50	0.7585	1
509.52	2	Con	PC50	0.585	1
513.119	2	Con	PC50	0.813	1
516.719	2	Con	MC	0.5755	1
522.718	2	Con	MC	0.6	1
528.717	2	InCon	MC	0.7925	1
534.716	2	Con	MC	0.7715	1
539.515	2	InCon	MC	1.158	1
544.314	2	InCon	PC50	0.9655	1
547.914	2	Con	MC	0.779	1
551.513	2	Con	MC	0.6425	1
557.512	2	InCon	PC50	0.871	1
562.312	2	Con	MC	0.735	1
567.111	2	InCon	PC50	0.9025	1
573.11	2	InCon	PC50	0.78	1
576.709	2	InCon	MC	0.9785	1
580.309	2	Con	MC	0.75	1
586.308	2	Con	MC	0.834	1
592.307	2	InCon	MC	0.8635	1
595.906	2	InCon	PC50	1.0505	1
600.706	2	Con	PC50	0.8505	1
605.505	2	Con	MC	0.637	1
