onset	duration	trial_type	response_time	response_button	response_accuracy
30.619	5.3	AY	0.594	1	1
40.219	5.3	Ang	0.534	1	0
47.419	5.3	BX	0.561	2	0
55.819	5.3	Bng	n/a	n/a	1
65.419	5.3	BY	0.394	1	1
73.819	5.3	Ang	n/a	n/a	1
81.019	5.3	AX	0.339	2	1
89.419	5.3	AY	1.087	1	1
97.819	5.3	AX	0.554	2	1
105.019	5.3	BY	0.436	1	1
114.618	5.3	BX	0.387	1	1
124.218	5.3	Bng	n/a	n/a	1
131.418	5.3	BY	0.404	1	1
141.018	5.3	AX	0.352	2	1
149.418	5.3	AX	0.346	2	1
156.618	5.3	AX	0.358	2	1
163.818	5.3	AX	0.314	2	1
173.418	5.3	AX	0.374	2	1
181.818	5.3	BY	0.35	1	1
191.418	5.3	BY	0.312	1	1
198.618	5.3	BY	0.311	1	1
207.018	5.3	AX	0.318	2	1
214.218	5.3	BY	0.441	1	1
222.618	5.3	BY	0.227	1	1
262.217	5.3	BY	0.379	1	1
270.617	5.3	Bng	0.255	1	0
280.217	5.3	AY	0.44	2	0
288.617	5.3	AX	0.344	2	1
298.217	5.3	BY	0.437	1	1
307.817	5.3	BX	0.3	1	1
316.217	5.3	BY	0.359	1	1
325.817	5.3	BY	0.245	1	1
333.017	5.3	BY	0.384	1	1
340.216	5.3	AX	0.354	2	1
348.616	5.3	BY	0.351	1	1
355.816	5.3	AX	0.525	2	1
363.016	5.3	AX	0.314	2	1
370.216	5.3	AY	0.472	1	1
377.416	5.3	Ang	n/a	n/a	1
387.016	5.3	BX	0.453	1	1
396.616	5.3	BY	0.348	1	1
403.816	5.3	BY	0.327	1	1
412.216	5.3	AX	0.396	2	1
420.616	5.3	AX	0.431	2	1
430.216	5.3	Bng	n/a	n/a	1
439.816	5.3	AX	0.274	2	1
447.016	5.3	Ang	n/a	n/a	1
455.415	5.3	AX	0.376	2	1
493.815	5.3	AX	0.403	2	1
501.015	5.3	BY	0.493	1	1
510.615	5.3	Bng	n/a	n/a	1
517.815	5.3	BY	0.686	1	1
526.215	5.3	BY	0.279	1	1
534.615	5.3	AY	0.432	1	1
541.815	5.3	AX	0.44	1	0
550.215	5.3	BY	0.352	1	1
558.615	5.3	Ang	n/a	n/a	1
568.215	5.3	AX	0.343	2	1
575.428	5.3	BY	0.394	1	1
585.028	5.3	Ang	0.238	1	0
594.628	5.3	AX	0.313	2	1
601.828	5.3	Bng	n/a	n/a	1
611.427	5.3	BY	0.415	1	1
619.827	5.3	BX	0.374	1	1
629.427	5.3	AX	0.348	2	1
637.827	5.3	BY	0.357	1	1
647.427	5.3	AX	0.715	2	1
657.027	5.3	BX	0.522	1	1
665.427	5.3	AY	0.237	2	0
672.627	5.3	BY	0.416	1	1
681.027	5.3	AX	0.385	2	1
688.227	5.3	AX	0.278	2	1
