onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.7	2	Con	MC	0.6525	1
35.5	2	Con	MC	0.6245	1
39.1	2	Con	MC	0.694	1
43.899	2	Con	PC50	0.688	1
49.899	2	Con	MC	0.626	1
54.713	2	InCon	MC	1.2255	1
58.313	2	InCon	MC	1.4945	1
61.913	2	Con	MC	1.0875	1
67.913	2	Con	PC50	0.8445	1
71.513	2	InCon	PC50	1.4555	1
76.313	2	Con	MC	0.9035	1
82.312	2	Con	MC	1.0715	1
88.312	2	InCon	PC50	1.123	1
94.312	2	InCon	PC50	1.183	1
99.112	2	InCon	MC	0.965	1
105.112	2	Con	PC50	1.061	1
111.112	2	Con	MC	1.056	1
114.712	2	Con	MC	0.866	1
119.512	2	InCon	PC50	1.17	1
123.112	2	Con	PC50	1.2095	1
126.712	2	Con	MC	1.0525	1
131.512	2	InCon	MC	1.1035	1
136.312	2	Con	PC50	0.9715	1
139.912	2	Con	MC	0.8225	1
145.912	2	Con	MC	0.8335	1
151.912	2	Con	PC50	0.9915	1
155.512	2	Con	MC	0.7575	1
161.512	2	Con	MC	0.5955	1
166.312	2	InCon	PC50	1.016	1
171.112	2	InCon	MC	0.8305	1
174.712	2	Con	MC	0.888	1
179.512	2	Con	MC	0.7425	1
184.312	2	Con	MC	0.6995	1
190.312	2	Con	MC	0.7215	1
196.311	2	InCon	MC	0.887	1
199.911	2	InCon	PC50	1.0015	1
233.511	2	Con	MC	0.741	1
238.311	2	Con	MC	0.6935	1
241.911	2	Con	MC	0.743	1
247.911	2	Con	MC	0.514	1
253.911	2	Con	PC50	0.6025	1
258.711	2	Con	PC50	0.7605	1
262.311	2	Con	MC	0.628	1
267.111	2	Con	PC50	0.642	1
270.711	2	Con	MC	0.7685	1
276.711	2	InCon	PC50	0.9885	1
282.711	2	InCon	PC50	0.8925	1
286.311	2	Con	PC50	0.6775	1
291.111	2	InCon	PC50	0.949	1
297.111	2	InCon	MC	0.927	1
301.911	2	InCon	MC	0.886	1
305.511	2	Con	MC	0.724	1
311.51	2	Con	MC	0.6475	1
317.51	2	InCon	MC	0.829	1
321.11	2	Con	PC50	0.624	1
327.11	2	Con	PC50	0.877	1
331.91	2	InCon	PC50	1.5565	1
336.71	2	InCon	MC	1.0185	1
340.31	2	Con	MC	0.7325	1
345.11	2	Con	MC	0.6965	1
348.71	2	InCon	PC50	0.9965	1
353.51	2	Con	MC	0.838	1
359.51	2	Con	MC	0.632	1
363.11	2	Con	MC	0.8535	1
367.91	2	Con	MC	0.779	1
372.71	2	Con	MC	0.6745	1
376.31	2	Con	MC	0.825	1
379.91	2	InCon	PC50	0.9535	1
385.91	2	InCon	MC	0.878	1
391.91	2	Con	MC	0.613	1
396.71	2	Con	MC	0.778	1
400.31	2	InCon	MC	0.663	1
436.309	2	Con	MC	0.593	1
439.909	2	InCon	MC	0.633	1
443.509	2	InCon	PC50	1.06	1
449.509	2	Con	PC50	0.8635	1
455.509	2	InCon	PC50	0.864	1
460.309	2	Con	MC	0.7255	1
465.109	2	Con	MC	0.67	1
468.709	2	Con	MC	0.5145	1
473.509	2	Con	PC50	0.6805	1
478.309	2	Con	MC	0.6175	1
484.309	2	Con	MC	0.53	1
490.309	2	InCon	PC50	0.6905	1
493.909	2	Con	MC	0.6445	1
497.509	2	InCon	PC50	1.1935	1
503.509	2	Con	PC50	0.645	1
508.309	2	Con	MC	0.7255	1
511.909	2	Con	MC	0.7315	1
517.909	2	Con	MC	0.54	1
521.509	2	InCon	PC50	1.3005	1
526.309	2	Con	MC	0.778	1
531.109	2	Con	MC	0.7225	1
537.109	2	Con	MC	0.6695	1
543.108	2	Con	PC50	0.6735	1
546.708	2	InCon	MC	0.9	1
551.508	2	InCon	MC	0.974	1
556.308	2	Con	PC50	0.777	1
562.308	2	Con	MC	0.679	1
567.108	2	Con	MC	0.7045	1
573.108	2	InCon	MC	0.832	1
576.708	2	InCon	MC	1.0535	1
582.708	2	Con	PC50	0.739	1
586.308	2	Con	MC	0.7615	1
591.108	2	Con	MC	0.79	1
594.708	2	InCon	PC50	1.153	1
599.508	2	InCon	MC	0.8695	1
603.108	2	Con	MC	0.6095	1
