onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.106	8.5	Congruent	AttendNumber	n/a	1.219	1	1
43.104	8.5	Incongruent	AttendNumber	repeat	0.576	1	1
53.902	8.5	Congruent	AttendLetter	switch	0.574	2	1
67.117	8.5	Incongruent	AttendLetter	repeat	0.619	2	1
77.915	8.5	Incongruent	AttendLetter	repeat	0.567	1	1
91.113	8.5	Incongruent	AttendNumber	switch	0.893	1	1
104.311	8.5	Congruent	AttendNumber	repeat	0.457	2	1
116.309	8.5	Congruent	AttendLetter	switch	0.947	2	1
128.307	8.5	Incongruent	AttendNumber	switch	0.687	1	1
139.105	8.5	Congruent	AttendNumber	repeat	1.116	1	1
152.303	8.5	Congruent	AttendLetter	switch	0.724	2	1
164.318	8.5	Congruent	AttendLetter	repeat	1.912	1	1
176.316	8.5	Incongruent	AttendLetter	repeat	0.933	1	1
187.114	8.5	Congruent	AttendLetter	repeat	0.426	2	1
197.913	8.5	Congruent	AttendNumber	switch	0.467	1	0
208.711	8.5	Congruent	AttendLetter	switch	0.591	1	1
220.709	8.5	Congruent	AttendNumber	switch	0.742	2	0
233.907	8.5	Congruent	AttendNumber	repeat	0.618	1	1
277.117	8.5	Congruent	AttendLetter	n/a	0.617	2	1
290.315	8.5	Incongruent	AttendLetter	repeat	0.492	1	0
301.113	8.5	Incongruent	AttendNumber	switch	0.722	2	1
314.311	8.5	Congruent	AttendNumber	repeat	0.674	2	1
327.509	8.5	Congruent	AttendLetter	switch	0.694	1	1
339.507	8.5	Congruent	AttendNumber	switch	0.54	1	1
351.505	8.5	Congruent	AttendNumber	repeat	2.14	2	0
363.503	8.5	Incongruent	AttendNumber	repeat	1.034	2	1
374.318	8.5	Congruent	AttendLetter	switch	0.645	2	1
385.116	8.5	Incongruent	AttendNumber	switch	1.29	2	1
395.915	8.5	Incongruent	AttendNumber	repeat	0.726	2	1
407.913	8.5	Incongruent	AttendLetter	switch	1.64	1	1
421.111	8.5	Incongruent	AttendLetter	repeat	1.111	2	1
431.909	8.5	Congruent	AttendNumber	switch	0.738	2	1
445.107	8.5	Congruent	AttendLetter	switch	0.601	1	1
457.105	8.5	Congruent	AttendNumber	switch	2.727	2	0
469.103	8.5	Congruent	AttendLetter	switch	0.733	1	1
482.318	8.5	Congruent	AttendLetter	repeat	1.569	2	1
523.111	8.5	Congruent	AttendLetter	n/a	0.43	2	1
533.909	8.5	Congruent	AttendNumber	switch	0.561	2	1
547.107	8.5	Incongruent	AttendLetter	switch	0.784	2	0
557.906	8.5	Congruent	AttendNumber	switch	1.945	1	1
571.103	8.5	Congruent	AttendNumber	repeat	1.153	2	1
583.102	8.5	Congruent	AttendLetter	switch	1.457	1	1
595.116	8.5	Congruent	AttendLetter	repeat	0.834	1	1
607.114	8.5	Incongruent	AttendLetter	repeat	0.992	1	0
617.913	8.5	Congruent	AttendLetter	repeat	1.027	2	1
631.111	8.5	Congruent	AttendLetter	repeat	2.194	1	1
641.909	8.5	Congruent	AttendNumber	switch	2.828	2	1
653.907	8.5	Congruent	AttendNumber	repeat	1.475	1	1
665.905	8.5	Congruent	AttendNumber	repeat	0.88	1	1
679.103	8.5	Incongruent	AttendNumber	repeat	0.703	1	0
689.918	8.5	Congruent	AttendLetter	switch	0.703	2	1
703.116	8.5	Incongruent	AttendNumber	switch	0.67	2	1
716.314	8.5	Incongruent	AttendNumber	repeat	2.268	1	1
728.312	8.5	Incongruent	AttendLetter	switch	0.781	2	0
