onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.808	10.4	NP	5	0.795	2	1
44.006	10.4	NP	5	0.902	2	1
57.22	10.4	NN	5	0.933	1	1
69.219	10.4	NN	6	1.047	1	1
83.616	10.4	NN	8	0.812	1	1
98.014	10.4	NP	5	1.328	2	1
112.412	10.4	RN	5	0.939	2	0
125.609	10.4	NN	5	0.977	1	1
137.608	10.4	NN	7	0.748	1	1
150.822	10.4	NP	6	1.196	2	1
164.02	10.4	NP	8	0.866	2	1
178.418	10.4	NN	8	0.983	1	1
190.416	10.4	NP	7	1.581	1	0
204.813	10.4	NP	8	0.953	2	1
216.812	10.4	RN	7	0.996	2	0
258.821	10.4	NP	5	0.777	2	1
270.819	10.4	NN	8	0.935	2	0
282.818	10.4	RN	8	1.132	1	1
297.215	10.4	NP	5	0.864	2	1
311.613	10.4	RN	5	1.832	2	0
326.011	10.4	NN	6	1.145	1	1
340.408	10.4	NP	8	1.03	2	1
352.406	10.4	NN	7	1	1	1
364.421	10.4	NN	5	0.75	1	1
377.619	10.4	NP	8	1.919	1	0
390.817	10.4	NP	5	1.042	2	1
404.015	10.4	NP	7	0.854	2	1
418.413	10.4	NN	5	1.089	1	1
431.61	10.4	NN	8	1.214	1	1
444.808	10.4	NP	7	0.898	2	1
486.818	10.4	NN	7	1.246	1	1
501.216	10.4	NP	7	1.251	2	1
515.614	10.4	NP	6	1.539	2	1
528.811	10.4	NN	7	1.06	1	1
540.81	10.4	NP	8	1.205	2	1
555.207	10.4	NP	8	0.727	2	1
569.622	10.4	NP	5	0.771	2	1
581.62	10.4	NN	8	0.781	1	1
594.818	10.4	NN	5	0.76	1	1
609.215	10.4	NP	5	1.232	2	1
622.413	10.4	RN	5	1.044	1	1
635.611	10.4	NP	5	0.956	2	1
647.609	10.4	NN	6	1.212	1	1
659.607	10.4	NP	8	1.23	2	1
671.622	10.4	NN	5	0.912	1	1
