onset	duration	trial_type	response_time	response_button	response_accuracy
30.623	5.3	AX	0.327	2	1
37.822	5.3	AX	0.553	2	1
46.22	5.3	AX	0.373	2	1
53.419	5.3	AY	0.407	1	1
63.018	5.3	BY	0.603	1	1
71.416	5.3	Bng	n/a	n/a	1
81.015	5.3	AX	0.38	2	1
90.613	5.3	AY	0.913	1	1
99.012	5.3	BY	0.402	1	1
108.61	5.3	BY	0.458	1	1
117.026	5.3	BY	0.281	1	1
124.225	5.3	AX	0.297	2	1
131.423	5.3	AX	0.374	2	1
139.822	5.3	BX	0.93	1	1
147.021	5.3	AX	0.329	2	1
155.42	5.3	BY	0.417	1	1
165.018	5.3	BY	0.475	1	1
172.217	5.3	BY	0.348	1	1
181.815	5.3	BX	0.784	1	1
191.414	5.3	AX	0.362	2	1
198.613	5.3	BY	0.564	1	1
207.011	5.3	Ang	n/a	n/a	1
214.21	5.3	Ang	n/a	n/a	1
222.626	5.3	Bng	n/a	n/a	1
262.219	5.3	AY	0.634	1	1
270.618	5.3	AX	0.362	2	1
280.216	5.3	BY	0.358	1	1
287.415	5.3	AX	0.573	2	1
294.614	5.3	Ang	n/a	n/a	1
303.013	5.3	AX	0.298	2	1
310.212	5.3	AX	0.356	2	1
319.81	5.3	BY	0.351	1	1
329.425	5.3	AY	0.774	1	1
336.624	5.3	AX	0.663	2	1
346.223	5.3	BX	0.825	1	1
354.621	5.3	BY	0.492	1	1
363.02	5.3	Bng	n/a	n/a	1
370.219	5.3	BY	0.696	1	1
378.618	5.3	BY	0.411	1	1
388.216	5.3	AX	n/a	n/a	0
397.815	5.3	BY	0.309	1	1
405.013	5.3	Bng	n/a	n/a	1
413.412	5.3	BY	0.489	1	1
420.611	5.3	BY	n/a	n/a	0
429.01	5.3	AX	0.626	2	1
438.625	5.3	AX	0.3	2	1
447.023	5.3	BX	0.457	2	0
456.622	5.3	Ang	n/a	n/a	1
493.816	5.3	Bng	n/a	n/a	1
502.215	5.3	AX	0.254	2	1
511.813	5.3	BY	0.541	1	1
520.212	5.3	BY	0.527	1	1
527.411	5.3	BY	0.452	1	1
537.026	5.3	BY	0.469	1	1
545.424	5.3	AX	0.327	2	1
553.823	5.3	AX	0.362	2	1
561.022	5.3	AX	0.349	2	1
570.62	5.3	AX	0.401	2	1
577.819	5.3	Ang	n/a	n/a	1
587.418	5.3	BY	0.532	1	1
594.617	5.3	AY	0.715	1	1
603.015	5.3	AX	0.634	2	1
611.414	5.3	BY	0.43	1	1
618.613	5.3	AY	0.543	1	1
628.211	5.3	Bng	n/a	n/a	1
637.81	5.3	BX	0.676	2	0
645.025	5.3	BX	n/a	n/a	0
653.424	5.3	BY	0.669	1	1
660.623	5.3	AX	0.357	2	1
670.221	5.3	AX	0.439	2	1
679.82	5.3	BY	0.639	1	1
688.219	5.3	Ang	n/a	n/a	1
