onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.811	10.4	NP	5	0.996	2	1
44.011	10.4	NN	8	1.142	1	1
56.011	10.4	NN	8	1.332	1	1
68.011	10.4	NP	5	1.202	1	0
80.01	10.4	NN	6	1.419	1	1
93.21	10.4	NP	8	0.804	2	1
106.41	10.4	NN	5	1.1	1	1
120.81	10.4	NP	7	1.345	2	1
135.21	10.4	NN	5	1.014	1	1
149.609	10.4	NP	5	1.416	2	1
164.009	10.4	NP	7	n/a	n/a	0
176.009	10.4	NP	8	1.32	1	0
190.409	10.4	NN	7	0.97	1	1
203.609	10.4	NP	6	1.406	2	1
215.609	10.4	RN	5	1.352	2	0
258.808	10.4	NN	6	1.288	1	1
273.208	10.4	NN	8	1.225	1	1
287.607	10.4	NP	7	1.148	1	0
299.607	10.4	NP	7	1.727	2	1
314.007	10.4	NP	8	1.527	1	0
327.207	10.4	NP	5	1.155	2	1
340.407	10.4	NN	7	1.631	1	1
354.807	10.4	NP	5	1.916	1	0
368.006	10.4	NN	8	1.102	1	1
380.006	10.4	RN	5	1.703	1	1
392.006	10.4	NN	5	0.777	1	1
406.406	10.4	NP	8	1.326	2	1
419.606	10.4	NP	8	1.561	2	1
431.605	10.4	NP	5	1.223	1	0
444.805	10.4	NN	5	1.623	1	1
486.805	10.4	NN	5	1.553	1	1
501.218	10.4	NP	5	1.179	2	1
514.418	10.4	NP	8	1.398	2	1
526.417	10.4	RN	5	1.258	2	0
538.417	10.4	NN	8	1.597	1	1
551.617	10.4	NP	7	1.874	2	1
566.017	10.4	NP	8	1.735	2	1
578.017	10.4	NN	5	1.262	1	1
592.416	10.4	NP	6	1.724	2	1
604.416	10.4	RN	8	1.362	1	1
617.616	10.4	NP	5	1.268	2	1
630.816	10.4	NN	8	1.621	1	1
644.016	10.4	NP	5	1.816	2	1
658.415	10.4	NN	7	1.293	1	1
670.415	10.4	NN	7	0.94	1	1
