onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.726	2	Con	MC	0.993	1
36.726	2	InCon	MC	1.0035	1
40.325	2	InCon	PC50	1.1495	1
46.324	2	Con	MC	0.881	1
49.923	2	Con	MC	0.755	1
54.723	2	Con	MC	0.7325	1
58.322	2	Con	MC	0.682	1
63.121	2	Con	MC	0.7325	1
69.12	2	Con	MC	0.7965	1
75.119	2	Con	MC	0.708	1
79.919	2	InCon	PC50	1.0215	1
83.518	2	InCon	MC	0.927	1
88.317	2	InCon	MC	1.01	1
94.316	2	InCon	MC	1.292	1
99.116	2	Con	MC	0.7075	1
105.115	2	Con	MC	0.7485	1
109.914	2	InCon	PC50	0.715	1
115.93	2	InCon	PC50	0.8685	1
119.529	2	Con	MC	0.8385	1
124.328	2	Con	PC50	0.686	1
130.327	2	Con	MC	0.786	1
133.927	2	Con	MC	0.7855	1
138.726	2	Con	PC50	0.7325	1
142.325	2	InCon	MC	0.8405	1
145.925	2	Con	MC	0.8005	1
151.924	2	Con	PC50	0.8395	1
155.523	2	InCon	PC50	0.94	1
160.323	2	Con	PC50	0.7255	1
163.922	2	Con	MC	0.8115	1
169.921	2	Con	PC50	0.8115	1
174.72	2	Con	MC	0.7725	1
179.52	2	InCon	PC50	0.9085	1
184.319	2	Con	MC	0.699	1
190.318	2	Con	PC50	0.6775	1
193.917	2	Con	MC	0.623	1
197.517	2	InCon	MC	0.8055	1
233.528	2	Con	MC	0.919	1
239.527	2	Con	PC50	0.6555	1
244.326	2	InCon	PC50	0.7905	1
250.325	2	Con	MC	0.777	1
255.124	2	InCon	PC50	0.7805	1
258.724	2	Con	MC	0.7385	1
264.723	2	InCon	PC50	0.877	1
269.522	2	Con	PC50	0.8635	1
273.121	2	Con	PC50	0.747	1
276.721	2	Con	MC	0.672	1
281.52	2	Con	MC	0.764	1
287.519	2	Con	MC	0.719	1
291.119	2	InCon	MC	0.835	1
295.918	2	InCon	PC50	0.8815	1
300.717	2	Con	MC	0.809	1
306.716	2	Con	MC	0.826	1
311.515	2	Con	MC	0.9655	1
317.514	2	InCon	MC	1.005	1
323.53	2	InCon	MC	0.9925	1
327.129	2	InCon	MC	1.059	1
330.729	2	InCon	MC	0.8875	1
334.328	2	Con	MC	0.8815	1
339.128	2	InCon	PC50	0.932	1
342.727	2	Con	MC	0.9895	1
348.726	2	Con	PC50	1.0105	1
354.725	2	Con	MC	0.947	1
359.524	2	Con	MC	0.8135	1
364.324	2	InCon	MC	0.8895	1
370.323	2	Con	MC	0.758	1
376.322	2	Con	MC	1.0075	1
379.921	2	Con	PC50	0.8575	1
383.521	2	Con	MC	0.9435	1
388.32	2	InCon	PC50	0.919	1
394.319	2	Con	PC50	1.0905	1
397.918	2	Con	MC	0.8465	1
402.717	2	Con	MC	1.015	1
436.329	2	Con	PC50	0.865	no-response
441.128	2	InCon	PC50	0.7895	1
447.127	2	Con	MC	0.9085	1
453.126	2	InCon	MC	1.106	1
456.726	2	InCon	PC50	0.8975	1
462.725	2	Con	PC50	0.8125	1
466.324	2	Con	MC	0.7165	1
472.323	2	Con	PC50	0.773	1
475.923	2	InCon	MC	0.8565	1
480.722	2	Con	MC	0.7635	1
485.521	2	InCon	PC50	0.7745	1
489.12	2	Con	MC	0.83	1
493.92	2	InCon	PC50	1.0015	1
499.919	2	Con	MC	0.811	1
504.718	2	InCon	MC	0.7625	1
508.317	2	Con	MC	0.8665	1
511.917	2	Con	PC50	0.8425	1
517.916	2	InCon	MC	0.8005	1
521.515	2	Con	MC	0.7635	1
526.315	2	Con	MC	0.882	1
529.914	2	Con	MC	0.7775	1
535.93	2	InCon	PC50	0.957	1
541.929	2	Con	MC	0.8355	1
546.728	2	Con	PC50	0.8055	1
551.527	2	Con	MC	1.264	1
555.127	2	Con	MC	0.8035	1
558.726	2	Con	PC50	0.7975	1
563.525	2	InCon	PC50	0.945	1
567.125	2	InCon	MC	1.3135	0
571.924	2	Con	MC	0.7715	1
577.923	2	InCon	MC	1.0715	1
583.922	2	Con	MC	0.7415	1
588.721	2	Con	MC	1.1245	1
594.72	2	Con	MC	0.3	no-response
600.719	2	Con	MC	0.9885	1
604.319	2	Con	MC	0.8565	1
