onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.111	8.5	Congruent	AttendNumber	n/a	0.552	1	1
44.309	8.5	Congruent	AttendNumber	repeat	0.731	1	1
55.107	8.5	Incongruent	AttendLetter	switch	0.867	2	1
68.322	8.5	Incongruent	AttendNumber	switch	0.673	1	1
81.52	8.5	Incongruent	AttendLetter	switch	0.836	2	1
93.518	8.5	Congruent	AttendNumber	switch	0.927	2	1
105.516	8.5	Congruent	AttendLetter	switch	0.666	1	1
116.314	8.5	Congruent	AttendNumber	switch	0.65	2	1
127.112	8.5	Congruent	AttendLetter	switch	0.542	1	1
139.111	8.5	Congruent	AttendLetter	repeat	0.467	2	1
151.109	8.5	Incongruent	AttendLetter	repeat	0.499	1	1
161.907	8.5	Incongruent	AttendNumber	switch	0.518	2	1
172.722	8.5	Congruent	AttendLetter	switch	0.692	2	1
184.72	8.5	Congruent	AttendLetter	repeat	0.557	2	1
197.918	8.5	Congruent	AttendLetter	repeat	0.606	1	1
209.916	8.5	Incongruent	AttendNumber	switch	0.486	2	1
220.714	8.5	Congruent	AttendNumber	repeat	0.375	1	1
233.912	8.5	Congruent	AttendNumber	repeat	0.496	2	1
277.122	8.5	Congruent	AttendLetter	n/a	0.596	1	1
287.92	8.5	Congruent	AttendLetter	repeat	0.568	2	1
301.118	8.5	Incongruent	AttendLetter	repeat	0.601	2	1
313.116	8.5	Congruent	AttendNumber	switch	0.335	1	1
323.915	8.5	Congruent	AttendNumber	repeat	0.436	1	1
337.112	8.5	Incongruent	AttendNumber	repeat	0.444	1	1
349.111	8.5	Incongruent	AttendNumber	repeat	0.479	1	0
362.308	8.5	Congruent	AttendLetter	switch	0.676	2	1
373.107	8.5	Incongruent	AttendNumber	switch	0.615	1	1
385.122	8.5	Congruent	AttendNumber	repeat	1.237	1	1
397.12	8.5	Congruent	AttendLetter	switch	0.628	2	1
407.918	8.5	Congruent	AttendLetter	repeat	0.578	1	1
421.116	8.5	Incongruent	AttendNumber	switch	0.516	1	1
433.114	8.5	Congruent	AttendLetter	switch	0.689	2	0
446.312	8.5	Congruent	AttendNumber	switch	0.925	1	1
457.11	8.5	Congruent	AttendLetter	switch	1.114	2	1
469.108	8.5	Incongruent	AttendLetter	repeat	0.822	1	1
482.323	8.5	Congruent	AttendNumber	switch	1.228	2	1
523.116	8.5	Congruent	AttendNumber	n/a	0.77	2	1
536.314	8.5	Congruent	AttendNumber	repeat	0.511	1	1
548.312	8.5	Incongruent	AttendNumber	repeat	0.794	2	1
561.51	8.5	Congruent	AttendNumber	repeat	0.449	1	1
573.508	8.5	Incongruent	AttendLetter	switch	1.06	1	1
586.723	8.5	Congruent	AttendNumber	switch	0.841	1	1
598.721	8.5	Incongruent	AttendNumber	repeat	0.705	1	1
609.519	8.5	Congruent	AttendLetter	switch	0.777	2	1
620.318	8.5	Incongruent	AttendLetter	repeat	0.647	1	0
631.116	8.5	Incongruent	AttendLetter	repeat	0.841	2	1
644.314	8.5	Congruent	AttendNumber	switch	0.658	2	1
656.312	8.5	Congruent	AttendLetter	switch	1.103	2	1
667.11	8.5	Incongruent	AttendLetter	repeat	0.534	1	1
680.308	8.5	Congruent	AttendNumber	switch	0.625	2	1
691.123	8.5	Congruent	AttendNumber	repeat	0.687	2	1
703.121	8.5	Incongruent	AttendLetter	switch	0.753	2	1
713.919	8.5	Congruent	AttendLetter	repeat	0.616	1	1
727.117	8.5	Congruent	AttendLetter	repeat	0.862	2	1
