onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.108	8.5	Congruent	AttendNumber	n/a	1.237	1	1
43.107	8.5	Congruent	AttendNumber	repeat	1.352	1	1
53.906	8.5	Incongruent	AttendNumber	repeat	1.245	2	1
67.106	8.5	Congruent	AttendLetter	switch	1.145	2	1
80.305	8.5	Congruent	AttendLetter	repeat	0.829	1	1
93.504	8.5	Congruent	AttendNumber	switch	1.319	1	1
105.503	8.5	Congruent	AttendLetter	switch	1.067	2	1
117.502	8.5	Congruent	AttendLetter	repeat	0.916	2	1
128.315	8.5	Incongruent	AttendLetter	repeat	1.358	2	1
139.114	8.5	Congruent	AttendNumber	switch	1.738	2	1
152.313	8.5	Congruent	AttendLetter	switch	1.702	1	1
164.312	8.5	Incongruent	AttendNumber	switch	1.358	1	1
176.312	8.5	Congruent	AttendNumber	repeat	1.087	2	1
187.111	8.5	Congruent	AttendNumber	repeat	1.241	2	1
200.31	8.5	Incongruent	AttendLetter	switch	0.921	2	1
211.109	8.5	Congruent	AttendLetter	repeat	1.109	1	1
223.108	8.5	Incongruent	AttendNumber	switch	1.597	2	1
236.308	8.5	Incongruent	AttendLetter	switch	1.029	1	1
277.105	8.5	Congruent	AttendLetter	n/a	1.063	1	1
290.304	8.5	Congruent	AttendLetter	repeat	0.968	2	1
302.303	8.5	Congruent	AttendNumber	switch	1.999	1	0
313.102	8.5	Incongruent	AttendNumber	repeat	0.782	1	1
325.102	8.5	Congruent	AttendNumber	repeat	1.646	1	1
335.914	8.5	Incongruent	AttendNumber	repeat	2.962	1	0
346.713	8.5	Congruent	AttendLetter	switch	1.053	2	1
359.913	8.5	Congruent	AttendLetter	repeat	0.757	2	1
371.912	8.5	Congruent	AttendNumber	switch	1.184	1	1
385.111	8.5	Congruent	AttendLetter	switch	0.766	2	1
395.91	8.5	Incongruent	AttendLetter	repeat	1.177	1	1
409.109	8.5	Congruent	AttendLetter	repeat	0.978	1	1
419.909	8.5	Congruent	AttendNumber	switch	1.459	1	1
431.908	8.5	Congruent	AttendNumber	repeat	1.397	1	1
445.107	8.5	Incongruent	AttendNumber	repeat	0.552	1	1
458.306	8.5	Incongruent	AttendLetter	switch	1.117	2	1
470.305	8.5	Incongruent	AttendNumber	switch	1.264	1	1
481.104	8.5	Congruent	AttendLetter	switch	1.541	1	1
523.102	8.5	Incongruent	AttendLetter	n/a	1.16	1	0
536.314	8.5	Incongruent	AttendLetter	repeat	0.864	1	1
548.313	8.5	Congruent	AttendNumber	switch	1.297	2	1
559.112	8.5	Congruent	AttendNumber	repeat	1.245	1	1
571.112	8.5	Incongruent	AttendLetter	switch	1.145	2	1
581.911	8.5	Congruent	AttendLetter	repeat	1.409	2	1
595.11	8.5	Congruent	AttendLetter	repeat	1.006	1	1
608.309	8.5	Congruent	AttendNumber	switch	2.465	1	1
619.108	8.5	Incongruent	AttendNumber	repeat	0.995	2	1
631.108	8.5	Congruent	AttendNumber	repeat	1.171	2	1
641.907	8.5	Congruent	AttendNumber	repeat	0.621	1	1
652.706	8.5	Congruent	AttendLetter	switch	0.894	2	1
665.905	8.5	Incongruent	AttendLetter	repeat	1.072	1	1
676.705	8.5	Congruent	AttendNumber	switch	1.094	2	1
688.704	8.5	Congruent	AttendLetter	switch	0.775	2	1
701.903	8.5	Incongruent	AttendLetter	repeat	1.291	2	1
715.102	8.5	Incongruent	AttendNumber	switch	2.48	2	0
727.115	8.5	Congruent	AttendNumber	repeat	0.77	2	1
